mot;occurrence;frequence
pousser;11;0.0009
rentrer;9;0.0007
figure;14;0.0011
procureur;13;0.001
sœur;72;0.0058
prononcer;12;0.001
homme;110;0.0088
manière;17;0.0014
camarade;9;0.0007
continuer;21;0.0017
poitrine;8;0.0006
assurer;9;0.0007
rouge;6;0.0005
envoyer;21;0.0017
hier;6;0.0005
corse;40;0.0032
retenir;6;0.0005
doigt;10;0.0008
aime;6;0.0005
fille;56;0.0045
honneur;23;0.0018
condamner;6;0.0005
forme;7;0.0006
difficile;6;0.0005
voisin;8;0.0006
rebbia;6;0.0005
dîner;14;0.0011
presque;17;0.0014
lorsqu’;36;0.0029
tête;66;0.0053
mot;38;0.0031
réveiller;7;0.0006
pouvoir;55;0.0044
raison;13;0.001
pauvre;29;0.0023
aimer;21;0.0017
maîtresse;7;0.0006
mieux;25;0.002
choisir;6;0.0005
craindre;19;0.0015
doute;26;0.0021
voyant;8;0.0006
vieux;32;0.0026
capitaine;12;0.001
aimable;8;0.0006
répondre;43;0.0035
considérer;7;0.0006
mois;8;0.0006
héros;7;0.0006
temps;70;0.0056
funèbre;6;0.0005
couleur;7;0.0006
colonel;165;0.0133
quelquefois;8;0.0006
serrer;16;0.0013
usage;15;0.0012
intérêt;8;0.0006
matelot;16;0.0013
curé;14;0.0011
payer;6;0.0005
main;87;0.007
instant;20;0.0016
couper;6;0.0005
bras;39;0.0031
soulever;7;0.0006
occasion;9;0.0007
lunette;7;0.0006
rester;23;0.0018
avocat;20;0.0016
malheur;8;0.0006
demander;55;0.0044
pays;55;0.0044
guide;8;0.0006
bien;226;0.0182
passer;41;0.0033
sorte;13;0.001
chemin;21;0.0017
feuille;6;0.0005
voltigeur;14;0.0011
oncle;10;0.0008
fort;53;0.0043
gagner;6;0.0005
poursuivit;6;0.0005
mouvement;16;0.0013
mérite;6;0.0005
justice;12;0.001
fou;7;0.0006
prison;10;0.0008
guère;8;0.0006
apprendre;15;0.0012
surprise;7;0.0006
baiser;11;0.0009
menace;9;0.0007
peur;9;0.0007
membre;6;0.0005
cause;12;0.001
service;6;0.0005
davantage;8;0.0006
déjeuner;6;0.0005
comprendre;21;0.0017
anglais;19;0.0015
ordre;8;0.0006
chasser;7;0.0006
ame;9;0.0007
double;15;0.0012
impossible;8;0.0006
jamais;44;0.0035
placer;10;0.0008
presser;9;0.0007
espèce;18;0.0014
observer;12;0.001
coupable;9;0.0007
trop;41;0.0033
oublier;19;0.0015
courir;18;0.0014
être;198;0.0159
route;19;0.0015
laisser;32;0.0026
petit;70;0.0056
haut;12;0.001
proposer;12;0.001
arriver;25;0.002
blesser;11;0.0009
vert;7;0.0006
connaissance;12;0.001
lever;34;0.0027
oreille;14;0.0011
pensée;7;0.0006
exemple;6;0.0005
front;11;0.0009
nuit;17;0.0014
empresser;10;0.0008
della;16;0.0013
apercevoir;23;0.0018
idée;9;0.0007
soldat;7;0.0006
vue;18;0.0014
peine;21;0.0017
mourir;16;0.0013
demeurer;15;0.0012
retourner;9;0.0007
refuser;14;0.0011
argent;14;0.0011
embrasser;13;0.001
adresse;8;0.0006
présence;12;0.001
marier;7;0.0006
lit;12;0.001
présenter;17;0.0014
général;11;0.0009
expliquer;12;0.001
drôle;6;0.0005
italien;11;0.0009
fils;36;0.0029
portefeuille;14;0.0011
soir;12;0.001
force;18;0.0014
lendemain;6;0.0005
mener;9;0.0007
an;14;0.0011
m.barricini;10;0.0008
rencontre;10;0.0008
cœur;6;0.0005
doux;11;0.0009
auprès;17;0.0014
arbre;9;0.0007
compte;7;0.0006
singulier;10;0.0008
éloigner;12;0.001
échapper;11;0.0009
blessure;9;0.0007
cas;10;0.0008
épaule;9;0.0007
don;6;0.0005
mutiler;6;0.0005
