mot;occurrence;frequence
ont;222;0.0014
quatre;36;0.0002
dépenses;6;0.0
manqua;8;0.0
tribune;11;0.0001
veuille;7;0.0
estime;37;0.0002
propositions;6;0.0
transporter;9;0.0001
vis-à-vis;15;0.0001
saurai;7;0.0
planches;11;0.0001
kaunitz;19;0.0001
plan;8;0.0
éclatant;9;0.0001
enlevée;7;0.0
séparait;6;0.0
effacer;6;0.0
visites;10;0.0001
mantelet;6;0.0
choisi;10;0.0001
homme;382;0.0024
promenades;7;0.0
sobre;8;0.0
changement;11;0.0001
canal;6;0.0
confier;8;0.0
épreuve;29;0.0002
impatientée;7;0.0
différence;9;0.0001
confesser;8;0.0
enfonça;7;0.0
ismène;6;0.0
nuire;6;0.0
réchauffer;6;0.0
gîte;8;0.0
ramener;17;0.0001
espagnol;21;0.0001
principaux;7;0.0
compositeurs;8;0.0
agir;18;0.0001
cieux;8;0.0
musical;14;0.0001
résoudre;11;0.0001
pleurs;14;0.0001
parfaite;10;0.0001
déclaration;8;0.0
héroïque;7;0.0
pirates;6;0.0
tes;92;0.0006
a;1266;0.0079
tournure;7;0.0
difficile;32;0.0002
voisin;18;0.0001
semblaient;17;0.0001
joug;15;0.0001
caprice;19;0.0001
sortie;15;0.0001
deux;338;0.0021
éteindre;11;0.0001
mot;129;0.0008
avais;163;0.001
pieds;100;0.0006
frères;14;0.0001
éloignait;11;0.0001
remplis;8;0.0
fermée;11;0.0001
cousine;12;0.0001
agite;7;0.0
essayez;8;0.0
allez;76;0.0005
convenait;7;0.0
poëte;16;0.0001
voyant;128;0.0008
retournant;25;0.0002
facilement;15;0.0001
perd;8;0.0
art;78;0.0005
puissiez;6;0.0
prirent;8;0.0
contribué;6;0.0
vieux;156;0.001
capitaine;8;0.0
satisfait;12;0.0001
robes;10;0.0001
affectant;7;0.0
arrêté;8;0.0
galant;11;0.0001
pont-levis;8;0.0
donnés;7;0.0
instinct;22;0.0001
âme;257;0.0016
nouvelles;40;0.0002
venez;37;0.0002
reconnue;12;0.0001
égarer;7;0.0
reconnaissance;27;0.0002
pressant;12;0.0001
dignes;6;0.0
écrivit;6;0.0
méditation;9;0.0001
inspirait;17;0.0001
majestueux;7;0.0
esclaves;6;0.0
payer;25;0.0002
rêver;12;0.0001
main;264;0.0016
folle;26;0.0002
éloignée;8;0.0
singulière;17;0.0001
repos;65;0.0004
langues;14;0.0001
conçu;9;0.0001
fête;19;0.0001
jugeait;7;0.0
parurent;11;0.0001
entendaient;6;0.0
gardiens;7;0.0
idiot;7;0.0
retrouve;12;0.0001
disant;62;0.0004
demander;64;0.0004
feignant;11;0.0001
seigneurie;34;0.0002
fatuité;7;0.0
osa;7;0.0
projet;25;0.0002
couru;8;0.0
chemin;93;0.0006
agenouillant;6;0.0
violon;51;0.0003
feuille;7;0.0
manuscrits;7;0.0
indifférente;6;0.0
relevant;7;0.0
descendue;6;0.0
oncle;39;0.0002
indifférence;22;0.0001
buononcini;12;0.0001
cruelle;18;0.0001
étage;13;0.0001
ziska;26;0.0002
empêcha;9;0.0001
pont;23;0.0001
dresser;7;0.0
professeur;105;0.0007
noires;9;0.0001
pas;3176;0.0198
cruel;8;0.0
expédient;6;0.0
mouvement;65;0.0004
avez;346;0.0022
oubliait;7;0.0
dormait;14;0.0001
agréablement;11;0.0001
mérite;23;0.0001
haydn;91;0.0006
consacrer;7;0.0
effets;25;0.0002
stupidité;6;0.0
vol;6;0.0
habituer;7;0.0
durée;7;0.0
éclat;39;0.0002
regardait;35;0.0002
emporté;15;0.0001
vis;11;0.0001
avançait;7;0.0
tombe;26;0.0002
seras;25;0.0002
solennel;15;0.0001
irai;14;0.0001
passant;25;0.0002
suit;10;0.0001
guère;57;0.0004
lentement;30;0.0002
remettant;6;0.0
souverain;10;0.0001
huit;29;0.0002
rendu;35;0.0002
partout;30;0.0002
taborites;7;0.0
murs;12;0.0001
qualités;20;0.0001
cause;56;0.0003
débuter;12;0.0001
ouverture;10;0.0001
circonstance;20;0.0001
davantage;52;0.0003
regret;32;0.0002
anzoleto;463;0.0029
généreux;39;0.0002
comprend;10;0.0001
comprendre;106;0.0007
saxonne;6;0.0
infiniment;7;0.0
avaler;8;0.0
destinées;11;0.0001
distinguer;8;0.0
attachait;6;0.0
voulut;42;0.0003
étrangers;9;0.0001
misères;8;0.0
éventail;6;0.0
feux;8;0.0
informer;6;0.0
impossible;64;0.0004
angoisse;14;0.0001
délivrer;11;0.0001
appuyant;7;0.0
bareith;17;0.0001
pur;36;0.0002
jamais;512;0.0032
certainement;42;0.0003
murmure;8;0.0
perte;25;0.0002
