mot;occurrence;frequence
belle-sœur;22;0.0017
pousser;6;0.0005
œuvre;9;0.0007
questionner;7;0.0006
estime;9;0.0007
rentrer;11;0.0009
figure;19;0.0015
aise;7;0.0006
sœur;10;0.0008
homme;48;0.0038
langue;14;0.0011
manière;25;0.002
rouge;10;0.0008
envoyer;10;0.0008
hier;7;0.0006
retenir;8;0.0006
agir;16;0.0013
aime;10;0.0008
fille;51;0.004
honneur;6;0.0005
forme;8;0.0006
presque;10;0.0008
lorsqu’;7;0.0006
cent;8;0.0006
tête;46;0.0036
honte;8;0.0006
mot;25;0.002
réveiller;7;0.0006
pouvoir;56;0.0044
raison;30;0.0024
pauvre;88;0.007
aimer;80;0.0063
maîtresse;22;0.0017
mieux;53;0.0042
craindre;22;0.0017
voyant;11;0.0009
veux;11;0.0009
vieux;35;0.0028
répondre;47;0.0037
mois;8;0.0006
galant;6;0.0005
maladie;11;0.0009
instinct;8;0.0006
temps;103;0.0081
âme;9;0.0007
madeleine;180;0.0142
zabelle;41;0.0032
fait;13;0.001
plaindre;14;0.0011
serrer;6;0.0005
intérêt;20;0.0016
curé;11;0.0009
répondi;7;0.0006
payer;32;0.0025
main;47;0.0037
repos;8;0.0006
couper;8;0.0006
bras;22;0.0017
rester;27;0.0021
malheur;18;0.0014
demander;36;0.0028
pays;20;0.0016
bien;413;0.0326
passer;70;0.0055
sorte;7;0.0006
plaider;8;0.0006
prétendre;11;0.0009
paille;6;0.0005
chemin;29;0.0023
moulin;44;0.0035
fort;52;0.0041
pont;8;0.0006
gagner;14;0.0011
endroit;21;0.0017
paiement;8;0.0006
meunière;22;0.0017
fou;9;0.0007
reposer;6;0.0005
guère;27;0.0021
apprendre;12;0.0009
peur;25;0.002
déranger;6;0.0005
cause;21;0.0017
service;12;0.0009
davantage;8;0.0006
regret;11;0.0009
comprendre;33;0.0026
tromper;8;0.0006
jamais;78;0.0062
jument;10;0.0008
placer;9;0.0007
presser;8;0.0006
trop;68;0.0054
conduite;6;0.0005
oublier;18;0.0014
court;9;0.0007
courir;19;0.0015
être;239;0.0189
route;12;0.0009
laisser;35;0.0028
petit;86;0.0068
arriver;29;0.0023
sort;13;0.001
connaissance;13;0.001
tranquille;13;0.001
lever;20;0.0016
mêmemer;8;0.0006
religion;7;0.0006
oreille;15;0.0012
nuit;16;0.0013
hardi;6;0.0005
frais;6;0.0005
idée;62;0.0049
souci;14;0.0011
peine;51;0.004
mourir;30;0.0024
demeurer;7;0.0006
retourner;19;0.0015
mémoire;7;0.0006
refuser;6;0.0005
argent;35;0.0028
embrasser;32;0.0025
nourrir;10;0.0008
marier;15;0.0012
lit;10;0.0008
présenter;7;0.0006
défunt;13;0.001
expliquer;13;0.001
fils;24;0.0019
communion;6;0.0005
soir;27;0.0021
force;17;0.0013
lendemain;12;0.0009
mener;10;0.0008
an;46;0.0036
cœur;37;0.0029
auprès;24;0.0019
arbre;9;0.0007
compte;15;0.0012
répliquer;7;0.0006
cas;6;0.0005
conseiller;7;0.0006
train;9;0.0007
pourtant;33;0.0026
laisse;7;0.0006
raconter;6;0.0005
linge;7;0.0006
soumission;6;0.0005
renvoyer;11;0.0009
meilleur;25;0.002
vendre;7;0.0006
soin;18;0.0014
pardonner;8;0.0006
souhaiter;14;0.0011
remettre;15;0.0012
trouver;97;0.0077
là;40;0.0032
demande;19;0.0015
hospice;12;0.0009
intéresser;6;0.0005
tirer;15;0.0012
sauter;8;0.0006
riche;16;0.0013
fièvre;15;0.0012
soleil;8;0.0006
gros;26;0.0021
fâche;6;0.0005
hont;12;0.0009
attacher;7;0.0006
maison;51;0.004
falloir;84;0.0066
sujet;17;0.0013
sang;13;0.001
envier;10;0.0008
champi;132;0.0104
consoler;16;0.0013
ancien;7;0.0006
amour;25;0.002
chapeau;7;0.0006
dormir;15;0.0012
ailleurs;12;0.0009
curer;8;0.0006
coin;8;0.0006
démonstration;7;0.0006
finir;9;0.0007
prendre;97;0.0077
arrêter;15;0.0012
crainte;7;0.0006
dommage;6;0.0005
jeter;20;0.0016
paraître;25;0.002
rougir;9;0.0007
genou;17;0.0013
fatigue;10;0.0008
terre;30;0.0024
défendre;9;0.0007
jouer;6;0.0005
vou;7;0.0006
devoir;46;0.0036
consolation;7;0.0006
intention;8;0.0006
aujourd’hui;11;0.0009
soupe;6;0.0005
reprocher;7;0.0006
tort;11;0.0009
cheval;12;0.0009
capable;7;0.0006
rapport;7;0.0006
douter;6;0.0005
procès;6;0.0005
porte;19;0.0015
mariage;12;0.0009
servir;14;0.0011
réussir;6;0.0005
boire;7;0.0006
mèr;17;0.0013
avoir;162;0.0128
sabot;7;0.0006
campagne;9;0.0007
aurai;6;0.0005
songer;36;0.0028
chagrin;26;0.0021
poindre;82;0.0065
cacher;8;0.0006
serviteur;10;0.0008
bon;189;0.0149
livre;12;0.0009
vérité;21;0.0017
monter;17;0.0013
amitier;19;0.0015
tourmenter;7;0.0006
ferme;7;0.0006
jeunesse;16;0.0013
beauté;10;0.0008
moyen;23;0.0018
droit;23;0.0018
sortir;19;0.0015
chéret;7;0.0006
minute;6;0.0005
peut-être;31;0.0025
sot;8;0.0006
voix;12;0.0009
crier;8;0.0006
reproche;6;0.0005
mariette;15;0.0012
moitié;7;0.0006
garçon;31;0.0025
dépit;9;0.0007
conter;6;0.0005
débarrasser;7;0.0006
travailler;22;0.0017
contenter;13;0.001
moment;29;0.0023
servante;10;0.0008
dire;129;0.0102
jambe;8;0.0006
assister;11;0.0009
reconnaître;10;0.0008
contentement;8;0.0006
attention;10;0.0008
chien;7;0.0006
demain;13;0.001
besoin;28;0.0022
partir;13;0.001
aider;12;0.0009
promettre;10;0.0008
état;16;0.0013
confiance;8;0.0006
empêcher;25;0.002
papier;6;0.0005
beaucoup;27;0.0021
loin;16;0.0013
sage;9;0.0007
trembler;6;0.0005
bête;10;0.0008
mettre;87;0.0069
colère;10;0.0008
volonté;13;0.001
doucement;11;0.0009
billet;13;0.001
milieu;6;0.0005
parti;8;0.0006
répondit;23;0.0018
coutume;7;0.0006
valoir;19;0.0015
fût;12;0.0009
malice;7;0.0006
augmenter;7;0.0006
faire;301;0.0238
mère;70;0.0055
amitié;31;0.0025
permettre;7;0.0006
plaisir;16;0.0013
manquer;17;0.0013
aller;133;0.0105
bouche;8;0.0006
garde;13;0.001
manger;27;0.0021
deviner;13;0.001
langage;6;0.0005
fin;20;0.0016
chose;91;0.0072
secret;12;0.0009
rivière;17;0.0013
venir;83;0.0066
ennemi;7;0.0006
jurer;7;0.0006
ennuyer;11;0.0009
goût;12;0.0009
artiste;10;0.0008
champ;12;0.0009
pied;12;0.0009
prie;8;0.0006
non;70;0.0055
voi;7;0.0006
rire;13;0.001
aviser;13;0.001
causer;18;0.0014
poche;6;0.0005
perdre;40;0.0032
marcher;7;0.0006
conseil;7;0.0006
bout;35;0.0028
étonner;19;0.0015
vit;9;0.0007
logis;6;0.0005
appeler;21;0.0017
épouser;14;0.0011
pleurer;40;0.0032
chambre;12;0.0009
bonté;8;0.0006
cherche;9;0.0007
lâcher;7;0.0006
retirer;11;0.0009
charité;7;0.0006
pré;14;0.0011
battre;6;0.0005
rendre;17;0.0013
sauver;8;0.0006
maître;47;0.0037
reprendre;28;0.0022
ensuite;6;0.0005
courage;22;0.0017
roue;6;0.0005
beau;38;0.003
frère;11;0.0009
affaire;32;0.0025
souffrir;28;0.0022
air;41;0.0032
supposer;6;0.0005
sévère;58;0.0046
meunier;20;0.0016
heureux;19;0.0015
enfer;12;0.0009
laid;7;0.0006
chef;7;0.0006
rêve;8;0.0006
danger;10;0.0008
surprendre;6;0.0005
ami;36;0.0028
tuer;6;0.0005
douceur;7;0.0006
eau;19;0.0015
voir;187;0.0148
entrer;20;0.0016
revenir;37;0.0029
malade;24;0.0019
sentiment;15;0.0012
filer;7;0.0006
forcer;9;0.0007
grand;102;0.0081
saint;7;0.0006
dette;8;0.0006
suite;13;0.001
famille;14;0.0011
devenir;44;0.0035
recevoir;16;0.0013
nom;19;0.0015
quitter;19;0.0015
sentir;31;0.0025
cher;21;0.0017
bois;9;0.0007
asseoir;18;0.0014
preuve;13;0.001
bientôt;10;0.0008
essayer;15;0.0012
mignon;8;0.0006
monsieur;47;0.0037
au-dessus;6;0.0005
connaître;39;0.0031
plaire;14;0.0011
raisonnable;8;0.0006
secousse;11;0.0009
conscience;10;0.0008
vouloir;189;0.0149
faux;6;0.0005
âge;38;0.003
année;8;0.0006
soigner;13;0.001
profit;10;0.0008
rapporter;9;0.0007
chrétien;8;0.0006
joie;7;0.0006
autant;27;0.0021
mauvais;47;0.0037
imaginer;16;0.0013
bruit;8;0.0006
acquéreur;7;0.0006
suivre;7;0.0006
laver;7;0.0006
malheureux;18;0.0014
vivre;21;0.0017
histoire;21;0.0017
bonheur;14;0.0011
décider;15;0.0012
femme;103;0.0081
embarras;7;0.0006
vite;23;0.0018
gars;9;0.0007
propre;10;0.0008
tenir;25;0.002
quasiment;6;0.0005
vrai;22;0.0017
tablier;6;0.0005
midi;6;0.0005
bord;9;0.0007
oui;17;0.0013
esprit;37;0.0029
œil;7;0.0006
mal;70;0.0055
sai;8;0.0006
élevé;8;0.0006
diligence;7;0.0006
méchant;12;0.0009
commencer;23;0.0018
obliger;11;0.0009
point;85;0.0067
paysan;15;0.0012
