mot;occurrence;frequence
nu;16;0.0016
charmant;7;0.0007
action;6;0.0006
pousser;9;0.0009
œuvre;7;0.0007
revenez;6;0.0006
lave;6;0.0006
rentrer;14;0.0014
teindre;6;0.0006
siècle;7;0.0007
figure;8;0.0008
sœur;22;0.0022
prononcer;6;0.0006
extrémité;6;0.0006
homme;69;0.0068
confier;8;0.0008
canal;9;0.0009
flanc;6;0.0006
langue;13;0.0013
continuer;7;0.0007
poitrine;7;0.0007
rouge;13;0.0013
envoyer;11;0.0011
ramener;6;0.0006
retenir;10;0.001
entier;13;0.0013
doigt;23;0.0023
sinistre;7;0.0007
aime;6;0.0006
rocher;13;0.0013
fille;50;0.0049
large;11;0.0011
forme;7;0.0007
manche;7;0.0007
voisin;8;0.0008
presque;23;0.0023
tête;33;0.0032
honte;6;0.0006
éteindre;11;0.0011
mot;25;0.0025
réveiller;8;0.0008
pouvoir;26;0.0026
raison;7;0.0007
pauvre;59;0.0058
aimer;43;0.0042
mieux;10;0.001
voile;16;0.0016
doute;8;0.0008
vieux;41;0.004
répondre;13;0.0013
mois;22;0.0022
instinct;10;0.001
temps;54;0.0053
âme;50;0.0049
couleur;6;0.0006
prolonger;8;0.0008
quelquefois;15;0.0015
clarté;6;0.0006
église;7;0.0007
remonter;6;0.0006
payer;6;0.0006
rêver;15;0.0015
main;65;0.0064
repos;7;0.0007
romain;10;0.001
couper;13;0.0013
fête;9;0.0009
flottant;6;0.0006
monument;8;0.0008
bras;21;0.0021
ange;8;0.0008
révéler;8;0.0008
rester;21;0.0021
admiration;7;0.0007
malheur;6;0.0006
demander;18;0.0018
pays;15;0.0015
bien;68;0.0067
passer;49;0.0048
fleur;24;0.0024
feuille;25;0.0025
spectacle;6;0.0006
humble;6;0.0006
cousin;12;0.0012
fort;15;0.0015
poète;10;0.001
mouvement;14;0.0014
éclat;9;0.0009
tombe;7;0.0007
apprendre;6;0.0006
surprise;9;0.0009
baiser;6;0.0006
peur;7;0.0007
partout;10;0.001
membre;7;0.0007
circonstance;6;0.0006
davantage;8;0.0008
regret;8;0.0008
comprendre;13;0.0013
image;26;0.0026
ensemble;6;0.0006
tromper;7;0.0007
abri;6;0.0006
pur;16;0.0016
jamais;44;0.0043
allumer;7;0.0007
placer;8;0.0008
espèce;11;0.0011
trop;32;0.0031
fond;28;0.0028
monastère;9;0.0009
attendrissement;6;0.0006
oublier;6;0.0006
huile;10;0.001
flot;28;0.0028
rame;12;0.0012
courir;15;0.0015
être;122;0.012
route;14;0.0014
laisser;27;0.0027
petit;89;0.0088
haut;17;0.0017
journée;10;0.001
arriver;20;0.002
franchir;6;0.0006
vert;9;0.0009
tranquille;6;0.0006
lever;24;0.0024
davide;6;0.0006
religion;7;0.0007
oreille;12;0.0012
pensée;50;0.0049
cou;13;0.0013
front;24;0.0024
nuit;61;0.006
frais;6;0.0006
torche;12;0.0012
apercevoir;21;0.0021
absence;8;0.0008
inspirer;6;0.0006
idée;14;0.0014
vue;8;0.0008
peine;23;0.0023
mourir;12;0.0012
retourner;8;0.0008
mémoire;7;0.0007
argent;6;0.0006
embrasser;7;0.0007
nourrir;8;0.0008
présence;7;0.0007
lit;35;0.0034
veille;8;0.0008
italien;8;0.0008
fils;15;0.0015
oiseau;10;0.001
fruit;12;0.0012
soir;44;0.0043
force;17;0.0017
lendemain;14;0.0014
vain;13;0.0013
an;23;0.0023
mener;12;0.0012
cœur;65;0.0064
doux;11;0.0011
remplir;6;0.0006
figuier;11;0.0011
auprès;6;0.0006
arbre;9;0.0009
hirondelle;9;0.0009
temple;13;0.0013
éloigner;7;0.0007
échapper;8;0.0008
liberté;13;0.0013
peintre;7;0.0007
épaule;19;0.0019
rouler;11;0.0011
jarre;6;0.0006
raconter;9;0.0009
laisse;6;0.0006
passion;18;0.0018
chaleur;6;0.0006
goutte;7;0.0007
monotone;6;0.0006
impatience;6;0.0006
terrasse;33;0.0032
orgueil;6;0.0006
poussière;11;0.0011
site;7;0.0007
amie;8;0.0008
lueur;22;0.0022
attachement;6;0.0006
hôte;6;0.0006
apparaître;8;0.0008
soin;8;0.0008
espérer;6;0.0006
pêcheur;49;0.0048
bas;6;0.0006
volet;7;0.0007
remettre;9;0.0009
ensembl;6;0.0006
plancher;8;0.0008
trouver;34;0.0033
imagination;6;0.0006
rappeler;12;0.0012
calme;6;0.0006
oh;6;0.0006
tirer;10;0.001
éclater;11;0.0011
avance;6;0.0006
fièvre;6;0.0006
soleil;41;0.004
gravir;6;0.0006
tendre;15;0.0015
gros;16;0.0016
rue;15;0.0015
produire;6;0.0006
silence;14;0.0014
attacher;14;0.0014
maison;85;0.0084
falloir;17;0.0017
arrondir;6;0.0006
rayon;14;0.0014
amour;40;0.0039
vide;8;0.0008
léger;9;0.0009
briller;11;0.0011
planche;13;0.0013
puits;6;0.0006
dormir;13;0.0013
finir;13;0.0013
baisser;8;0.0008
poids;7;0.0007
prendre;55;0.0054
lecture;13;0.0013
arrêter;9;0.0009
jeter;45;0.0044
guider;6;0.0006
paraître;8;0.0008
figurer;7;0.0007
rougir;7;0.0007
voyage;8;0.0008
genou;16;0.0016
mouchoir;8;0.0008
terre;40;0.0039
jouer;9;0.0009
devoir;28;0.0028
filet;10;0.001
figue;9;0.0009
marche;12;0.0012
plainte;7;0.0007
fenêtre;14;0.0014
richesse;9;0.0009
nid;6;0.0006
précipiter;10;0.001
horizon;7;0.0007
douter;6;0.0006
xi;7;0.0007
lune;11;0.0011
porte;41;0.004
servir;13;0.0013
brûler;8;0.0008
interrompre;6;0.0006
escalier;6;0.0006
avoir;72;0.0071
campagne;9;0.0009
lasser;6;0.0006
costume;11;0.0011
poindre;6;0.0006
cacher;22;0.0022
accent;10;0.001
attitude;16;0.0016
bon;13;0.0013
livre;26;0.0026
procida;6;0.0006
hiver;18;0.0018
monter;17;0.0017
toucher;17;0.0017
larme;39;0.0038
objet;6;0.0006
amitier;6;0.0006
conserver;7;0.0007
clef;6;0.0006
rose;7;0.0007
jeunesse;14;0.0014
beauté;20;0.002
seuil;8;0.0008
sortir;18;0.0018
épingle;7;0.0007
étendre;8;0.0008
peuple;25;0.0025
peut-être;9;0.0009
cri;16;0.0016
voix;45;0.0044
ville;23;0.0023
signe;12;0.0012
hasard;7;0.0007
repas;9;0.0009
crier;9;0.0009
grâce;8;0.0008
sembler;20;0.002
plein;9;0.0009
reproche;9;0.0009
port;7;0.0007
traverser;7;0.0007
moitié;12;0.0012
nouveau;10;0.001
travailler;11;0.0011
chanter;7;0.0007
table;11;0.0011
écueil;10;0.001
moment;24;0.0024
dire;27;0.0027
attendrir;6;0.0006
voyageur;9;0.0009
reconnaître;10;0.001
couvrir;13;0.0013
demain;6;0.0006
besoin;9;0.0009
lame;19;0.0019
entraîner;8;0.0008
partir;14;0.0014
grec;8;0.0008
aider;12;0.0012
éclairer;7;0.0007
état;8;0.0008
froid;8;0.0008
ciel;31;0.0031
limpide;6;0.0006
noir;22;0.0022
loin;15;0.0015
douleur;6;0.0006
trembler;9;0.0009
mettre;19;0.0019
vigne;16;0.0016
ombre;21;0.0021
colère;6;0.0006
distance;9;0.0009
partie;6;0.0006
murmurer;10;0.001
île;35;0.0034
mur;20;0.002
milieu;20;0.002
naïf;8;0.0008
revoir;6;0.0006
musique;9;0.0009
flotter;13;0.0013
cheveu;11;0.0011
sourire;14;0.0014
éprouver;7;0.0007
humain;10;0.001
flamme;7;0.0007
haleine;6;0.0006
faire;97;0.0095
travers;13;0.0013
mère;36;0.0035
amitié;7;0.0007
permettre;8;0.0008
manquer;8;0.0008
aller;42;0.0041
bouche;8;0.0008
ressembler;6;0.0006
sombre;7;0.0007
mêler;6;0.0006
embarquer;7;0.0007
manger;6;0.0006
vertu;6;0.0006
degré;6;0.0006
taille;6;0.0006
geste;12;0.0012
fin;7;0.0007
chose;27;0.0027
émotion;10;0.001
grève;7;0.0007
âm;7;0.0007
nuage;10;0.001
venir;59;0.0058
inconnu;9;0.0009
accompagner;8;0.0008
pied;55;0.0054
embarcation;6;0.0006
pencher;8;0.0008
non;15;0.0015
rire;10;0.001
causer;8;0.0008
perdre;15;0.0015
laine;7;0.0007
lettre;17;0.0017
appeler;20;0.002
étranger;16;0.0016
pleurer;34;0.0033
chambre;58;0.0057
côte;9;0.0009
retirer;6;0.0006
rapprocher;8;0.0008
arracher;10;0.001
rendre;11;0.0011
sauver;12;0.0012
maître;6;0.0006
reprendre;18;0.0018
vent;55;0.0054
ensuite;8;0.0008
poisson;11;0.0011
fortune;7;0.0007
beau;36;0.0035
frère;32;0.0031
cour;7;0.0007
impression;12;0.0012
recueillir;8;0.0008
air;22;0.0022
convenir;7;0.0007
douce;9;0.0009
sein;6;0.0006
heureux;16;0.0016
jardin;9;0.0009
note;15;0.0015
rêve;12;0.0012
espérance;6;0.0006
ami;37;0.0036
muet;12;0.0012
eau;37;0.0036
voir;74;0.0073
entrer;19;0.0019
frapper;15;0.0015
revenir;25;0.0025
malade;9;0.0009
sentiment;30;0.003
sanglot;9;0.0009
source;9;0.0009
grand;30;0.003
saint;13;0.0013
famille;45;0.0044
devenir;7;0.0007
naître;8;0.0008
recevoir;8;0.0008
nom;21;0.0021
quitter;9;0.0009
habit;17;0.0017
récit;11;0.0011
parent;13;0.0013
sentir;28;0.0028
anse;7;0.0007
cher;7;0.0007
bois;11;0.0011
asseoir;28;0.0028
essayer;10;0.001
ensevelir;7;0.0007
au-dessus;8;0.0008
connaître;12;0.0012
plaire;6;0.0006
suspendre;8;0.0008
pluie;9;0.0009
vouloir;41;0.004
tombeau;6;0.0006
âge;17;0.0017
année;7;0.0007
pierre;19;0.0019
plume;7;0.0007
joie;18;0.0018
rampe;7;0.0007
autant;7;0.0007
bruit;21;0.0021
suivre;12;0.0012
lèvre;21;0.0021
sommeil;14;0.0014
débris;10;0.001
vivre;13;0.0013
histoire;11;0.0011
bonheur;21;0.0021
blanchir;6;0.0006
femme;47;0.0046
vite;8;0.0008
éternel;6;0.0006
propre;8;0.0008
sec;13;0.0013
neuf;9;0.0009
chaise;7;0.0007
tenir;16;0.0016
abriter;8;0.0008
puissance;6;0.0006
tablier;6;0.0006
théâtre;6;0.0006
séparer;8;0.0008
midi;9;0.0009
toit;19;0.0019
grand-père;6;0.0006
bord;20;0.002
profond;6;0.0006
sérieux;7;0.0007
esprit;19;0.0019
œil;14;0.0014
mal;20;0.002
avancer;9;0.0009
expression;13;0.0013
pausilippe;11;0.0011
gémir;8;0.0008
compagnon;6;0.0006
élevé;6;0.0006
légèrement;6;0.0006
commencer;10;0.001
capote;6;0.0006
point;6;0.0006
couvent;6;0.0006
retrouver;6;0.0006
fer;6;0.0006
porter;31;0.0031
remercier;9;0.0009
châtaignier;6;0.0006
coup;29;0.0029
lieu;10;0.001
page;9;0.0009
contenir;14;0.0014
briser;6;0.0006
marin;20;0.002
simple;11;0.0011
pointe;12;0.0012
endormir;9;0.0009
ici;7;0.0007
emporter;15;0.0015
acheter;10;0.001
sable;14;0.0014
métier;7;0.0007
plonger;6;0.0006
grand-mère;34;0.0033
parole;22;0.0022
nature;27;0.0027
jouir;6;0.0006
bel;26;0.0026
corps;11;0.0011
proue;7;0.0007
habitude;10;0.001
palais;6;0.0006
sommet;9;0.0009
tard;10;0.001
pâle;8;0.0008
apporter;16;0.0016
brise;6;0.0006
montrer;17;0.0017
premier;15;0.0015
dernier;30;0.003
pleur;6;0.0006
triste;19;0.0019
lumière;7;0.0007
orange;7;0.0007
souvenir;20;0.002
lourde;6;0.0006
pain;17;0.0017
scène;15;0.0015
parure;7;0.0007
étouffer;6;0.0006
coucher;13;0.0013
