mot;occurrence;frequence
bénédiction;6;0.0001
ont;95;0.0017
action;7;0.0001
enfin;70;0.0013
baron;55;0.001
quatre;48;0.0009
pousser;6;0.0001
thorvick;10;0.0002
étrangère;16;0.0003
lory;18;0.0003
estime;7;0.0001
éprouvait;7;0.0001
disparut;12;0.0002
siècle;8;0.0001
foyer;22;0.0004
éclatant;6;0.0001
figure;19;0.0003
tigre;9;0.0002
aise;7;0.0001
heureuse;13;0.0002
véritable;6;0.0001
tribunal;66;0.0012
te;44;0.0008
tira;9;0.0002
sœur;11;0.0002
fortes;6;0.0001
royale;16;0.0003
prisonniers;19;0.0003
cœurs;11;0.0002
prononcer;8;0.0001
extrémité;14;0.0003
braal;12;0.0002
homme;459;0.0083
pris;43;0.0008
pensait;6;0.0001
humaines;9;0.0002
aspect;14;0.0003
né;11;0.0002
diabolique;6;0.0001
bertram;8;0.0001
taire;8;0.0001
détails;7;0.0001
jetant;6;0.0001
langue;8;0.0001
manière;14;0.0003
camarade;23;0.0004
comprit;7;0.0001
continuer;6;0.0001
incendie;7;0.0001
distinctement;7;0.0001
publique;6;0.0001
poitrine;20;0.0004
appris;8;0.0001
repartit;10;0.0002
rouge;18;0.0003
croiriez;6;0.0001
envoyer;6;0.0001
paix;13;0.0002
frappé;12;0.0002
eut;25;0.0005
hier;27;0.0005
étonnement;28;0.0005
but;22;0.0004
futur;8;0.0001
or;59;0.0011
herbes;6;0.0001
entier;11;0.0002
puisse;16;0.0003
avenir;19;0.0003
horrible;25;0.0005
g;8;0.0001
tut;11;0.0002
amer;6;0.0001
sinistre;14;0.0003
droite;16;0.0003
fatale;15;0.0003
échappa;7;0.0001
aime;25;0.0005
entièrement;23;0.0004
pleurs;6;0.0001
gris;13;0.0002
rocher;40;0.0007
debout;22;0.0004
grand-chancelier;41;0.0007
message;6;0.0001
honneur;31;0.0006
fille;161;0.0029
poussant;9;0.0002
concierge;54;0.001
large;15;0.0003
extrême;6;0.0001
payé;6;0.0001
important;10;0.0002
forme;19;0.0003
riant;14;0.0003
saisissant;6;0.0001
tes;32;0.0006
personnages;9;0.0002
offrait;8;0.0001
a;558;0.0101
difficile;13;0.0002
forêts;10;0.0002
voisin;14;0.0003
cor;10;0.0002
bataillon;11;0.0002
noire;35;0.0006
france;6;0.0001
étant;6;0.0001
peuvent;10;0.0002
presque;45;0.0008
semblaient;8;0.0001
dû;14;0.0003
armé;7;0.0001
lorsqu’;31;0.0006
cent;15;0.0003
tête;177;0.0032
deux;235;0.0043
mot;26;0.0005
avais;40;0.0007
interrogatoire;6;0.0001
pénétrer;11;0.0002
pouvoir;35;0.0006
épaisse;7;0.0001
raison;47;0.0009
heures;27;0.0005
peaux;12;0.0002
éthel;214;0.0039
pieds;47;0.0009
pauvre;93;0.0017
frères;12;0.0002
nationale;6;0.0001
voulait;16;0.0003
vygla;15;0.0003
remarqué;8;0.0001
in-8o;7;0.0001
femmes;17;0.0003
désir;14;0.0003
aimer;12;0.0002
dannebrog;7;0.0001
foule;38;0.0007
orugix;36;0.0007
maîtresse;8;0.0001
mieux;47;0.0009
voile;9;0.0002
trente;6;0.0001
allez;23;0.0004
