mot;occurrence;frequence
charmant;6;0.0002
action;6;0.0002
pousser;13;0.0004
œuvre;14;0.0005
obscur;6;0.0002
souple;6;0.0002
estime;8;0.0003
rentrer;19;0.0006
transporter;7;0.0002
rive;12;0.0004
vis-à-vis;8;0.0003
précaution;7;0.0002
siècle;9;0.0003
figure;28;0.0009
véritable;13;0.0004
aise;7;0.0002
effacer;12;0.0004
sœur;11;0.0004
accorder;18;0.0006
prononcer;9;0.0003
homme;263;0.0088
aliment;6;0.0002
aspect;8;0.0003
baronnet;7;0.0002
confier;6;0.0002
taire;16;0.0005
épreuve;6;0.0002
flanc;8;0.0003
langue;7;0.0002
manière;22;0.0007
continuer;11;0.0004
réfléchir;13;0.0004
justifier;8;0.0003
poitrine;11;0.0004
apparemment;6;0.0002
assurer;16;0.0005
rouge;10;0.0003
envoyer;11;0.0004
paix;8;0.0003
frappé;9;0.0003
hier;12;0.0004
ramener;12;0.0004
but;8;0.0003
retenir;10;0.0003
espagnol;7;0.0002
entier;24;0.0008
épouvanter;7;0.0002
doigt;8;0.0003
agir;25;0.0008
amer;17;0.0006
horrible;8;0.0003
résoudre;20;0.0007
avenir;46;0.0015
sinistre;6;0.0002
sir;52;0.0017
aime;8;0.0003
entièrement;7;0.0002
rocher;12;0.0004
impatient;6;0.0002
fille;39;0.0013
honneur;45;0.0015
mériter;12;0.0004
large;20;0.0007
condamner;15;0.0005
forme;19;0.0006
froisser;9;0.0003
difficile;10;0.0003
voisin;18;0.0006
presque;45;0.0015
joug;9;0.0003
navire;13;0.0004
climat;6;0.0002
caprice;13;0.0004
lorsqu’;42;0.0014
repentir;12;0.0004
braver;11;0.0004
honte;12;0.0004
tête;69;0.0023
jardinier;8;0.0003
mot;61;0.0021
éteindre;6;0.0002
pénétrer;23;0.0008
réveiller;15;0.0005
pouvoir;96;0.0032
raison;47;0.0016
pauvre;72;0.0024
menteur;6;0.0002
rare;12;0.0004
religieux;9;0.0003
user;9;0.0003
aimer;216;0.0073
désir;23;0.0008
persuader;9;0.0003
foule;8;0.0003
maîtresse;31;0.001
mieux;47;0.0016
voile;9;0.0003
élancer;12;0.0004
choisir;9;0.0003
craindre;39;0.0013
doute;46;0.0015
caresse;11;0.0004
voyant;26;0.0009
art;8;0.0003
respirer;14;0.0005
ardent;16;0.0005
veux;6;0.0002
vieux;43;0.0014
capitaine;17;0.0006
enivrer;9;0.0003
aimez;7;0.0002
entreprendre;6;0.0002
supérieur;9;0.0003
répondre;65;0.0022
renfermer;7;0.0002
mois;23;0.0008
héros;6;0.0002
maladie;13;0.0004
déclarer;7;0.0002
esclave;10;0.0003
délicatesse;17;0.0006
aisance;7;0.0002
instinct;9;0.0003
temps;95;0.0032
âme;63;0.0021
couleur;6;0.0002
traiter;12;0.0004
égarer;15;0.0005
reconnaissance;16;0.0005
auteur;8;0.0003
fait;18;0.0006
plaindre;30;0.001
colonel;99;0.0033
talent;16;0.0005
quelquefois;18;0.0006
serrer;9;0.0003
méditation;8;0.0003
usage;15;0.0005
intérêt;52;0.0017
sembla;7;0.0002
ramière;28;0.0009
payer;12;0.0004
rêver;15;0.0005
vêtement;8;0.0003
atteindre;13;0.0004
main;132;0.0044
folle;7;0.0002
repos;16;0.0005
instant;76;0.0026
couper;6;0.0002
maintenir;6;0.0002
fuite;12;0.0004
bras;66;0.0022
sensation;9;0.0003
soulever;9;0.0003
occasion;14;0.0005
ange;20;0.0007
mélancolie;9;0.0003
naturel;14;0.0005
révéler;8;0.0003
rester;57;0.0019
masse;6;0.0002
principe;20;0.0007
séduction;9;0.0003
rapide;14;0.0005
avocat;6;0.0002
malheur;34;0.0011
passager;6;0.0002
demander;64;0.0022
pays;19;0.0006
bien;291;0.0098
brillante;9;0.0003
épargner;8;0.0003
passer;108;0.0036
projet;15;0.0005
brouillard;7;0.0002
sorte;29;0.001
prétendre;12;0.0004
vaste;6;0.0002
fleur;28;0.0009
témoignage;7;0.0002
emparer;17;0.0006
chemin;9;0.0003
aversion;9;0.0003
préoccupation;7;0.0002
renverser;6;0.0002
récompense;8;0.0003
chaîne;8;0.0003
appuyer;12;0.0004
faillir;6;0.0002
vertueux;8;0.0003
spectacle;6;0.0002
médiocre;6;0.0002
contracter;6;0.0002
