mot;occurrence;frequence
ont;135;0.001
quatre;166;0.0012
trompettes;11;0.0001
revenez;10;0.0001
carême;9;0.0001
veuille;6;0.0
prédicateur;8;0.0001
vis-à-vis;8;0.0001
foyer;6;0.0
éclatant;6;0.0
plan;16;0.0001
effaré;8;0.0001
rouvrant;6;0.0
effacer;6;0.0
visites;7;0.0001
choisi;12;0.0001
homme;563;0.0042
changement;11;0.0001
confier;7;0.0001
clermont;11;0.0001
épreuve;8;0.0001
préviens;9;0.0001
confesser;16;0.0001
enfonça;6;0.0
pape;17;0.0001
génovéfain;15;0.0001
gorenflot;517;0.0038
ramener;6;0.0
principaux;16;0.0001
agir;9;0.0001
échappa;9;0.0001
parfaite;7;0.0001
glacé;6;0.0
tes;53;0.0004
a;1079;0.008
tournure;7;0.0001
difficile;28;0.0002
voisin;9;0.0001
semblaient;22;0.0002
caprice;10;0.0001
sortie;22;0.0002
deux;525;0.0039
mot;86;0.0006
avais;144;0.0011
abdication;9;0.0001
pieds;79;0.0006
frères;62;0.0005
fièrement;6;0.0
éloignait;7;0.0001
allez;114;0.0008
poignard;23;0.0002
voyant;59;0.0004
retournant;31;0.0002
facilement;14;0.0001
perd;6;0.0
conseille;6;0.0
plia;7;0.0001
prirent;8;0.0001
vieux;43;0.0003
duchesse;18;0.0001
capitaine;39;0.0003
satisfait;21;0.0002
arrêté;16;0.0001
galant;12;0.0001
dague;21;0.0002
pont-levis;9;0.0001
trot;13;0.0001
âme;46;0.0003
nouvelles;48;0.0004
venez;78;0.0006
reconnue;15;0.0001
trouves;6;0.0
reconnaissance;18;0.0001
pressant;7;0.0001
messager;13;0.0001
payer;12;0.0001
étriers;8;0.0001
main;307;0.0023
singulière;8;0.0001
repos;16;0.0001
couper;6;0.0
fête;29;0.0002
parurent;6;0.0
écart;7;0.0001
traître;18;0.0001
masse;12;0.0001
pénitence;9;0.0001
retrouve;6;0.0
disant;27;0.0002
demander;52;0.0004
projet;14;0.0001
laissons;14;0.0001
chemin;97;0.0007
huissier;10;0.0001
relevant;15;0.0001
millions;11;0.0001
méridor;160;0.0012
indifférence;7;0.0001
ôta;6;0.0
évanouissement;7;0.0001
pont;11;0.0001
dresser;13;0.0001
pas;2325;0.0173
noires;8;0.0001
dehors;9;0.0001
mouvement;80;0.0006
avez;398;0.003
dormait;14;0.0001
mérite;19;0.0001
guerres;8;0.0001
éclat;24;0.0002
demeuré;8;0.0001
regardait;37;0.0003
emporté;10;0.0001
vis;11;0.0001
avançait;14;0.0001
tombe;15;0.0001
irai;18;0.0001
tombant;11;0.0001
passant;32;0.0002
suit;9;0.0001
guère;11;0.0001
lentement;22;0.0002
souverain;7;0.0001
huit;71;0.0005
rendu;20;0.0001
partout;22;0.0002
embrassé;7;0.0001
murs;15;0.0001
qualités;7;0.0001
lecteurs;13;0.0001
cause;62;0.0005
circonstance;15;0.0001
ouverture;10;0.0001
davantage;26;0.0002
regret;6;0.0
généreux;17;0.0001
comprend;8;0.0001
barbier;6;0.0
comprendre;34;0.0003
infiniment;9;0.0001
distinguer;10;0.0001
mule;7;0.0001
voulut;27;0.0002
seconder;6;0.0
impossible;44;0.0003
angoisse;6;0.0
appuyant;17;0.0001
respects;11;0.0001
jamais;165;0.0012
certainement;53;0.0004
murmure;9;0.0001
observer;7;0.0001
fond;64;0.0005
masqué;6;0.0
véritablement;18;0.0001
païen;10;0.0001
tressaillit;16;0.0001
hais;6;0.0
meurt;12;0.0001
pareils;13;0.0001
court;26;0.0002
moustache;16;0.0001
avions;20;0.0001
être;377;0.0028
laisser;55;0.0004
petit;100;0.0007
change;6;0.0
crie;7;0.0001
sort;18;0.0001
prouve;8;0.0001
