mot;occurrence;frequence
vrai;22;0.0017
état;6;0.0005
ont;25;0.0019
reste;9;0.0007
froid;9;0.0007
enfin;38;0.0029
quatre;12;0.0009
qu’;68;0.0052
ciel;8;0.0006
pistolet;7;0.0005
soir;15;0.0011
ferais;9;0.0007
aurais;9;0.0007
force;16;0.0012
fallait;9;0.0007
raisons;9;0.0007
puisqu’;7;0.0005
monté;6;0.0005
beaucoup;26;0.002
cœur;39;0.003
décidé;6;0.0005
oui;46;0.0035
loin;28;0.0021
foyer;7;0.0005
rubans;8;0.0006
mal;22;0.0017
œil;6;0.0005
esprit;18;0.0014
jeta;8;0.0006
auprès;13;0.001
paysans;10;0.0008
étais;13;0.001
compte;6;0.0005
te;35;0.0027
prit;13;0.001
chère;6;0.0005
bête;10;0.0008
pouvez;10;0.0008
surtout;10;0.0008
mettre;16;0.0012
homme;61;0.0047
pris;13;0.001
que;7;0.0005
colère;10;0.0008
partie;15;0.0011
gens;29;0.0022
volonté;10;0.0008
trouva;8;0.0006
train;6;0.0005
petites;6;0.0005
pourtant;27;0.0021
manière;8;0.0006
cinquante;7;0.0005
point;67;0.0051
viens;6;0.0005
milieu;12;0.0009
paysan;8;0.0006
parti;10;0.0008
vin;12;0.0009
…;34;0.0026
homme-là;9;0.0007
possible;6;0.0005
petit-pierre;19;0.0014
fossoyeur;28;0.0021
mariée;9;0.0007
rouge;6;0.0005
longtemps;13;0.001
veut;15;0.0011
retrouver;6;0.0005
lutte;6;0.0005
eut;22;0.0017
diable;7;0.0005
personne;20;0.0015
aura;9;0.0007
répondit;48;0.0037
arrêta;7;0.0005
donnez;7;0.0005
humeur;8;0.0006
porter;8;0.0006
coutume;6;0.0005
fourche;21;0.0016
coup;16;0.0012
était;177;0.0135
venait;10;0.0008
lieu;13;0.001
demanda;8;0.0006
aime;25;0.0019
près;8;0.0006
sillon;14;0.0011
soin;9;0.0007
fût;12;0.0009
fille;85;0.0065
ennui;6;0.0005
faire;90;0.0069
livrées;8;0.0006
large;6;0.0005
travers;9;0.0007
fera;9;0.0007
mère;58;0.0044
amitié;9;0.0007
seulement;12;0.0009
forme;8;0.0006
plaisir;10;0.0008
simple;9;0.0007
hommes;16;0.0012
bas;6;0.0005
tes;11;0.0008
aller;31;0.0024
entendu;6;0.0005
a;160;0.0122
filles;14;0.0011
avons;29;0.0022
pourquoi;18;0.0014
fais;8;0.0006
genoux;10;0.0008
trouver;14;0.0011
trouve;10;0.0008
dix;8;0.0006
ici;27;0.0021
arbres;6;0.0005
petits;13;0.001
là;72;0.0055
quoique;9;0.0007
lorsqu’;14;0.0011
voyait;7;0.0005
cent;6;0.0005
sac;7;0.0005
honte;6;0.0005
maisons;6;0.0005
tête;38;0.0029
deux;52;0.004
mot;11;0.0008
avais;16;0.0012
fier;7;0.0005
manger;11;0.0008
sommes;19;0.0014
;59;0.0045
oh;6;0.0005
heures;16;0.0012
raison;25;0.0019
grand-mère;8;0.0006
pieds;18;0.0014
pauvre;47;0.0036
devait;8;0.0006
faisait;16;0.0012
nature;8;0.0006
voulait;11;0.0008
fiancé;7;0.0005
fin;11;0.0008
chose;32;0.0024
faim;15;0.0011
semblait;7;0.0005
abord;9;0.0007
aimer;9;0.0007
corps;7;0.0005
bouvier;6;0.0005
venir;8;0.0006
est;430;0.0328
mieux;36;0.0027
laide;8;0.0006
chant;8;0.0006
allez;12;0.0009
germain;240;0.0183
doute;23;0.0018
riche;11;0.0008
oublié;7;0.0005
quasi;6;0.0005
voilà;32;0.0024
emmener;7;0.0005
voyant;15;0.0011
soleil;6;0.0005
art;6;0.0005
artiste;6;0.0005
trouvait;7;0.0005
jolie;8;0.0006
déjà;22;0.0017
veux;31;0.0024
autres;34;0.0026
marie;150;0.0114
venu;15;0.0011
pied;9;0.0007
gros;9;0.0007
habitude;6;0.0005
village;8;0.0006
pourrait;9;0.0007
vieux;38;0.0029
silence;6;0.0005
maison;46;0.0035
font;10;0.0008
non;41;0.0031
bergère;10;0.0008
veuve;21;0.0016
mains;11;0.0008
suis;40;0.003
répondre;7;0.0005
écria;9;0.0007
voyez;15;0.0011
causer;6;0.0005
fut;32;0.0024
garçons;7;0.0005
autre;50;0.0038
perdre;11;0.0008
pâle;6;0.0005
lucarne;6;0.0005
tout;119;0.0091
bout;19;0.0014
voyons;10;0.0008
envie;12;0.0009
amour;10;0.0008
guillette;16;0.0012
autrement;9;0.0007
arrive;9;0.0007
temps;42;0.0032
âme;12;0.0009
montrer;9;0.0007
vit;9;0.0007
sont;57;0.0043
chemins;9;0.0007
encore;75;0.0057
vingt;7;0.0005
dernier;6;0.0005
triste;14;0.0011
amis;11;0.0008
grande;15;0.0011
voulu;11;0.0008
peut;25;0.0019
côtés;6;0.0005
agit;7;0.0005
fait;87;0.0066
pleurer;13;0.001
dormir;7;0.0005
bastien;6;0.0005
pain;9;0.0007
fermier;20;0.0015
ailleurs;19;0.0014
chanvreur;37;0.0028
pitié;7;0.0005
église;6;0.0005
usage;7;0.0005
coucher;6;0.0005
mauvaise;9;0.0007
uns;6;0.0005
serait;23;0.0018
jeunes;17;0.0013
dites;10;0.0008
sais;22;0.0017
blanc;8;0.0006
dis;7;0.0005
peu;74;0.0056
êtes;33;0.0025
mit;17;0.0013
ferait;7;0.0005
main;16;0.0012
prendre;19;0.0014
ai;107;0.0082
matin;11;0.0008
pardon;6;0.0005
très;15;0.0011
si;22;0.0017
bêtes;11;0.0008
plutôt;6;0.0005
paraît;7;0.0005
faite;10;0.0008
dieu;28;0.0021
bras;34;0.0026
jusqu’;27;0.0021
bœufs;20;0.0015
grands;15;0.0011
venue;7;0.0005
donc;65;0.005
rester;10;0.0008
regarder;9;0.0007
voyage;9;0.0007
voulez;23;0.0018
aussi;69;0.0053
terre;35;0.0027
longue;7;0.0005
va;18;0.0014
disant;13;0.001
tandis;14;0.0011
regarde;7;0.0005
demander;15;0.0011
pu;13;0.001
aperçut;6;0.0005
savait;6;0.0005
pays;18;0.0014
malheur;7;0.0005
maître;11;0.0008
petite;118;0.009
bien;198;0.0151
passait;7;0.0005
rendre;15;0.0011
prenant;6;0.0005
ormeaux;14;0.0011
savoir;11;0.0008
chiens;8;0.0006
ensuite;6;0.0005
marche;11;0.0008
elle;12;0.0009
vais;12;0.0009
feu;38;0.0029
passer;14;0.0011
entend;6;0.0005
courage;17;0.0013
toujours;43;0.0033
vient;7;0.0005
beau;32;0.0024
aujourd’hui;17;0.0013
brouillard;8;0.0006
donner;15;0.0011
sorte;10;0.0008
cour;9;0.0007
reprit;18;0.0014
rude;6;0.0005
trois;38;0.0029
vaste;7;0.0005
paille;8;0.0006
jours;12;0.0009
—;16;0.0012
monde;25;0.0019
dit;165;0.0126
serai;6;0.0005
chemin;18;0.0014
faisaient;6;0.0005
air;29;0.0022
manteau;7;0.0005
maintenant;6;0.0005
regarda;10;0.0008
voulons;6;0.0005
paroisse;6;0.0005
heure;28;0.0021
parler;23;0.0018
as;21;0.0016
attendre;7;0.0005
amoureux;7;0.0005
travail;25;0.0019
cheval;23;0.0018
ouvrez;8;0.0006
brave;6;0.0005
ainsi;32;0.0024
vieille;18;0.0014
cependant;10;0.0008
grise;28;0.0021
honnête;6;0.0005
long;8;0.0006
avait;119;0.0091
étaient;22;0.0017
été;37;0.0028
tiens;15;0.0011
sein;7;0.0005
lune;7;0.0005
heureux;11;0.0008
eh;29;0.0022
comment;17;0.0013
rebec;6;0.0005
faut;61;0.0047
connais;9;0.0007
jardin;6;0.0005
fort;34;0.0026
toutes;23;0.0018
léonard;20;0.0015
vieillard;6;0.0005
porte;26;0.002
disait;9;0.0007
mariage;17;0.0013
pas;507;0.0387
passé;15;0.0011
fiancée;14;0.0011
paroles;13;0.001
endroit;20;0.0015
même;47;0.0036
eu;19;0.0014
mouvement;7;0.0005
avez;53;0.004
choses;11;0.0008
avoir;35;0.0027
père;77;0.0059
campagnes;7;0.0005
peau;7;0.0005
ouvrage;6;0.0005
enfant;83;0.0063
eau;7;0.0005
voir;45;0.0034
entrer;12;0.0009
regardait;8;0.0006
prenez;6;0.0005
campagne;12;0.0009
six;7;0.0005
fou;6;0.0005
tombe;8;0.0006
jour;35;0.0027
toi;41;0.0031
tant;29;0.0022
tous;33;0.0025
coups;11;0.0008
bonne;40;0.003
sentiment;8;0.0006
belair;7;0.0005
passant;6;0.0005
songer;9;0.0007
chagrin;11;0.0008
es;10;0.0008
grandes;6;0.0005
guère;17;0.0013
aviez;6;0.0005
cacher;7;0.0005
vu;17;0.0013
catherine;11;0.0008
avaient;17;0.0013
danser;6;0.0005
animaux;9;0.0007
su;6;0.0005
grand;28;0.0021
ton;22;0.0017
peur;13;0.001
partout;6;0.0005
bon;39;0.003
autour;12;0.0009
champs;16;0.0012
paraissait;6;0.0005
côté;23;0.0018
mort;33;0.0025
suite;10;0.0008
vérité;9;0.0007
pauvres;16;0.0012
cause;7;0.0005
service;8;0.0006
davantage;7;0.0005
entrée;9;0.0007
famille;21;0.0016
yeux;35;0.0027
pense;13;0.001
ferme;12;0.0009
ensemble;13;0.001
ne;813;0.062
perdu;6;0.0005
tromper;6;0.0005
jeunesse;9;0.0007
maurice;38;0.0029
gibier;9;0.0007
cuire;8;0.0006
souper;7;0.0005
impossible;6;0.0005
bonnes;11;0.0008
entends;7;0.0005
jamais;43;0.0033
noces;11;0.0008
jument;12;0.0009
moins;30;0.0023
moyen;9;0.0007
beauté;6;0.0005
droit;9;0.0007
sortir;6;0.0005
présent;27;0.0021
bois;40;0.003
fit;16;0.0012
attelage;7;0.0005
arrivé;6;0.0005
bientôt;13;0.001
peut-être;24;0.0018
dos;6;0.0005
trop;61;0.0047
sens;11;0.0008
fois;27;0.0021
savez;6;0.0005
mare;8;0.0006
païen;11;0.0008
voix;22;0.0017
misère;14;0.0011
ans;30;0.0023
chou;17;0.0013
oublier;8;0.0006
chanvre;8;0.0006
signe;7;0.0005
beau-père;15;0.0011
faudrait;7;0.0005
court;7;0.0005
raisonnable;6;0.0005
mari;20;0.0015
tu;121;0.0092
soit;27;0.0021
matrones;8;0.0006
chevaux;8;0.0006
accepter;6;0.0005
holbein;13;0.001
grâce;7;0.0005
voudrais;6;0.0005
parents;18;0.0014
chercher;16;0.0012
idées;9;0.0007
eût;20;0.0015
penser;10;0.0008
peux;12;0.0009
sueur;6;0.0005
seul;13;0.001
courir;8;0.0006
être;63;0.0048
route;12;0.0009
chênes;6;0.0005
bât;6;0.0005
laboureur;40;0.003
petit;57;0.0043
laisser;13;0.001
journée;13;0.001
haut;9;0.0007
ayez;7;0.0005
plus;204;0.0156
arriver;7;0.0005
antique;9;0.0007
conduire;6;0.0005
garçon;15;0.0011
sort;10;0.0008
âge;24;0.0018
tranquille;10;0.0008
année;15;0.0011
visage;7;0.0005
allons;31;0.0024
hélas;11;0.0008
pensée;11;0.0008
pierre;27;0.0021
adieu;7;0.0005
métairie;9;0.0007
nouvelle;8;0.0006
nuit;30;0.0023
nouveau;9;0.0007
crois;14;0.0011
sera;15;0.0011
dise;6;0.0005
noce;15;0.0011
front;9;0.0007
autant;14;0.0011
sait;15;0.0011
mauvais;14;0.0011
assez;35;0.0027
frais;7;0.0005
chanter;10;0.0008
table;8;0.0006
ah;21;0.0016
bruit;9;0.0007
moment;13;0.001
dirai;8;0.0006
dire;45;0.0034
drap;9;0.0007
sûr;8;0.0006
idée;26;0.002
aimerais;10;0.0008
dessus;9;0.0007
toute;18;0.0014
vue;15;0.0011
doit;7;0.0005
peine;34;0.0026
belle;25;0.0019
esprits;7;0.0005
malheureux;6;0.0005
jeune;53;0.004
moutons;8;0.0006
jacques;6;0.0005
place;20;0.0015
bâton;8;0.0006
aurait;16;0.0012
argent;7;0.0005
pouvait;14;0.0011
embrasser;10;0.0008
attention;9;0.0007
vivre;7;0.0005
histoire;9;0.0007
bonheur;12;0.0009
prise;6;0.0005
femme;90;0.0069
entendre;11;0.0008
demain;6;0.0005
faisant;6;0.0005
enfants;53;0.004
besoin;12;0.0009
serais;12;0.0009
vite;15;0.0011
part;16;0.0012
lit;15;0.0011
branches;10;0.0008
broche;10;0.0008
allait;9;0.0007
beaux;8;0.0006
effet;8;0.0006
crains;8;0.0006
propre;7;0.0005
vie;26;0.002
est-à-dire;6;0.0005
vois;22;0.0017
faites;10;0.0008
dernière;7;0.0005
seule;10;0.0008
fils;22;0.0017
appelle;9;0.0007
alors;38;0.0029
