mot;occurrence;frequence
ont;30;0.0012
enfin;38;0.0015
quatre;12;0.0005
estime;13;0.0005
rive;8;0.0003
figure;24;0.0009
aise;14;0.0006
tira;6;0.0002
sœur;18;0.0007
te;63;0.0025
homme;28;0.0011
pris;25;0.001
pensait;25;0.001
gens;28;0.0011
eurent;7;0.0003
confesser;6;0.0002
manière;27;0.0011
follet;26;0.001
possible;10;0.0004
appris;7;0.0003
rouge;15;0.0006
appelait;8;0.0003
sylvain;21;0.0008
paix;6;0.0002
eut;58;0.0023
hier;7;0.0003
couché;7;0.0003
eue;9;0.0004
or;6;0.0002
roulettes;9;0.0004
herbes;10;0.0004
puisse;8;0.0003
droite;7;0.0003
aime;29;0.0011
fille;63;0.0025
cosse;14;0.0006
tes;8;0.0003
a;254;0.01
semblant;6;0.0002
croyant;7;0.0003
peuvent;6;0.0002
dû;15;0.0006
étant;15;0.0006
presque;12;0.0005
lorsqu’;15;0.0006
cent;6;0.0002
aimée;8;0.0003
honte;29;0.0011
tête;37;0.0015
deux;104;0.0041
mot;24;0.0009
avais;25;0.001
pouvoir;14;0.0006
raison;32;0.0013
heures;6;0.0002
pieds;11;0.0004
pauvre;74;0.0029
frères;6;0.0002
voulait;40;0.0016
femmes;8;0.0003
aimer;14;0.0006
persuader;6;0.0002
mieux;61;0.0024
laide;21;0.0008
personnes;10;0.0004
craindre;8;0.0003
doute;13;0.0005
voyant;33;0.0013
joncière;15;0.0006
art;6;0.0002
fantaisie;11;0.0004
veux;41;0.0016
vieux;11;0.0004
furent;10;0.0004
font;16;0.0006
amusement;10;0.0004
aimable;6;0.0002
mettait;9;0.0004
répondre;10;0.0004
mois;21;0.0008
maladie;8;0.0003
première;32;0.0013
temps;105;0.0041
âme;19;0.0008
couleur;7;0.0003
nouvelles;8;0.0003
madelon;76;0.003
forte;10;0.0004
fait;203;0.008
côtés;7;0.0003
plaindre;9;0.0004
quelquefois;15;0.0006
clarté;8;0.0003
intérêt;9;0.0004
mauvaise;34;0.0013
dites;11;0.0004
mit;19;0.0008
bessonnière;28;0.0011
main;41;0.0016
folle;9;0.0004
pardonne;6;0.0002
caillaud;46;0.0018
malades;6;0.0002
paraît;6;0.0002
fête;10;0.0004
donnait;7;0.0003
bras;18;0.0007
grands;24;0.0009
occasion;11;0.0004
carrière;10;0.0004
rester;11;0.0004
malheur;14;0.0006
disant;31;0.0012
demander;24;0.0009
pays;27;0.0011
bien;510;0.0201
prenant;13;0.0005
passer;29;0.0011
sorte;7;0.0003
commença;6;0.0002
dit;272;0.0107
