mot;occurrence;frequence
belle-sœur;9;0.0001
ont;76;0.0008
action;11;0.0001
charmant;17;0.0002
enfin;118;0.0012
baron;9;0.0001
quatre;72;0.0007
pousser;8;0.0001
œuvre;11;0.0001
poursuivi;9;0.0001
ose;7;0.0001
rentrer;18;0.0002
tiède;8;0.0001
deviné;15;0.0002
pourrais;6;0.0001
saurai;7;0.0001
courrier;12;0.0001
précaution;12;0.0001
éprouvait;6;0.0001
planches;6;0.0001
siècle;7;0.0001
comprenant;6;0.0001
pavé;7;0.0001
plan;19;0.0002
éclatant;10;0.0001
disparut;16;0.0002
figure;48;0.0005
aise;17;0.0002
heureuse;7;0.0001
procureur;10;0.0001
véritable;19;0.0002
séparait;7;0.0001
étions;14;0.0001
catholique;41;0.0004
tira;37;0.0004
te;89;0.0009
jeanne;6;0.0001
écurie;6;0.0001
sœur;54;0.0005
bastille;14;0.0001
24;6;0.0001
retentirent;6;0.0001
cœurs;9;0.0001
royale;28;0.0003
extrémité;17;0.0002
choisi;9;0.0001
homme;381;0.0039
pris;55;0.0006
livide;11;0.0001
prisonniers;9;0.0001
prononcer;9;0.0001
piqueurs;8;0.0001
aspect;14;0.0001
gens;69;0.0007
détails;15;0.0002
préviens;8;0.0001
jetant;13;0.0001
langue;14;0.0001
manière;22;0.0002
enfonça;9;0.0001
espace;7;0.0001
comprit;34;0.0003
continuer;10;0.0001
publique;7;0.0001
quelconque;13;0.0001
possible;31;0.0003
poitrine;52;0.0005
appris;16;0.0002
causait;11;0.0001
pape;8;0.0001
assurer;14;0.0001
parfois;18;0.0002
réussi;6;0.0001
rouge;53;0.0005
appelait;25;0.0003
envoyer;12;0.0001
frappé;14;0.0001
sorti;20;0.0002
eut;57;0.0006
supplie;10;0.0001
hier;45;0.0005
étonnement;30;0.0003
but;24;0.0002
retenir;13;0.0001
trouvera;9;0.0001
couché;15;0.0002
or;80;0.0008
suivez;7;0.0001
entier;12;0.0001
posa;13;0.0001
puisse;14;0.0001
principaux;12;0.0001
avenir;16;0.0002
horrible;11;0.0001
permet;6;0.0001
tut;8;0.0001
doigt;35;0.0004
sinistre;10;0.0001
agir;10;0.0001
droite;33;0.0003
échappa;7;0.0001
aime;93;0.0009
entièrement;9;0.0001
gris;9;0.0001
disiez;10;0.0001
besogne;13;0.0001
debout;29;0.0003
parfaite;11;0.0001
fille;60;0.0006
honneur;69;0.0007
accompagnée;9;0.0001
poussant;15;0.0002
concierge;13;0.0001
acquis;7;0.0001
large;26;0.0003
accès;7;0.0001
important;12;0.0001
forme;14;0.0001
riant;35;0.0004
répond;7;0.0001
saisissant;10;0.0001
tes;12;0.0001
offrait;8;0.0001
a;834;0.0085
manche;7;0.0001
objets;6;0.0001
tournure;6;0.0001
difficile;19;0.0002
semblant;15;0.0002
parlons;12;0.0001
boîtes;6;0.0001
anjou;97;0.001
çà;25;0.0003
non-seulement;24;0.0002
dîner;11;0.0001
cor;10;0.0001
bondit;9;0.0001
noire;7;0.0001
saint-antoine;15;0.0002
france;116;0.0012
croyant;6;0.0001
étant;19;0.0002
peuvent;10;0.0001
désirs;9;0.0001
presque;82;0.0008
semblaient;14;0.0001
dû;20;0.0002
caprice;7;0.0001
armé;10;0.0001
promenant;6;0.0001
tête;237;0.0024
lorsqu’;51;0.0005
sortie;16;0.0002
assassins;12;0.0001
deux;552;0.0056
éteindre;8;0.0001
mot;89;0.0009
avais;85;0.0009
interrogatoire;8;0.0001
pénétrer;13;0.0001
aimée;13;0.0001
parfumeur;23;0.0002
hurière;131;0.0013
pouvoir;20;0.0002
épaisse;7;0.0001
cent;51;0.0005
valets;10;0.0001
raison;72;0.0007
heures;133;0.0014
pieds;50;0.0005
pauvre;101;0.001
frères;28;0.0003
commence;6;0.0001
frappe;9;0.0001
voulait;45;0.0005
disons;6;0.0001
cavaliers;12;0.0001
fermée;11;0.0001
appuya;19;0.0002
remarqué;14;0.0001
cimetière;7;0.0001
tenu;10;0.0001
prononcés;7;0.0001
désir;21;0.0002
aimer;17;0.0002
femmes;78;0.0008
écartant;7;0.0001
foule;24;0.0002
maîtresse;25;0.0003
mieux;129;0.0013
trente;15;0.0002
allez;89;0.0009
personnes;25;0.0003
craindre;16;0.0002
doute;131;0.0013
poignard;48;0.0005
suivirent;7;0.0001
oubliez;10;0.0001
comédie;7;0.0001
poëte;6;0.0001
voyant;59;0.0006
tressaillant;7;0.0001
lieues;13;0.0001
retournant;38;0.0004
perd;7;0.0001
rez-de-chaussée;8;0.0001
héron;16;0.0002
accourut;6;0.0001
art;10;0.0001
ardent;16;0.0002
veux;106;0.0011
prirent;6;0.0001
rentrant;11;0.0001
chercha;7;0.0001
vieux;30;0.0003
prévu;9;0.0001
sombres;10;0.0001
duchesse;95;0.001
capitaine;57;0.0006
furent;25;0.0003
aimez;23;0.0002
satisfait;8;0.0001
éclaira;7;0.0001
entrez;11;0.0001
font;13;0.0001
attentivement;8;0.0001
rappelait;11;0.0001
mettait;7;0.0001
répondre;31;0.0003
balbutia;13;0.0001
sourd;15;0.0002
héros;12;0.0001
mois;23;0.0002
arrêté;30;0.0003
protestant;9;0.0001
couverts;7;0.0001
maladie;15;0.0002
conduisait;11;0.0001
lanterne;9;0.0001
restés;6;0.0001
docteur;6;0.0001
rentrez;7;0.0001
dague;8;0.0001
autrement;14;0.0001
instinct;9;0.0001
première;83;0.0008
temps;190;0.0019
âme;48;0.0005
porcian;10;0.0001
couleur;11;0.0001
exprès;6;0.0001
bien-aimé;8;0.0001
nouvelles;37;0.0004
venez;69;0.0007
traiter;7;0.0001
forte;18;0.0002
trouves;6;0.0001
holà;13;0.0001
soins;13;0.0001
reconnaissance;16;0.0002
fait;435;0.0044
côtés;21;0.0002
bruyante;6;0.0001
ronsard;9;0.0001
pressant;6;0.0001
quelquefois;13;0.0001
empoisonnement;6;0.0001
espère;29;0.0003
église;6;0.0001
usage;7;0.0001
reconnaissant;14;0.0001
intérêt;19;0.0002
tremblante;21;0.0002
sembla;8;0.0001
mauvaise;14;0.0001
servait;6;0.0001
messager;6;0.0001
traces;11;0.0001
baissant;12;0.0001
éclairée;8;0.0001
dites;91;0.0009
rougit;9;0.0001
mit;45;0.0005
main;346;0.0035
téligny;12;0.0001
folle;8;0.0001
mercandon;27;0.0003
pardonne;14;0.0001
craignez;6;0.0001
repos;12;0.0001
instant;145;0.0015
paraît;43;0.0004
approcha;45;0.0005
fouet;6;0.0001
fuite;19;0.0002
donnait;36;0.0004
rené;262;0.0027
bras;114;0.0012
fête;20;0.0002
tenant;13;0.0001
respectueusement;11;0.0001
soulever;11;0.0001
occasion;33;0.0003
mélancolie;7;0.0001
grands;20;0.0002
traître;7;0.0001
altesse;28;0.0003
monseigneur;67;0.0007
révéler;7;0.0001
rester;17;0.0002
masse;7;0.0001
épouvantée;7;0.0001
jetèrent;6;0.0001
naturel;12;0.0001
catholiques;24;0.0002
rapide;23;0.0002
trahison;8;0.0001
remit;21;0.0002
attendrai;9;0.0001
admiration;10;0.0001
secoua;8;0.0001
alerte;9;0.0001
informe;6;0.0001
longue;27;0.0003
recula;11;0.0001
fidèles;7;0.0001
malheur;30;0.0003
disant;30;0.0003
merveille;14;0.0001
demander;45;0.0005
décidément;6;0.0001
guide;15;0.0002
bien;918;0.0093
pays;8;0.0001
changeant;6;0.0001
brillante;6;0.0001
épaules;28;0.0003
prenant;28;0.0003
connaissez;17;0.0002
chiens;38;0.0004
menaçant;11;0.0001
passer;65;0.0007
huguenot;67;0.0007
projet;13;0.0001
complaisance;9;0.0001
nancey;54;0.0005
morceaux;10;0.0001
sorte;36;0.0004
vestibule;9;0.0001
laissons;10;0.0001
joues;9;0.0001
traversait;10;0.0001
commença;13;0.0001
dit;2127;0.0217
obéissance;7;0.0001
chemin;57;0.0006
silencieusement;6;0.0001
violemment;8;0.0001
épieu;16;0.0002
ouverte;20;0.0002
récompense;10;0.0001
voler;8;0.0001
regarda;75;0.0008
répète;10;0.0001
difficulté;8;0.0001
croyait;17;0.0002
appuyer;8;0.0001
poison;16;0.0002
perçant;7;0.0001
gentilhomme;113;0.0012
quant;63;0.0006
feuille;10;0.0001
sauta;6;0.0001
spectacle;22;0.0002
rues;8;0.0001
auberge;7;0.0001
relevant;12;0.0001
chancelant;8;0.0001
protecteur;6;0.0001
égale;6;0.0001
ainsi;124;0.0013
extraordinaire;7;0.0001
humble;6;0.0001
cousin;10;0.0001
annonce;6;0.0001
fui;6;0.0001
fort;133;0.0014
penchant;9;0.0001
étage;21;0.0002
mie;14;0.0001
seconde;57;0.0006
seront;24;0.0002
pont;26;0.0003
dresser;7;0.0001
prêt;33;0.0003
pas;1565;0.0159
passé;51;0.0005
soudain;11;0.0001
traversa;19;0.0002
alliance;13;0.0001
gagner;11;0.0001
montfaucon;9;0.0001
achevait;9;0.0001
endroit;35;0.0004
rapidement;23;0.0002
che;6;0.0001
légers;19;0.0002
pousse;9;0.0001
mouvement;81;0.0008
avez;320;0.0033
dormait;14;0.0001
apercevant;18;0.0002
regards;15;0.0002
mérite;10;0.0001
habile;11;0.0001
violence;6;0.0001
vol;29;0.0003
justice;12;0.0001
exiger;8;0.0001
demeuré;8;0.0001
six;44;0.0004
éclat;9;0.0001
regardait;28;0.0003
emporté;9;0.0001
vis;8;0.0001
quarante;7;0.0001
avançait;6;0.0001
seras;10;0.0001
tant;86;0.0009
nuits;6;0.0001
oreste;8;0.0001
tous;241;0.0025
irai;11;0.0001
ait;35;0.0004
entrant;6;0.0001
prison;8;0.0001
fixement;10;0.0001
bah;21;0.0002
destiné;8;0.0001
habituelle;7;0.0001
passant;16;0.0002
es;27;0.0003
suit;6;0.0001
entretien;13;0.0001
tombant;9;0.0001
guère;7;0.0001
offre;7;0.0001
fou;16;0.0002
apprendre;11;0.0001
aiguille;14;0.0001
lentement;14;0.0001
baiser;13;0.0001
menace;9;0.0001
ferez;11;0.0001
impassible;9;0.0001
surprise;23;0.0002
huit;42;0.0004
reposer;6;0.0001
cherchait;13;0.0001
protestants;7;0.0001
rendu;15;0.0002
partout;11;0.0001
peur;39;0.0004
remonta;7;0.0001
chefs;11;0.0001
murs;10;0.0001
portes;38;0.0004
emmené;6;0.0001
parfums;15;0.0002
vint;38;0.0004
cause;40;0.0004
circonstance;9;0.0001
ouverture;15;0.0002
service;32;0.0003
davantage;10;0.0001
promesses;7;0.0001
comprendre;18;0.0002
ordre;78;0.0008
image;7;0.0001
séance;10;0.0001
cachée;7;0.0001
figurine;8;0.0001
chasser;16;0.0002
distinguer;7;0.0001
favoris;7;0.0001
pourra;8;0.0001
ensemble;31;0.0003
satisfaction;8;0.0001
voulut;14;0.0001
menaçait;6;0.0001
tromper;10;0.0001
situation;12;0.0001
double;34;0.0003
après-demain;6;0.0001
assise;6;0.0001
exécuter;6;0.0001
patience;6;0.0001
informer;6;0.0001
impossible;40;0.0004
congédia;6;0.0001
appuyant;11;0.0001
entends;21;0.0002
répéta;25;0.0003
pur;8;0.0001
pommeau;6;0.0001
jamais;126;0.0013
prié;6;0.0001
certainement;26;0.0003
soupçons;11;0.0001
opinion;7;0.0001
premiers;14;0.0001
placer;6;0.0001
espèce;41;0.0004
retour;21;0.0002
laissait;13;0.0001
perte;6;0.0001
symptômes;6;0.0001
arrivé;51;0.0005
manquait;8;0.0001
soutenu;9;0.0001
coupable;21;0.0002
trop;103;0.001
souriant;53;0.0005
conséquent;17;0.0002
fond;48;0.0005
engagé;8;0.0001
véritablement;20;0.0002
tressaillit;14;0.0001
reculer;6;0.0001
risque;11;0.0001
oublier;6;0.0001
humaine;8;0.0001
flot;7;0.0001
résulta;6;0.0001
larges;11;0.0001
court;13;0.0001
folie;12;0.0001
brigand;6;0.0001
accusation;6;0.0001
portée;8;0.0001
moustache;10;0.0001
façon;41;0.0004
