mot;occurrence;frequence
ont;121;0.001
signalé;9;0.0001
quatre;71;0.0006
derohan;141;0.0012
veuille;8;0.0001
pamphlet;15;0.0001
estime;8;0.0001
vis-à-vis;7;0.0001
éclatant;8;0.0001
plan;15;0.0001
effaré;6;0.0001
croirait;11;0.0001
choisi;14;0.0001
homme;507;0.0042
promenades;16;0.0001
changement;11;0.0001
épreuve;14;0.0001
préviens;10;0.0001
différence;8;0.0001
événemens;12;0.0001
xiii;6;0.0001
vii;6;0.0001
tut;17;0.0001
échappa;7;0.0001
gris;13;0.0001
parfaite;9;0.0001
glacé;11;0.0001
déclaration;7;0.0001
tes;8;0.0001
a;1072;0.0089
tournure;11;0.0001
difficile;29;0.0002
voisin;19;0.0002
saint-martin;7;0.0001
navire;6;0.0001
caprice;14;0.0001
sortie;19;0.0002
deux;637;0.0053
mot;150;0.0013
avais;97;0.0008
interrogatoire;8;0.0001
pieds;53;0.0004
fièrement;7;0.0001
éloignait;6;0.0001
fermée;11;0.0001
cousine;7;0.0001
apollon;20;0.0002
cléopâtre;10;0.0001
allez;105;0.0009
voyant;47;0.0004
retournant;30;0.0003
facilement;13;0.0001
perd;10;0.0001
rez-de-chaussée;11;0.0001
art;8;0.0001
prirent;6;0.0001
vieux;49;0.0004
dubarry;31;0.0003
calonne;27;0.0002
capitaine;12;0.0001
croie;6;0.0001
satisfait;7;0.0001
joailliers;68;0.0006
considérer;6;0.0001
arrêté;20;0.0002
galant;17;0.0001
numéro;14;0.0001
trot;6;0.0001
gazetier;40;0.0003
instinct;8;0.0001
âme;52;0.0004
nouvelles;24;0.0002
venez;56;0.0005
reconnue;13;0.0001
reconnaissance;32;0.0003
bruyante;6;0.0001
pressant;6;0.0001
écrivit;11;0.0001
messager;9;0.0001
payer;44;0.0004
main;267;0.0022
folle;27;0.0002
singulière;6;0.0001
repos;15;0.0001
conçu;7;0.0001
fête;6;0.0001
fil;11;0.0001
masse;7;0.0001
retrouve;6;0.0001
disant;54;0.0005
demander;82;0.0007
trente-cinq;6;0.0001
projet;8;0.0001
vestibule;14;0.0001
couru;6;0.0001
laissons;6;0.0001
équivoque;6;0.0001
chemin;37;0.0003
feuille;6;0.0001
huissier;10;0.0001
relevant;9;0.0001
millions;32;0.0003
ouvrez;12;0.0001
oncle;11;0.0001
étage;26;0.0002
pont;11;0.0001
pas;2553;0.0213
dehors;23;0.0002
demandons;7;0.0001
mouvement;93;0.0008
avez;550;0.0046
oubliait;6;0.0001
dormait;11;0.0001
baquet;27;0.0002
x;6;0.0001
mérite;24;0.0002
effets;9;0.0001
vol;33;0.0003
éclat;27;0.0002
demeuré;6;0.0001
regardait;38;0.0003
emporté;8;0.0001
vis;10;0.0001
tombe;12;0.0001
irai;8;0.0001
tombant;12;0.0001
passant;31;0.0003
guère;7;0.0001
lentement;31;0.0003
souverain;6;0.0001
huit;65;0.0005
finances;9;0.0001
rendu;34;0.0003
partout;25;0.0002
murs;12;0.0001
lecteurs;14;0.0001
cause;61;0.0005
circonstance;12;0.0001
davantage;14;0.0001
regret;9;0.0001
généreux;14;0.0001
comprend;9;0.0001
comprendre;32;0.0003
redressant;6;0.0001
portraits;10;0.0001
voulut;25;0.0002
misères;6;0.0001
feux;10;0.0001
informer;8;0.0001
impossible;80;0.0007
angoisse;8;0.0001
appuyant;11;0.0001
pur;13;0.0001
jamais;250;0.0021
certainement;19;0.0002
murmure;14;0.0001
perte;8;0.0001
observer;11;0.0001
raconta;6;0.0001
fond;54;0.0005
véritablement;6;0.0001
tressaillit;23;0.0002
anxiété;12;0.0001
meurt;7;0.0001
pareils;8;0.0001
court;21;0.0002
marquée;11;0.0001
agens;45;0.0004
déclara;10;0.0001
deuxième;18;0.0002
malheurs;10;0.0001
être;379;0.0032
laisser;61;0.0005
petit;107;0.0009
sort;16;0.0001
prouve;16;0.0001
lever;18;0.0002
prochain;6;0.0001
gouttes;17;0.0001
nouvelle;51;0.0004
bal;68;0.0006
effrayée;6;0.0001
rapidité;17;0.0001
sait;59;0.0005
révolution;6;0.0001
silencieux;8;0.0001
forces;24;0.0002
aurions;6;0.0001
révélation;8;0.0001
idée;75;0.0006
soldat;15;0.0001
cardinal;522;0.0044
attaque;10;0.0001
retourner;16;0.0001
commerce;7;0.0001
infâme;10;0.0001
servi;13;0.0001
ému;6;0.0001
bélus;13;0.0001
montre;7;0.0001
pût;13;0.0001
échange;7;0.0001
magnétisme;6;0.0001
jaune;8;0.0001
restons;6;0.0001
reconnais;7;0.0001
expliquer;17;0.0001
desquels;7;0.0001
répondait;7;0.0001
seule;94;0.0008
glace;31;0.0003
vendu;17;0.0001
écarta;6;0.0001
force;70;0.0006
bougie;11;0.0001
commis;20;0.0002
puisqu’;27;0.0002
vain;8;0.0001
fine;15;0.0001
cœur;219;0.0018
époque;28;0.0002
majesté;428;0.0036
arbre;11;0.0001
étais;46;0.0004
compte;50;0.0004
auvergnat;9;0.0001
politesse;17;0.0001
cas;26;0.0002
tellement;29;0.0002
petites;7;0.0001
résolution;16;0.0001
passion;14;0.0001
devint;16;0.0001
chargé;12;0.0001
recherches;9;0.0001
eussiez;22;0.0002
comprenait;12;0.0001
conduisit;6;0.0001
poussière;10;0.0001
aurons;6;0.0001
lu;10;0.0001
était;1028;0.0086
demanda;87;0.0007
vendre;17;0.0001
hôte;6;0.0001
apparaître;6;0.0001
espérer;10;0.0001
ambition;11;0.0001
plaira;15;0.0001
mortel;10;0.0001
entré;13;0.0001
levant;11;0.0001
rendit;17;0.0001
oublia;7;0.0001
commandé;6;0.0001
protestations;6;0.0001
petits;23;0.0002
carrosses;6;0.0001
délire;22;0.0002
opprobre;6;0.0001
espérances;6;0.0001
reçu;79;0.0007
quais;6;0.0001
manie;7;0.0001
augure;7;0.0001
autrefois;17;0.0001
abord;94;0.0008
délices;7;0.0001
intrigue;10;0.0001
gêner;8;0.0001
tenez;44;0.0004
dégel;7;0.0001
voilà;248;0.0021
réflexion;6;0.0001
soyez;32;0.0003
tendre;18;0.0002
rang;14;0.0001
ajouta;74;0.0006
venu;38;0.0003
inutile;26;0.0002
battait;10;0.0001
sujet;36;0.0003
rayon;9;0.0001
édition;6;0.0001
antichambre;36;0.0003
vide;9;0.0001
furieuse;11;0.0001
regardaient;8;0.0001
exposer;9;0.0001
chemins;6;0.0001
bataille;10;0.0001
énormes;7;0.0001
recette;6;0.0001
salua;30;0.0003
partez;10;0.0001
onze;17;0.0001
sinon;35;0.0003
ferait;19;0.0002
prenaient;7;0.0001
passa;49;0.0004
si;80;0.0007
telle;37;0.0003
plutôt;63;0.0005
arrêter;30;0.0003
étendit;8;0.0001
crainte;21;0.0002
paraître;21;0.0002
envoyé;23;0.0002
rougir;11;0.0001
rentrée;15;0.0001
poussé;7;0.0001
terre;58;0.0005
défense;10;0.0001
jouer;10;0.0001
andrée;328;0.0027
nécessité;9;0.0001
intention;16;0.0001
toujours;226;0.0019
trompez;12;0.0001
réfléchissant;6;0.0001
trois;173;0.0014
douloureux;9;0.0001
ressemble;9;0.0001
suivait;8;0.0001
fenêtre;71;0.0006
cristal;6;0.0001
as;20;0.0002
trêve;6;0.0001
dira;10;0.0001
volé;14;0.0001
timide;7;0.0001
iii;7;0.0001
avait;1026;0.0086
semaine;6;0.0001
xi;6;0.0001
comment;203;0.0017
placé;12;0.0001
porte;305;0.0025
servir;20;0.0002
brûler;8;0.0001
momens;14;0.0001
vôtre;18;0.0002
avoir;340;0.0028
cocher;52;0.0004
avant;11;0.0001
lorenza;7;0.0001
prenez;70;0.0006
campagne;10;0.0001
cru;33;0.0003
compagne;45;0.0004
moindre;15;0.0001
mystère;15;0.0001
complimens;7;0.0001
essayant;9;0.0001
mordit;6;0.0001
firent;26;0.0002
carreau;10;0.0001
mystères;9;0.0001
réel;11;0.0001
voudrez;16;0.0001
teint;6;0.0001
adressée;8;0.0001
bon;162;0.0014
reine;1614;0.0135
beausire;464;0.0039
hiver;18;0.0002
monter;25;0.0002
mille;222;0.0019
poignée;8;0.0001
ferme;8;0.0001
saviez;10;0.0001
comptant;12;0.0001
jeunesse;28;0.0002
semblables;6;0.0001
moins;226;0.0019
observations;6;0.0001
savez;130;0.0011
gloire;6;0.0001
voix;176;0.0015
remarquait;6;0.0001
crier;14;0.0001
tu;78;0.0007
bougies;13;0.0001
motifs;6;0.0001
renoncer;7;0.0001
passe;26;0.0002
sol;9;0.0001
plein;42;0.0004
coquin;7;0.0001
reproche;9;0.0001
rayons;8;0.0001
étonné;7;0.0001
attend;25;0.0002
revenait;10;0.0001
chargées;6;0.0001
xxiii;6;0.0001
ah;270;0.0023
accusée;8;0.0001
impénétrable;7;0.0001
questions;17;0.0001
servante;10;0.0001
jambe;9;0.0001
fraîche;9;0.0001
paris;132;0.0011
olivier;51;0.0004
saluer;10;0.0001
remerciez;7;0.0001
intérieure;7;0.0001
salle;71;0.0006
attention;52;0.0004
vêtu;10;0.0001
demain;55;0.0005
besoin;88;0.0007
secrets;30;0.0003
achevez;6;0.0001
partir;38;0.0003
grec;6;0.0001
corridor;19;0.0002
lui;36;0.0003
jaloux;14;0.0001
confiance;36;0.0003
empêcher;15;0.0001
fallait;43;0.0004
excusez;10;0.0001
forcée;11;0.0001
loin;63;0.0005
ironie;14;0.0001
bruyamment;6;0.0001
colère;61;0.0005
volonté;22;0.0002
objecta;7;0.0001
vues;8;0.0001
referma;13;0.0001
causons;7;0.0001
observatoire;7;0.0001
longtemps;46;0.0004
détourna;9;0.0001
ronde;7;0.0001
besoins;8;0.0001
aimé;18;0.0002
exemplaires;16;0.0001
bontés;6;0.0001
libre;46;0.0004
débat;6;0.0001
suivit;12;0.0001
parfaitement;22;0.0002
quatrième;7;0.0001
préparatifs;9;0.0001
hôtel;97;0.0008
dirais;15;0.0001
éteint;13;0.0001
plaisir;49;0.0004
aller;90;0.0008
excellent;10;0.0001
bouche;41;0.0003
agi;11;0.0001
pourquoi;184;0.0015
retira;11;0.0001
mêlé;6;0.0001
cachait;7;0.0001
adoration;9;0.0001
attendons;11;0.0001
étranges;7;0.0001
respectueux;23;0.0002
vertu;15;0.0001
querelle;10;0.0001
remarquer;13;0.0001
fin;33;0.0003
tendit;16;0.0001
serra;15;0.0001
avertit;8;0.0001
irez;8;0.0001
arrivée;26;0.0002
sentit;40;0.0003
envers;29;0.0002
put;24;0.0002
hésitation;8;0.0001
termes;13;0.0001
donnaient;8;0.0001
connu;17;0.0001
goût;30;0.0003
marie;10;0.0001
éloigné;9;0.0001
marché;24;0.0002
fiacre;43;0.0004
coude;6;0.0001
dauphine;23;0.0002
revenant;15;0.0001
disposé;6;0.0001
donné;85;0.0007
contez;7;0.0001
suis;315;0.0026
écria;323;0.0027
vôtres;7;0.0001
entrèrent;11;0.0001
chair;10;0.0001
répliqua;196;0.0016
seigneurs;7;0.0001
courut;29;0.0002
inquiète;19;0.0002
mobilier;10;0.0001
vraiment;26;0.0002
rival;8;0.0001
lettre;67;0.0006
prend;15;0.0001
appeler;27;0.0002
agit;40;0.0003
affectation;8;0.0001
lors;12;0.0001
pareille;30;0.0003
espagne;10;0.0001
refuse;12;0.0001
frémit;8;0.0001
espérait;8;0.0001
rapprocher;7;0.0001
cagliostro;282;0.0024
pencha;10;0.0001
nicole;58;0.0005
coigny;6;0.0001
scènes;7;0.0001
voulez;123;0.001
arracher;11;0.0001
chiffre;7;0.0001
rapides;7;0.0001
souveraine;19;0.0002
adressé;6;0.0001
voulais;14;0.0001
circonstances;9;0.0001
années;14;0.0001
savait;61;0.0005
sauver;17;0.0001
vent;18;0.0002
tempes;12;0.0001
ensuite;21;0.0002
figures;10;0.0001
misérables;6;0.0001
rois;22;0.0002
chiffonnier;12;0.0001
frère;132;0.0011
impression;13;0.0001
affaire;118;0.001
fixe;8;0.0001
entourait;6;0.0001
eussent;21;0.0002
serai;30;0.0003
donnée;19;0.0002
dévoûment;9;0.0001
philippe;359;0.003
serrait;7;0.0001
air;116;0.001
joué;13;0.0001
importante;10;0.0001
merci;59;0.0005
agent;11;0.0001
sévère;16;0.0001
joignant;8;0.0001
signature;11;0.0001
soupçon;14;0.0001
auquel;29;0.0002
madame;1057;0.0088
vieille;45;0.0004
aurez;31;0.0003
ordinaire;22;0.0002
librement;11;0.0001
essaya;13;0.0001
enfer;8;0.0001
roula;11;0.0001
lèvres;52;0.0004
disait;57;0.0005
condition;17;0.0001
chef;8;0.0001
toutefois;14;0.0001
honorable;8;0.0001
danger;39;0.0003
serrant;14;0.0001
rit;7;0.0001
tressaillir;11;0.0001
ami;57;0.0005
composé;11;0.0001
douceur;12;0.0001
toilette;27;0.0002
joyeuse;8;0.0001
entrer;55;0.0005
cherchez;12;0.0001
bruits;26;0.0002
voisins;8;0.0001
marchand;9;0.0001
parc;58;0.0005
atteint;6;0.0001
domicile;8;0.0001
humblement;11;0.0001
quart;27;0.0002
poudre;10;0.0001
recevoir;29;0.0002
puissante;7;0.0001
loué;6;0.0001
accoutumé;6;0.0001
élan;8;0.0001
obscurité;12;0.0001
parent;6;0.0001
produit;13;0.0001
asseoir;9;0.0001
essayer;10;0.0001
familier;6;0.0001
insensiblement;6;0.0001
brûlé;12;0.0001
adorable;6;0.0001
