mot;occurrence;frequence
boutonnière;9;0.0001
estime;8;0.0
transporter;30;0.0002
vis-à-vis;12;0.0001
foyer;19;0.0001
plan;45;0.0003
effaré;8;0.0
effacer;17;0.0001
tribunal;6;0.0
feuilleter;10;0.0001
homme;1609;0.0098
confier;19;0.0001
changement;23;0.0001
canal;8;0.0
épreuve;14;0.0001
différence;8;0.0
revêtir;12;0.0001
dédaigneux;10;0.0001
formule;7;0.0
pape;20;0.0001
ider;9;0.0001
nuire;6;0.0
auteuil;14;0.0001
ramener;37;0.0002
espagnol;33;0.0002
badine;7;0.0
agir;85;0.0005
résoudre;28;0.0002
gris;21;0.0001
mériter;24;0.0001
bagne;15;0.0001
condamner;39;0.0002
déclaration;11;0.0001
occasionner;7;0.0
froisser;10;0.0001
tournure;10;0.0001
difficile;51;0.0003
voisin;55;0.0003
incrédulité;7;0.0
navire;43;0.0003
caprice;30;0.0002
sortie;19;0.0001
consister;8;0.0
éteindre;50;0.0003
mot;302;0.0018
rubis;9;0.0001
interrogatoire;16;0.0001
spada;16;0.0001
cachemire;8;0.0
civilisé;6;0.0
allez;16;0.0001
poignard;36;0.0002
voyant;76;0.0005
adosser;10;0.0001
facilement;17;0.0001
rez-de-chaussée;15;0.0001
art;8;0.0
vieux;147;0.0009
pilule;6;0.0
capitaine;115;0.0007
solidité;7;0.0
satisfait;14;0.0001
considérer;19;0.0001
galant;11;0.0001
fonder;9;0.0001
numéro;37;0.0002
trot;9;0.0001
coclè;33;0.0002
instinct;31;0.0002
âme;76;0.0005
venez;9;0.0001
égarer;24;0.0001
parton;11;0.0001
reconnaissance;41;0.0002
écrivit;13;0.0001
matelot;57;0.0003
majestueux;8;0.0
messager;24;0.0001
payer;98;0.0006
rêver;31;0.0002
main;815;0.0049
singulière;6;0.0
repos;22;0.0001
solliciter;9;0.0001
couper;42;0.0003
fête;24;0.0001
monument;16;0.0001
fil;21;0.0001
lunette;9;0.0001
traître;11;0.0001
masse;24;0.0001
fusiller;6;0.0
muraill;7;0.0
paysage;7;0.0
chimiste;7;0.0
disant;12;0.0001
demander;640;0.0039
épargner;20;0.0001
lier;19;0.0001
projet;62;0.0004
prétendre;44;0.0003
normandie;10;0.0001
heurter;8;0.0
chemin;130;0.0008
circulaire;7;0.0
feuille;29;0.0002
sirop;7;0.0
huissier;20;0.0001
fraise;8;0.0
contracter;9;0.0001
imprimer;11;0.0001
indifférence;15;0.0001
oncle;9;0.0001
étage;37;0.0002
pont;22;0.0001
dresser;41;0.0002
cruel;18;0.0001
mouvement;159;0.001
mérite;39;0.0002
consacrer;10;0.0001
vol;16;0.0001
plaque;13;0.0001
habituer;51;0.0003
inintelligible;8;0.0
exiger;21;0.0001
éclat;39;0.0002
vis;15;0.0001
tombe;58;0.0004
solennel;18;0.0001
moccoli;6;0.0
rédiger;6;0.0
guère;13;0.0001
lentement;46;0.0003
souverain;10;0.0001
partout;42;0.0003
déranger;27;0.0002
fiançaille;18;0.0001
cause;81;0.0005
circonstance;71;0.0004
ouverture;73;0.0004
davantage;31;0.0002
regret;23;0.0001
généreux;18;0.0001
comprend;60;0.0004
comprendre;291;0.0018
infiniment;7;0.0
avaler;13;0.0001
dou;9;0.0001
distinguer;42;0.0003
marseille;8;0.0
casserole;12;0.0001
tempe;14;0.0001
déchirer;21;0.0001
éventail;6;0.0
informer;38;0.0002
impossible;104;0.0006
angoisse;25;0.0002
délivrer;21;0.0001
pur;46;0.0003
jamais;395;0.0024
concession;9;0.0001
certainement;73;0.0004
murmure;10;0.0001
perte;18;0.0001
observer;12;0.0001
pelouse;10;0.0001
fond;128;0.0008
involontairement;6;0.0
véritablement;36;0.0002
tressaillit;30;0.0002
anxiété;12;0.0001
plateau;14;0.0001
huile;7;0.0
court;51;0.0003
largeur;6;0.0
dérobé;9;0.0001
moustache;12;0.0001
nabab;8;0.0
être;2046;0.0124
laisser;323;0.002
petit;440;0.0027
mineur;6;0.0
change;18;0.0001
blesser;28;0.0002
dicter;9;0.0001
sort;43;0.0003
lever;235;0.0014
prochain;33;0.0002
nouvelle;7;0.0
bal;33;0.0002
rapidité;22;0.0001
courageux;12;0.0001
révolution;16;0.0001
croître;9;0.0001
silencieux;16;0.0001
cigare;24;0.0001
révélation;18;0.0001
inspirer;17;0.0001
idée;175;0.0011
roux;8;0.0
ravir;10;0.0001
soldat;63;0.0004
ciseau;7;0.0
cardinal;32;0.0002
attaque;24;0.0001
repose;8;0.0
retourner;168;0.001
commerce;6;0.0
infâme;14;0.0001
ému;13;0.0001
violette;16;0.0001
confortable;7;0.0
montre;41;0.0002
échange;24;0.0001
parcourir;21;0.0001
marier;58;0.0004
jaune;16;0.0001
geôlier;77;0.0005
défunt;6;0.0
expliquer;47;0.0003
vizir;12;0.0001
commenter;7;0.0
flegme;8;0.0
glace;20;0.0001
précipitamment;9;0.0001
occupation;7;0.0
force;178;0.0011
bougie;19;0.0001
commis;7;0.0
puisqu’;12;0.0001
écrite;7;0.0
vain;9;0.0001
fine;6;0.0
cœur;229;0.0014
époque;45;0.0003
banqueroute;10;0.0001
majesté;6;0.0
arbre;57;0.0003
compte;92;0.0006
politesse;30;0.0002
cas;88;0.0005
répliquer;32;0.0002
réitérer;6;0.0
banque;29;0.0002
conseiller;17;0.0001
résolution;53;0.0003
défier;10;0.0001
passion;25;0.0002
devint;19;0.0001
légion;18;0.0001
chargé;10;0.0001
passeport;17;0.0001
extérieur;23;0.0001
conduisit;8;0.0
grandir;16;0.0001
poussière;11;0.0001
carnet;6;0.0
progrès;9;0.0001
étroite;8;0.0
nœud;6;0.0
crisper;16;0.0001
demanda;12;0.0001
serre;14;0.0001
vendre;66;0.0004
mars;10;0.0001
hôte;86;0.0005
apparaître;53;0.0003
espérer;116;0.0007
indiscret;18;0.0001
ambition;17;0.0001
mortel;38;0.0002
levant;9;0.0001
singe;7;0.0
délire;24;0.0001
di;13;0.0001
assombrir;12;0.0001
reçu;11;0.0001
manie;6;0.0
atteler;13;0.0001
préoccuper;22;0.0001
sauter;43;0.0003
surface;13;0.0001
autrefois;10;0.0001
célébrité;6;0.0
gêner;14;0.0001
chevelure;8;0.0
réflexion;22;0.0001
tendre;92;0.0006
rang;28;0.0002
ajouta;74;0.0004
intelliger;13;0.0001
déplacer;9;0.0001
inutile;72;0.0004
marque;6;0.0
compartiment;8;0.0
essaye;6;0.0
sujet;36;0.0002
vêtir;54;0.0003
fixité;7;0.0
rayon;46;0.0003
envier;14;0.0001
antichambre;45;0.0003
vide;44;0.0003
culte;6;0.0
exposer;17;0.0001
pensif;20;0.0001
bataille;12;0.0001
planche;27;0.0002
azur;18;0.0001
recette;7;0.0
casser;9;0.0001
ali;48;0.0003
remède;16;0.0001
salua;20;0.0001
successivement;13;0.0001
composer;41;0.0002
illusion;7;0.0
tranquilliser;8;0.0
ressortir;7;0.0
arrêter;328;0.002
crainte;48;0.0003
linceul;6;0.0
paraître;326;0.002
envoyé;16;0.0001
rougir;22;0.0001
genou;60;0.0004
rebelle;6;0.0
rentrée;8;0.0
terre;201;0.0012
défense;11;0.0001
enfouir;7;0.0
journaliste;15;0.0001
jouer;84;0.0005
capitain;10;0.0001
nécessité;14;0.0001
insister;16;0.0001
observateur;7;0.0
intention;50;0.0003
gémissement;24;0.0001
toscan;9;0.0001
douloureux;31;0.0002
original;9;0.0001
saphir;6;0.0
génération;10;0.0001
fenêtre;154;0.0009
cristal;9;0.0001
timide;11;0.0001
horizon;37;0.0002
poch;6;0.0
semaine;30;0.0002
éblouissement;9;0.0001
porte;637;0.0039
servir;159;0.001
albert;28;0.0002
apparent;18;0.0001
brûler;53;0.0003
catastrophe;19;0.0001
avoir;1629;0.0099
cocher;42;0.0003
création;7;0.0
campagne;27;0.0002
hache;6;0.0
relâche;7;0.0
compagne;10;0.0001
moindre;45;0.0003
mystère;11;0.0001
indiqua;8;0.0
durer;30;0.0002
millier;11;0.0001
base;14;0.0001
patron;80;0.0005
carreau;15;0.0001
vengeur;7;0.0
poing;16;0.0001
réel;21;0.0001
teint;15;0.0001
bon;480;0.0029
débarquement;10;0.0001
reine;18;0.0001
morcerf;115;0.0007
hiver;6;0.0
monter;186;0.0011
larme;94;0.0006
poignée;19;0.0001
ferme;46;0.0003
marinier;7;0.0
bienfaiteur;16;0.0001
jeunesse;27;0.0002
type;9;0.0001
soupirer;23;0.0001
carrer;7;0.0
opale;6;0.0
trancher;8;0.0
banqueroutier;7;0.0
épingle;11;0.0001
armateur;77;0.0005
infinie;13;0.0001
savez;19;0.0001
sot;7;0.0
daigner;7;0.0
voix;340;0.0021
étreindre;9;0.0001
gratter;6;0.0
crier;78;0.0005
complot;8;0.0
fortun;21;0.0001
renoncer;20;0.0001
gilet;28;0.0002
sol;21;0.0001
plein;71;0.0004
coquin;6;0.0
reproche;24;0.0001
guetter;9;0.0001
fugitif;20;0.0001
attend;18;0.0001
hausse;6;0.0
fumer;16;0.0001
contenter;48;0.0003
dépêche;7;0.0
jambe;39;0.0002
quinzaine;7;0.0
saluer;59;0.0004
assister;27;0.0002
éveiller;22;0.0001
intérieure;6;0.0
maudit;9;0.0001
humilier;8;0.0
veu;14;0.0001
salle;76;0.0005
attention;96;0.0006
parfaire;11;0.0001
demain;82;0.0005
besoin;205;0.0012
dépôt;9;0.0001
imbécile;10;0.0001
effleurer;10;0.0001
employer;28;0.0002
partir;166;0.001
grec;28;0.0002
frémir;25;0.0002
éclairer;52;0.0003
énergique;11;0.0001
corridor;56;0.0003
tir;8;0.0
céleste;6;0.0
cloison;11;0.0001
jaloux;11;0.0001
grand-pèr;6;0.0
confiance;50;0.0003
empêcher;59;0.0004
goûter;13;0.0001
mesurer;11;0.0001
loin;73;0.0004
frotter;8;0.0
jaillit;7;0.0
ironie;7;0.0
bête;13;0.0001
bruyamment;6;0.0
incapable;7;0.0
vouer;11;0.0001
serrur;6;0.0
paillasse;7;0.0
colère;35;0.0002
matinée;10;0.0001
volonté;85;0.0005
referma;6;0.0
représentant;9;0.0001
serviette;6;0.0
cuir;6;0.0
lac;14;0.0001
turc;11;0.0001
surveillance;6;0.0
césar;10;0.0001
école;6;0.0
flotter;22;0.0001
cheveu;32;0.0002
terminer;26;0.0002
sultan;11;0.0001
conquérir;7;0.0
plâtre;6;0.0
aimé;8;0.0
miraculeusement;9;0.0001
pesant;6;0.0
chéri;8;0.0
libre;95;0.0006
suivit;28;0.0002
parfaitement;101;0.0006
sillon;7;0.0
attrister;8;0.0
hôtel;127;0.0008
augmenter;22;0.0001
dur;14;0.0001
moccoletto;6;0.0
éteint;9;0.0001
plaisir;72;0.0004
hommage;6;0.0
aller;746;0.0045
excellent;66;0.0004
échelle;21;0.0001
bouche;90;0.0005
affirmatif;7;0.0
jugement;10;0.0001
potion;11;0.0001
population;6;0.0
ger;6;0.0
boucle;9;0.0001
vertu;15;0.0001
juillet;7;0.0
querelle;8;0.0
remarquer;86;0.0005
fin;71;0.0004
constituer;8;0.0
fixer;52;0.0003
tendit;20;0.0001
rente;48;0.0003
arrivée;48;0.0003
sentit;43;0.0003
jurer;54;0.0003
ennuyer;13;0.0001
put;8;0.0
hésitation;20;0.0001
étoffe;9;0.0001
emmener;16;0.0001
creux;6;0.0
connu;7;0.0
goût;42;0.0003
artiste;15;0.0001
providence;40;0.0002
cellule;16;0.0001
marché;10;0.0001
fiacre;12;0.0001
pencher;35;0.0002
coude;15;0.0001
chair;14;0.0001
répliqua;6;0.0
courut;34;0.0002
vraiment;61;0.0004
rival;11;0.0001
lettre;258;0.0016
fiancer;8;0.0
prend;26;0.0002
appeler;307;0.0019
vivr;13;0.0001
pareille;100;0.0006
dilater;20;0.0001
borner;14;0.0001
partisan;6;0.0
disparition;6;0.0
rapprocher;41;0.0002
atome;7;0.0
replacer;10;0.0001
arracher;38;0.0002
chiffre;32;0.0002
éloge;8;0.0
sauver;104;0.0006
vent;52;0.0003
ensuite;31;0.0002
roue;8;0.0
attribuer;9;0.0001
ressentir;22;0.0001
sanglant;7;0.0
substituer;10;0.0001
frère;73;0.0004
impression;31;0.0002
affaire;180;0.0011
criminel;24;0.0001
fixe;21;0.0001
eussent;6;0.0
eugénie;17;0.0001
breuvage;15;0.0001
air;179;0.0011
enfermer;39;0.0002
serrement;6;0.0
agent;38;0.0002
sévère;34;0.0002
signature;37;0.0002
soupçon;26;0.0002
troupeau;9;0.0001
ordinaire;79;0.0005
essaya;14;0.0001
villefort;9;0.0001
enfer;37;0.0002
note;32;0.0002
plaisanter;10;0.0001
condition;35;0.0002
danse;6;0.0
chef;87;0.0005
toutefois;22;0.0001
amasser;11;0.0001
capital;24;0.0001
honorable;17;0.0001
danger;38;0.0002
surprendre;25;0.0002
tressaillir;24;0.0001
envelopper;26;0.0002
mélancolique;14;0.0001
douceur;23;0.0001
toilette;39;0.0002
ami;519;0.0032
entrer;241;0.0015
mouiller;12;0.0001
adorer;27;0.0002
marchand;19;0.0001
verser;51;0.0003
veine;19;0.0001
débarquer;10;0.0001
fleuve;7;0.0
limonade;20;0.0001
humblement;6;0.0
lamentable;6;0.0
quart;59;0.0004
recevoir;189;0.0011
poudre;13;0.0001
nageur;7;0.0
caverne;16;0.0001
élan;17;0.0001
obscurité;55;0.0003
parent;25;0.0002
paroi;12;0.0001
présentation;9;0.0001
produit;7;0.0
grotte;57;0.0003
asseoir;173;0.0011
accomplir;47;0.0003
essayer;122;0.0007
familier;14;0.0001
signal;33;0.0002
foudre;24;0.0001
dégager;8;0.0
assiette;12;0.0001
adorable;13;0.0001
organisation;10;0.0001
affreux;38;0.0002
vendetta;6;0.0
malle;17;0.0001
suspendre;18;0.0001
raisonnable;14;0.0001
défendu;6;0.0
appela;11;0.0001
conscience;54;0.0003
pluie;11;0.0001
agenouiller;9;0.0001
tombeau;14;0.0001
correspondant;21;0.0001
piquer;13;0.0001
amuser;11;0.0001
hélas;55;0.0003
redingote;24;0.0001
comble;13;0.0001
mince;14;0.0001
égard;25;0.0002
sonnette;31;0.0002
joie;121;0.0007
soirée;28;0.0002
autant;95;0.0006
approuver;8;0.0
mauvais;112;0.0007
inférieur;10;0.0001
patient;12;0.0001
loisir;6;0.0
découverte;10;0.0001
découper;6;0.0
vainqueur;7;0.0
palicare;7;0.0
pétrifier;6;0.0
purement;12;0.0001
lèvre;151;0.0009
gésir;6;0.0
fiévreux;12;0.0001
bonheur;159;0.001
décider;56;0.0003
précédent;8;0.0
complice;14;0.0001
enterrer;17;0.0001
comte;1544;0.0094
intérieur;57;0.0003
sourir;60;0.0004
chaise;51;0.0003
pénitent;6;0.0
écusson;6;0.0
retentit;10;0.0001
tenir;282;0.0017
reprise;8;0.0
justement;59;0.0004
strict;7;0.0
midi;57;0.0003
toit;6;0.0
pistolet;69;0.0004
sérieux;22;0.0001
pêche;6;0.0
qualité;25;0.0002
ridicule;21;0.0001
carguer;7;0.0
château;75;0.0005
instruire;12;0.0001
oui;310;0.0019
innocent;26;0.0002
poste;64;0.0004
prit;48;0.0003
bourreau;27;0.0002
flegmatiquement;6;0.0
réunir;38;0.0002
gémir;8;0.0
nouer;8;0.0
commencer;139;0.0008
parvenir;45;0.0003
respect;26;0.0002
scrupule;11;0.0001
immense;53;0.0003
vase;15;0.0001
toile;25;0.0002
promesse;43;0.0003
nombre;19;0.0001
entra;67;0.0004
royaliste;20;0.0001
louer;27;0.0002
couvent;7;0.0
terrible;151;0.0009
sauf;9;0.0001
effrayé;6;0.0
donnez;6;0.0
foi;112;0.0007
faillit;6;0.0
porter;198;0.0012
helder;8;0.0
aubergiste;26;0.0002
bouffée;10;0.0001
lieu;211;0.0013
exactitude;14;0.0001
parterre;9;0.0001
abîme;23;0.0001
ennui;7;0.0
acte;61;0.0004
gazon;7;0.0
arrestation;14;0.0001
briser;82;0.0005
ironique;6;0.0
relatif;9;0.0001
combattre;18;0.0001
entendit;9;0.0001
faiblesse;17;0.0001
pointe;26;0.0002
meurtrier;11;0.0001
cria;51;0.0003
philosophique;7;0.0
hâte;14;0.0001
groupe;22;0.0001
balbutier;6;0.0
confrérie;7;0.0
palier;14;0.0001
risquer;25;0.0002
réserver;12;0.0001
commettre;53;0.0003
content;29;0.0002
grappe;8;0.0
chant;17;0.0001
cacha;7;0.0
engagement;16;0.0001
gorge;26;0.0002
drame;7;0.0
cacheter;7;0.0
créer;11;0.0001
redoubler;18;0.0001
vœu;15;0.0001
palais;73;0.0004
livrer;35;0.0002
orage;20;0.0001
conséquence;24;0.0001
froidement;20;0.0001
chevalier;9;0.0001
