mot;occurrence;frequence
ont;62;0.0047
enfin;12;0.0009
quatre;29;0.0022
œuvre;11;0.0008
pavé;13;0.001
figure;10;0.0008
procureur;12;0.0009
te;7;0.0005
homme;82;0.0062
pris;28;0.0021
gens;11;0.0008
langue;9;0.0007
camarade;6;0.0005
fragment;6;0.0005
rouge;10;0.0008
eut;6;0.0005
but;7;0.0005
or;11;0.0008
boue;7;0.0005
horrible;33;0.0025
sinistre;7;0.0005
aime;7;0.0005
debout;8;0.0006
fille;15;0.0011
honneur;7;0.0005
bagne;11;0.0008
forme;7;0.0005
a;426;0.0321
çà;12;0.0009
noire;9;0.0007
presque;16;0.0012
tête;82;0.0062
deux;81;0.0061
mot;10;0.0008
avais;42;0.0032
raison;13;0.001
heures;28;0.0021
3;7;0.0005
pieds;21;0.0016
pauvre;10;0.0008
in-8o;8;0.0006
femmes;9;0.0007
foule;40;0.003
mieux;17;0.0013
fr;6;0.0005
doute;17;0.0013
comédie;9;0.0007
poëte;34;0.0026
art;7;0.0005
veux;10;0.0008
vieux;17;0.0013
maigre;13;0.001
furent;6;0.0005
publié;7;0.0005
–;6;0.0005
mois;15;0.0011
maladie;6;0.0005
première;15;0.0011
temps;46;0.0035
âme;9;0.0007
forte;7;0.0005
auteur;16;0.0012
fait;124;0.0094
quelquefois;8;0.0006
espère;6;0.0005
intérêt;8;0.0006
sembla;6;0.0005
main;27;0.002
instant;11;0.0008
paraît;16;0.0012
fête;8;0.0006
bras;15;0.0011
grands;16;0.0012
avocat;9;0.0007
disant;6;0.0005
bien;134;0.0101
maluré;13;0.001
passer;8;0.0006
sorte;6;0.0005
paille;6;0.0005
dit;89;0.0067
argot;6;0.0005
ouverte;9;0.0007
chaîne;14;0.0011
huissier;15;0.0011
spectacle;15;0.0011
ainsi;29;0.0022
fort;13;0.001
pas;278;0.021
noires;6;0.0005
passé;9;0.0007
dehors;6;0.0005
mouvement;7;0.0005
avez;26;0.002
vol;6;0.0005
justice;9;0.0007
six;25;0.0019
vis;6;0.0005
tant;17;0.0013
tombe;8;0.0006
ait;13;0.001
tous;67;0.0051
prison;39;0.0029
lentement;6;0.0005
huit;11;0.0008
peur;12;0.0009
membres;11;0.0008
murs;10;0.0008
portes;12;0.0009
vint;7;0.0005
cause;12;0.0009
ordre;10;0.0008
ensemble;7;0.0005
impossible;11;0.0008
jamais;22;0.0017
premiers;6;0.0005
espèce;21;0.0016
trop;13;0.001
fond;16;0.0012
libraire;7;0.0005
galères;8;0.0006
façon;11;0.0008
être;49;0.0037
route;6;0.0005
petit;14;0.0011
directeur;11;0.0008
journée;6;0.0005
haut;16;0.0012
oreille;10;0.0008
pensée;20;0.0015
forçats;19;0.0014
cou;10;0.0008
exemple;12;0.0009
front;7;0.0005
nouvelle;9;0.0007
nuit;22;0.0017
crois;10;0.0008
sait;9;0.0007
idée;33;0.0025
sache;6;0.0005
vue;9;0.0007
peine;86;0.0065
mourir;11;0.0008
lit;15;0.0011
général;10;0.0008
jaune;6;0.0005
effet;22;0.0017
viennent;6;0.0005
geôlier;7;0.0005
exécutions;14;0.0011
seule;6;0.0005
dernière;15;0.0011
fils;12;0.0009
oiseau;6;0.0005
appelle;12;0.0009
alors;36;0.0027
mis;22;0.0017
soir;18;0.0014
aurais;10;0.0008
force;8;0.0006
raisons;7;0.0005
lendemain;6;0.0005
disent;9;0.0007
cœur;24;0.0018
doux;7;0.0005
œuvres;10;0.0008
têtes;20;0.0015
étais;50;0.0038
surtout;9;0.0007
liberté;13;0.001
vous;7;0.0005
petites;6;0.0005
pourtant;15;0.0011
basse;6;0.0005
laisse;10;0.0008
…;15;0.0011
hugo;50;0.0038
veut;17;0.0013
pages;11;0.0008
personne;9;0.0007
gosselin;7;0.0005
aura;16;0.0012
lu;12;0.0009
coupée;9;0.0007
était;147;0.0111
venait;6;0.0005
troisième;12;0.0009
croit;6;0.0005
mars;6;0.0005
loi;11;0.0008
journal;8;0.0006
spectateurs;8;0.0006
hommes;40;0.003
bas;24;0.0018
parut;6;0.0005
vont;11;0.0008
avons;21;0.0016
curieux;9;0.0007
genoux;12;0.0009
lois;7;0.0005
voici;15;0.0011
petits;9;0.0007
là;91;0.0069
voyait;10;0.0008
cerveau;7;0.0005
civilisation;6;0.0005
demande;6;0.0005
imagination;6;0.0005
sommes;10;0.0008
oh;11;0.0008
corde;6;0.0005
gauche;6;0.0005
quelque;8;0.0006
abord;7;0.0005
sept;6;0.0005
semaines;14;0.0011
ergaste;7;0.0005
est;545;0.0411
tenez;10;0.0008
voilà;38;0.0029
soleil;18;0.0014
déjà;26;0.002
autres;41;0.0031
venu;12;0.0009
gros;26;0.002
rue;24;0.0018
silence;7;0.0005
maison;7;0.0005
mains;38;0.0029
curiosité;7;0.0005
voyez;9;0.0007
fut;25;0.0019
sang;29;0.0022
édition;40;0.003
vide;6;0.0005
sentence;6;0.0005
chapeau;7;0.0005
attendait;7;0.0005
sont;63;0.0048
préface;13;0.001
grande;20;0.0015
amis;8;0.0006
ailleurs;9;0.0007
coin;8;0.0006
uns;8;0.0006
hideux;10;0.0008
êtes;12;0.0009
exécution;12;0.0009
prendre;10;0.0008
très;9;0.0007
si;7;0.0005
plutôt;10;0.0008
cris;9;0.0007
théorie;6;0.0005
faite;11;0.0008
donc;43;0.0032
voyage;7;0.0005
illustrée;6;0.0005
terre;8;0.0006
2;6;0.0005
juge;13;0.001
toujours;31;0.0023
aujourd’hui;15;0.0011
trois;42;0.0032
fenêtre;16;0.0012
abolir;9;0.0007
maintenant;17;0.0013
lettres;8;0.0006
cheval;10;0.0008
avait;97;0.0073
été;48;0.0036
comment;21;0.0016
porte;36;0.0027
geôliers;6;0.0005
venus;6;0.0005
même;53;0.004
escalier;8;0.0006
choses;9;0.0007
avoir;44;0.0033
cie;9;0.0007
guichetier;9;0.0007
cru;8;0.0006
rage;7;0.0005
coups;9;0.0007
pensées;7;0.0005
dents;6;0.0005
condamné;101;0.0076
philosophe;15;0.0011
écrit;9;0.0007
vu;20;0.0015
bon;35;0.0026
barreaux;6;0.0005
livre;53;0.004
vérité;7;0.0005
mille;12;0.0009
dessous;6;0.0005
morts;7;0.0005
points;6;0.0005
﻿lirlonfa;26;0.002
titre;7;0.0005
moins;32;0.0024
moyen;9;0.0007
droit;12;0.0009
sortir;7;0.0005
peuple;23;0.0017
minute;8;0.0006
peut-être;30;0.0023
dos;12;0.0009
savez;7;0.0005
ouvert;7;0.0005
répondu;21;0.0016
cri;8;0.0006
voix;45;0.0034
ville;7;0.0005
signe;8;0.0006
hasard;11;0.0008
poésie;6;0.0005
tu;19;0.0014
chevaux;7;0.0005
grâce;23;0.0017
voudrais;6;0.0005
atroce;8;0.0006
passe;8;0.0006
arrêt;14;0.0011
plein;10;0.0008
boulanger;9;0.0007
attend;6;0.0005
nouveau;8;0.0006
assez;16;0.0012
table;8;0.0006
ah;41;0.0031
moment;42;0.0032
sanglante;7;0.0005
dire;43;0.0032
dessus;8;0.0006
paris;43;0.0032
doit;14;0.0011
aumônier;11;0.0008
dessins;9;0.0007
attention;6;0.0005
salle;10;0.0008
demain;8;0.0006
enfants;19;0.0014
besoin;6;0.0005
remis;7;0.0005
mots;10;0.0008
visite;8;0.0006
allait;13;0.001
machine;9;0.0007
vois;7;0.0005
corridor;7;0.0005
état;6;0.0005
reste;25;0.0019
froid;14;0.0011
ciel;17;0.0013
﻿maluré;7;0.0005
noir;14;0.0011
papier;12;0.0009
beaucoup;10;0.0008
loin;10;0.0008
éditeur;11;0.0008
ombre;7;0.0005
mur;20;0.0015
milieu;14;0.0011
étrange;8;0.0006
galériens;8;0.0006
feuillets;8;0.0006
longtemps;9;0.0007
romans;6;0.0005
libre;6;0.0005
près;19;0.0014
