mot;occurrence;frequence
vigilance;8;0.0
pamphlet;7;0.0
estime;22;0.0001
transporter;28;0.0001
vis-à-vis;13;0.0001
foyer;8;0.0
plan;91;0.0004
effaré;13;0.0001
effacer;37;0.0002
mantelet;6;0.0
destination;9;0.0
homme;1733;0.0075
méprendre;11;0.0
sobre;6;0.0
mordiou;48;0.0002
coursier;8;0.0
changement;30;0.0001
confier;48;0.0002
canal;16;0.0001
épreuve;24;0.0001
différence;17;0.0001
m.fouquet;170;0.0007
revêtir;9;0.0
dédaigneux;18;0.0001
formule;10;0.0
pape;11;0.0
absolution;8;0.0
ider;9;0.0
nuire;19;0.0001
broyer;7;0.0
émeute;12;0.0001
ramener;54;0.0002
espagnol;57;0.0002
agir;224;0.001
résoudre;41;0.0002
gris;31;0.0001
mériter;14;0.0001
pot;8;0.0
condamner;35;0.0002
déclaration;8;0.0
héroïque;18;0.0001
mortellemer;8;0.0
froisser;16;0.0001
tournure;16;0.0001
difficile;79;0.0003
voisin;68;0.0003
provincial;6;0.0
navire;33;0.0001
caprice;31;0.0001
embarquement;9;0.0
sortie;39;0.0002
consister;7;0.0
éteindre;46;0.0002
mot;665;0.0029
rubis;6;0.0
fièrement;11;0.0
abasourdi;6;0.0
allez;22;0.0001
poignard;21;0.0001
poëte;86;0.0004
voyant;121;0.0005
griller;9;0.0
adosser;24;0.0001
facilement;28;0.0001
art;11;0.0
persécution;6;0.0
vieux;173;0.0007
encourir;8;0.0
capitaine;279;0.0012
duchesse;133;0.0006
satisfait;38;0.0002
hautain;11;0.0
garanti;7;0.0
considérer;22;0.0001
abdiquer;6;0.0
galant;52;0.0002
jumeau;10;0.0
pont-levis;6;0.0
numéro;9;0.0
trot;13;0.0001
instinct;22;0.0001
âme;119;0.0005
venez;7;0.0
égarer;17;0.0001
parton;15;0.0001
chronique;6;0.0
reconnaissance;48;0.0002
écrivit;17;0.0001
méditation;18;0.0001
matelot;29;0.0001
majestueux;16;0.0001
répondi;6;0.0
échelon;9;0.0
messager;49;0.0002
payer;163;0.0007
rêver;47;0.0002
main;1078;0.0046
folle;7;0.0
fauve;6;0.0
singulière;8;0.0
repos;46;0.0002
agile;6;0.0
solliciter;20;0.0001
couper;53;0.0002
fête;108;0.0005
fil;10;0.0
reculon;8;0.0
écart;15;0.0001
lunette;9;0.0
traître;11;0.0
masse;25;0.0001
fusiller;6;0.0
disant;18;0.0001
demander;773;0.0033
seigneurie;10;0.0
est-il;11;0.0
épargner;32;0.0001
lier;13;0.0001
noisy-le-sec;6;0.0
levrette;8;0.0
projet;56;0.0002
vestibule;16;0.0001
prétendre;45;0.0002
équivoque;6;0.0
normandie;8;0.0
heurter;25;0.0001
cherchai;8;0.0
chemin;160;0.0007
violon;9;0.0
feuille;31;0.0001
huissier;33;0.0001
contracter;8;0.0
obscurcir;10;0.0
imprimer;18;0.0001
indifférence;18;0.0001
oncle;18;0.0001
cruelle;9;0.0
étage;35;0.0002
évanouissement;6;0.0
pont;23;0.0001
dresser;50;0.0002
cruel;30;0.0001
découvrit;7;0.0
drapeau;8;0.0
mouvement;213;0.0009
agréablement;7;0.0
mérite;47;0.0002
consacrer;7;0.0
vol;8;0.0
habituer;31;0.0001
durée;7;0.0
exiger;18;0.0001
éclat;86;0.0004
tombe;52;0.0002
solennel;20;0.0001
rédiger;9;0.0
passant;7;0.0
guère;23;0.0001
décharge;14;0.0001
lentement;58;0.0002
souverain;24;0.0001
assiéger;11;0.0
partout;67;0.0003
déranger;39;0.0002
cause;156;0.0007
circonstance;54;0.0002
ouverture;25;0.0001
débuter;7;0.0
davantage;42;0.0002
regret;32;0.0001
généreux;69;0.0003
comprend;115;0.0005
comprendre;418;0.0018
fierter;7;0.0
infiniment;6;0.0
avaler;12;0.0001
dou;31;0.0001
distinguer;44;0.0002
gourville;6;0.0
seconder;6;0.0
tempe;17;0.0001
déchirer;42;0.0002
informer;38;0.0002
impossible;133;0.0006
angoisse;15;0.0001
délivrer;19;0.0001
supprimer;13;0.0001
pur;58;0.0002
jamais;647;0.0028
concession;8;0.0
certainement;101;0.0004
murmure;34;0.0001
perte;18;0.0001
observer;66;0.0003
mécontentement;11;0.0
poupe;8;0.0
fond;136;0.0006
involontairement;11;0.0
véritablement;22;0.0001
tressaillit;45;0.0002
anxiété;20;0.0001
plateau;6;0.0
court;69;0.0003
moustache;43;0.0002
déclara;7;0.0
joncher;9;0.0
rosée;7;0.0
être;2768;0.0119
raillerie;17;0.0001
argument;7;0.0
laisser;421;0.0018
petit;531;0.0023
change;11;0.0
crie;6;0.0
blesser;76;0.0003
dicter;11;0.0
sort;35;0.0002
lever;291;0.0013
prochain;16;0.0001
nouvelle;21;0.0001
rapidité;34;0.0001
courageux;13;0.0001
plaie;13;0.0001
révolution;8;0.0
croître;8;0.0
silencieux;24;0.0001
révélation;27;0.0001
inspirer;36;0.0002
idée;273;0.0012
signa;9;0.0
ravir;13;0.0001
soldat;222;0.001
repose;7;0.0
cardinal;288;0.0012
attaque;34;0.0001
donjon;14;0.0001
retourner;246;0.0011
pire;8;0.0
commerce;25;0.0001
ému;44;0.0002
violette;8;0.0
montre;16;0.0001
pût;19;0.0001
échange;17;0.0001
parcourir;17;0.0001
marier;34;0.0001
jaune;12;0.0001
portemanteau;6;0.0
geôlier;14;0.0001
défunt;10;0.0
expliquer;140;0.0006
flegme;10;0.0
écarta;6;0.0
glace;46;0.0002
précipitamment;25;0.0001
occupation;12;0.0001
force;230;0.001
bougie;21;0.0001
commis;18;0.0001
puisqu’;17;0.0001
écrite;6;0.0
vain;32;0.0001
fine;24;0.0001
cœur;438;0.0019
époque;47;0.0002
stewart;14;0.0001
poudreux;7;0.0
majesté;26;0.0001
arbre;85;0.0004
compte;156;0.0007
dialogue;7;0.0
politesse;44;0.0002
cas;123;0.0005
répliquer;386;0.0017
réitérer;8;0.0
peintre;47;0.0002
môle;15;0.0001
conseiller;81;0.0003
résolution;55;0.0002
défier;38;0.0002
passion;68;0.0003
devint;30;0.0001
leurre;6;0.0
bouder;13;0.0001
sculpter;7;0.0
extérieur;12;0.0001
eussiez;8;0.0
prodigue;7;0.0
conduisit;8;0.0
grandir;16;0.0001
soumission;7;0.0
poussière;16;0.0001
puissamment;8;0.0
progrès;6;0.0
trappe;26;0.0001
ineffable;6;0.0
bonnet;6;0.0
étroite;8;0.0
nœud;8;0.0
crisper;19;0.0001
demanda;8;0.0
serre;8;0.0
vendre;87;0.0004
mars;9;0.0
hôte;100;0.0004
faction;6;0.0
apparaître;49;0.0002
espérer;146;0.0006
indiscret;24;0.0001
ambition;43;0.0002
chaussée;11;0.0
mortel;58;0.0002
délire;13;0.0001
di;26;0.0001
reçu;8;0.0
atteler;15;0.0001
augure;6;0.0
préoccuper;17;0.0001
sauter;34;0.0001
pasteur;7;0.0
surface;14;0.0001
autrefois;8;0.0
mesdemoiselle;10;0.0
intrigue;35;0.0002
gêner;34;0.0001
réflexion;53;0.0002
tendre;135;0.0006
rang;50;0.0002
ajouta;150;0.0006
venu;11;0.0
intelliger;14;0.0001
colbert;7;0.0
inutile;68;0.0003
marque;8;0.0
compartiment;11;0.0
bergère;25;0.0001
sujet;98;0.0004
inspiration;6;0.0
vêtir;47;0.0002
rayon;39;0.0002
envier;17;0.0001
antichambre;56;0.0002
vide;51;0.0002
embouchure;6;0.0
exposer;34;0.0001
pensif;23;0.0001
bataille;50;0.0002
planche;15;0.0001
bagage;9;0.0
azur;12;0.0001
puits;23;0.0001
casser;17;0.0001
liste;21;0.0001
remède;27;0.0001
gentilhomm;12;0.0001
salua;46;0.0002
successivement;10;0.0
composer;50;0.0002
illusion;17;0.0001
tranquilliser;11;0.0
ressortir;8;0.0
arrêter;405;0.0017
loyer;8;0.0
crainte;59;0.0003
essouffler;8;0.0
paraître;407;0.0018
envoyé;11;0.0
rougir;89;0.0004
genou;91;0.0004
expédier;24;0.0001
rebelle;31;0.0001
terre;282;0.0012
défense;30;0.0001
enfouir;7;0.0
jouer;120;0.0005
tenace;6;0.0
nécessité;30;0.0001
insister;23;0.0001
observateur;10;0.0
intention;90;0.0004
guitare;6;0.0
gémissement;9;0.0
douloureux;47;0.0002
original;6;0.0
génération;6;0.0
fenêtre;227;0.001
surprenant;10;0.0
enseigne;25;0.0001
cristal;9;0.0
détroit;7;0.0
trêve;9;0.0
dira;6;0.0
accaparer;7;0.0
timide;27;0.0001
horizon;33;0.0001
m.agnan;7;0.0
semaine;20;0.0001
successeur;13;0.0001
porte;542;0.0023
vaincu;7;0.0
servir;211;0.0009
lis;10;0.0
brûler;127;0.0005
montaler;8;0.0
auxiliaire;16;0.0001
promettez;7;0.0
varier;7;0.0
catastrophe;6;0.0
avoir;2479;0.0107
cocher;24;0.0001
prenon;7;0.0
campagne;46;0.0002
hache;6;0.0
circonspection;8;0.0
compagne;48;0.0002
moindre;50;0.0002
mystère;46;0.0002
durer;36;0.0002
millier;6;0.0
démentir;10;0.0
base;7;0.0
patron;53;0.0002
rancune;14;0.0001
carreau;6;0.0
poing;29;0.0001
réel;22;0.0001
bon;998;0.0043
débarquement;7;0.0
reine;529;0.0023
hiver;9;0.0
monter;258;0.0011
hurler;7;0.0
frémissant;11;0.0
nymphe;26;0.0001
larme;97;0.0004
poignée;12;0.0001
ferme;48;0.0002
combiner;7;0.0
malicieux;7;0.0
tombaient;9;0.0
jeunesse;83;0.0004
soupirer;67;0.0003
nécessairement;8;0.0
disperser;6;0.0
carrer;9;0.0
persécuter;10;0.0
ingénieur;27;0.0001
trancher;10;0.0
épingle;6;0.0
renfort;13;0.0001
savez;20;0.0001
sot;36;0.0002
gloire;36;0.0002
daigner;42;0.0002
voix;452;0.0019
toute-puissance;10;0.0
étreindre;6;0.0
gratter;15;0.0001
crier;107;0.0005
complot;18;0.0001
fortun;7;0.0
renoncer;22;0.0001
sol;32;0.0001
plein;164;0.0007
coquin;14;0.0001
reproche;54;0.0002
guetter;23;0.0001
fugitif;19;0.0001
revue;10;0.0
perfidie;6;0.0
attend;45;0.0002
embraser;12;0.0001
hostilité;6;0.0
fumer;7;0.0
déménagement;10;0.0
contenter;47;0.0002
dépêche;14;0.0001
impénétrable;19;0.0001
jambe;86;0.0004
fraîche;9;0.0
quinzaine;6;0.0
metton;7;0.0
racheter;15;0.0001
graver;9;0.0
attendrir;12;0.0001
saluer;115;0.0005
assister;23;0.0001
éveiller;23;0.0001
maudit;8;0.0
humilier;25;0.0001
veu;18;0.0001
salle;88;0.0004
attention;109;0.0005
parfaire;26;0.0001
demain;161;0.0007
besoin;247;0.0011
causon;11;0.0
dépôt;8;0.0
imbécile;9;0.0
effleurer;21;0.0001
achevez;7;0.0
contrarier;17;0.0001
employer;35;0.0002
partir;355;0.0015
frémir;25;0.0001
charpentier;6;0.0
éclairer;70;0.0003
énergique;7;0.0
corridor;35;0.0002
dispense;7;0.0
grincer;8;0.0
cloison;11;0.0
jaloux;90;0.0004
utilité;6;0.0
confiance;52;0.0002
empêcher;115;0.0005
comptoir;6;0.0
goûter;13;0.0001
excusez;7;0.0
mesurer;22;0.0001
loin;156;0.0007
frotter;22;0.0001
ironie;13;0.0001
bête;21;0.0001
modérer;8;0.0
circonférence;14;0.0001
bruyamment;8;0.0
incapable;15;0.0001
vouer;8;0.0
mousqueterie;6;0.0
colère;137;0.0006
représentation;6;0.0
volonté;124;0.0005
objecta;13;0.0001
mordieu;8;0.0
représentant;10;0.0
sucrerie;6;0.0
bernouin;12;0.0001
cuir;9;0.0
renferm;9;0.0
miel;7;0.0
surveillance;8;0.0
école;7;0.0
flotter;10;0.0
cheveu;18;0.0001
terminer;39;0.0002
ronde;15;0.0001
conquérir;8;0.0
aimé;17;0.0001
chéri;9;0.0
libre;111;0.0005
débat;6;0.0
suivit;43;0.0002
parfaitement;108;0.0005
attrister;16;0.0001
robuste;13;0.0001
hôtel;78;0.0003
dur;45;0.0002
augmenter;13;0.0001
éteint;11;0.0
mousquetair;56;0.0002
falaise;7;0.0
plaisir;178;0.0008
hommage;15;0.0001
aller;929;0.004
excellent;72;0.0003
échelle;43;0.0002
bouche;118;0.0005
affirmatif;7;0.0
brevet;43;0.0002
jugement;10;0.0
commandant;24;0.0001
population;9;0.0
boucle;6;0.0
respectueux;28;0.0001
acharnement;8;0.0
vertu;45;0.0002
querelle;36;0.0002
remarquer;157;0.0007
fin;102;0.0004
constituer;8;0.0
fixer;58;0.0002
tendit;31;0.0001
m.malicorne;16;0.0001
rente;15;0.0001
arrivée;78;0.0003
sentit;65;0.0003
jurer;92;0.0004
ennuyer;52;0.0002
put;10;0.0
hésitation;37;0.0002
aigreur;6;0.0
étoffe;24;0.0001
emmener;50;0.0002
légitime;8;0.0
creux;7;0.0
connu;6;0.0
goût;51;0.0002
artiste;16;0.0001
entr’ouvert;6;0.0
désobéissance;7;0.0
préambule;7;0.0
marie;18;0.0001
éloigné;7;0.0
marché;16;0.0001
nourrice;16;0.0001
flatteur;21;0.0001
pencher;54;0.0002
coude;26;0.0001
effusion;9;0.0
disposé;12;0.0001
contez;9;0.0
selle;19;0.0001
chair;19;0.0001
répliqua;98;0.0004
invincible;15;0.0001
envoler;14;0.0001
courut;47;0.0002
vraiment;63;0.0003
rival;19;0.0001
avi;7;0.0
replier;8;0.0
lettre;418;0.0018
fiancer;13;0.0001
prend;42;0.0002
comédien;6;0.0
appeler;383;0.0017
vivr;10;0.0
henriiv;34;0.0001
infortuné;6;0.0
affectation;16;0.0001
insupportable;11;0.0
pareille;104;0.0004
espagne;34;0.0001
timidité;10;0.0
dilater;6;0.0
borner;9;0.0
embuscade;7;0.0
méconnaître;7;0.0
couleuvre;6;0.0
disparition;14;0.0001
rapprocher;64;0.0003
atome;14;0.0001
pencha;6;0.0
inimitié;6;0.0
arracher;84;0.0004
chiffre;42;0.0002
dessert;15;0.0001
éloge;12;0.0001
sauver;79;0.0003
vent;72;0.0003
ensuite;71;0.0003
roue;7;0.0
attribuer;9;0.0
ressentir;21;0.0001
frère;239;0.001
impression;17;0.0001
affaire;279;0.0012
rehausser;7;0.0
criminel;12;0.0001
fixe;31;0.0001
eussent;6;0.0
serai;6;0.0
froncé;6;0.0
air;326;0.0014
enfermer;37;0.0002
serrement;6;0.0
tambour;12;0.0001
agent;6;0.0
sévère;33;0.0001
signature;28;0.0001
bassin;8;0.0
argenterie;8;0.0
soupçon;66;0.0003
madame;11;0.0
uniquement;6;0.0
ordinaire;90;0.0004
aurez;8;0.0
librement;6;0.0
essaya;17;0.0001
enfer;29;0.0001
note;30;0.0001
plaisanter;8;0.0
imprenable;6;0.0
condition;60;0.0003
silhouette;7;0.0
danse;16;0.0001
chef;63;0.0003
toutefois;35;0.0002
capital;14;0.0001
amasser;18;0.0001
honorable;10;0.0
danger;74;0.0003
initiative;7;0.0
surprendre;71;0.0003
rosier;6;0.0
tressaillir;43;0.0002
joyeuse;18;0.0001
mélancolique;23;0.0001
douceur;39;0.0002
toilette;38;0.0002
ami;1256;0.0054
