mot;occurrence;frequence
théâtre;8;0.0042
soir;12;0.0063
bouquet;8;0.0042
rentrer;6;0.0032
an;7;0.0037
arc;9;0.0047
château;11;0.0058
cœur;7;0.0037
époque;9;0.0047
esprit;7;0.0037
loin;8;0.0042
figure;11;0.0058
temple;7;0.0037
échapper;6;0.0032
mettre;8;0.0042
homme;16;0.0084
partie;6;0.0032
mur;6;0.0032
raconter;9;0.0047
milieu;7;0.0037
paysan;6;0.0032
revoir;10;0.0053
charme;6;0.0032
retrouver;8;0.0042
couvent;6;0.0032
sourire;8;0.0042
coup;7;0.0037
lieu;9;0.0047
fille;14;0.0074
faire;33;0.0174
travers;9;0.0047
aller;29;0.0153
voisin;7;0.0037
trouver;19;0.01
tête;6;0.0032
pouvoir;7;0.0037
rappeler;6;0.0032
parole;6;0.0032
gauche;9;0.0047
chose;10;0.0053
bel;17;0.009
cercle;8;0.0042
aimer;13;0.0068
venir;16;0.0084
doute;6;0.0032
inconnu;6;0.0032
tendre;7;0.0037
pied;8;0.0042
village;14;0.0074
vieux;24;0.0126
maison;13;0.0068
non;6;0.0032
falloir;19;0.01
perdre;10;0.0053
ancien;12;0.0063
amour;20;0.0105
briller;6;0.0032
temps;25;0.0132
dernier;11;0.0058
appeler;8;0.0042
souvenir;26;0.0137
chambre;10;0.0053
ailleurs;6;0.0032
blanc;7;0.0037
main;10;0.0053
prendre;12;0.0063
matin;10;0.0053
arrêter;13;0.0068
instant;14;0.0074
fête;21;0.0111
paraître;8;0.0042
rester;10;0.0053
offrir;7;0.0037
dammartin;9;0.0047
demander;6;0.0032
pays;14;0.0074
bien;48;0.0253
devoir;8;0.0042
reprendre;7;0.0037
savoir;15;0.0079
passer;16;0.0084
feu;7;0.0037
donner;13;0.0068
frère;15;0.0079
sublime;8;0.0042
fleur;9;0.0047
monde;7;0.0037
chemin;6;0.0032
dentelle;7;0.0037
air;15;0.0079
frisé;7;0.0037
parler;6;0.0032
heure;22;0.0116
attendre;7;0.0037
amoureux;8;0.0042
cheveux;8;0.0042
rencontrer;6;0.0032
long;9;0.0047
oncle;7;0.0037
fort;6;0.0032
danse;7;0.0037
gagner;9;0.0047
avoir;20;0.0105
père;15;0.0079
étang;7;0.0037
enfant;11;0.0058
eau;11;0.0058
voir;27;0.0142
jour;22;0.0116
revenir;9;0.0047
tour;13;0.0068
songer;8;0.0042
croire;10;0.0053
danser;7;0.0037
grand;30;0.0158
bon;15;0.0079
mort;6;0.0032
tourner;6;0.0032
image;7;0.0037
devenir;9;0.0047
tante;20;0.0105
rose;13;0.0068
pur;8;0.0042
jamais;7;0.0037
parent;6;0.0032
sortir;7;0.0037
bois;16;0.0084
asseoir;7;0.0037
peut-être;8;0.0042
autrefoi;11;0.0058
trop;6;0.0032
lait;10;0.0053
parisien;6;0.0032
robe;6;0.0032
fois;12;0.0063
voix;9;0.0047
au-dessus;6;0.0032
oublier;10;0.0053
regard;7;0.0037
penser;6;0.0032
être;43;0.0226
route;17;0.009
vouloir;20;0.0105
laisser;8;0.0042
haut;7;0.0037
petit;22;0.0116
traverser;8;0.0042
conduire;8;0.0042
arriver;9;0.0047
antique;8;0.0042
garçon;7;0.0037
vert;10;0.0053
année;6;0.0032
lire;7;0.0037
joli;7;0.0037
nuit;16;0.0084
bal;8;0.0042
chanter;12;0.0063
table;8;0.0042
moment;10;0.0053
bruit;6;0.0032
dire;15;0.0079
idée;10;0.0053
jeune;25;0.0132
forêt;9;0.0047
place;8;0.0042
reconnaître;7;0.0037
embrasser;6;0.0032
salle;8;0.0042
vivre;8;0.0042
histoire;6;0.0032
femme;12;0.0063
ell;10;0.0053
vie;8;0.0042
oeil;8;0.0042
