mot;occurrence;frequence
bienfaiser;7;0.0
fournaise;11;0.0001
académicien;6;0.0
tribune;6;0.0
citadelle;8;0.0001
attache;8;0.0001
petitesse;8;0.0001
estime;7;0.0
prostitution;6;0.0
transporter;7;0.0
prédicateur;6;0.0
vis-à-vis;21;0.0001
sabrer;6;0.0
foyer;7;0.0
plan;26;0.0002
éclatant;13;0.0001
effaré;9;0.0001
verger;14;0.0001
effacer;29;0.0002
tribunal;10;0.0001
feuilleter;6;0.0
homme;1490;0.0103
méprendre;8;0.0001
orient;8;0.0001
arche;6;0.0
changement;15;0.0001
confier;15;0.0001
canal;6;0.0
épreuve;8;0.0001
différence;15;0.0001
romance;9;0.0001
lancier;24;0.0002
revêtir;9;0.0001
central;6;0.0
dédaigneux;9;0.0001
baraque;20;0.0001
pape;15;0.0001
nuire;13;0.0001
réchauffer;12;0.0001
gîte;7;0.0
broyer;8;0.0001
émeute;83;0.0006
ramener;25;0.0002
espagnol;18;0.0001
farce;19;0.0001
grelot;16;0.0001
agir;34;0.0002
résoudre;24;0.0002
cul-de-sac;18;0.0001
gris;40;0.0003
mériter;6;0.0
ile;8;0.0001
pot;23;0.0002
bagne;80;0.0006
condamner;44;0.0003
déclaration;6;0.0
éperdument;8;0.0001
héroïque;20;0.0001
froisser;9;0.0001
difficile;27;0.0002
voisin;71;0.0005
navire;19;0.0001
sortie;17;0.0001
éteindre;34;0.0002
mot;330;0.0023
multitude;22;0.0002
allez;6;0.0
poignard;9;0.0001
poëte;12;0.0001
voyant;27;0.0002
griller;15;0.0001
adosser;30;0.0002
facilement;9;0.0001
rez-de-chaussée;18;0.0001
art;13;0.0001
vieux;564;0.0039
duchesse;9;0.0001
capitaine;21;0.0001
satisfait;14;0.0001
hautain;11;0.0001
réplique;19;0.0001
mouchard;23;0.0002
considérer;66;0.0005
énergiquemer;9;0.0001
innombrable;6;0.0
dissoudre;6;0.0
fonder;9;0.0001
numéro;44;0.0003
trot;10;0.0001
instinct;62;0.0004
âme;254;0.0018
égarer;23;0.0002
reconnaissance;16;0.0001
affirmation;6;0.0
écrivit;10;0.0001
méditation;18;0.0001
matelot;11;0.0001
majestueux;6;0.0
accoudé;6;0.0
payer;130;0.0009
rêver;26;0.0002
main;487;0.0034
