mot;occurrence;frequence
nu;18;0.0003
normande;11;0.0002
crapauds;6;0.0001
ont;155;0.0025
action;6;0.0001
charmant;9;0.0001
hydre;6;0.0001
enfin;12;0.0002
diffuse;6;0.0001
quatre;93;0.0015
pousser;6;0.0001
œuvre;23;0.0004
obscur;17;0.0003
souple;6;0.0001
tronçons;8;0.0001
estime;11;0.0002
mœurs;9;0.0001
vis-à-vis;9;0.0001
noirceur;6;0.0001
dure;7;0.0001
précaution;8;0.0001
planches;13;0.0002
siècle;31;0.0005
monte;8;0.0001
foyer;9;0.0001
plan;13;0.0002
disparut;7;0.0001
risques;7;0.0001
figure;25;0.0004
aise;6;0.0001
véritable;7;0.0001
mécanisme;14;0.0002
épars;9;0.0001
catholique;9;0.0001
tira;18;0.0003
te;19;0.0003
royale;6;0.0001
gilliatt;480;0.0078
extrémité;27;0.0004
homme;351;0.0057
pris;41;0.0007
livide;11;0.0002
pensait;10;0.0002
aspect;13;0.0002
né;12;0.0002
arche;7;0.0001
gens;57;0.0009
détails;9;0.0001
différence;7;0.0001
dut;8;0.0001
centimes;6;0.0001
langue;27;0.0004
manière;14;0.0002
enfonça;12;0.0002
enchevêtrement;6;0.0001
espace;14;0.0002
comprit;6;0.0001
existait;10;0.0002
incendie;6;0.0001
distinctement;6;0.0001
publique;10;0.0002
quelconque;7;0.0001
forgeron;7;0.0001
possible;64;0.001
poitrine;6;0.0001
pape;6;0.0001
pointes;22;0.0004
parfois;30;0.0005
réussi;6;0.0001
repartit;6;0.0001
rouge;25;0.0004
appelait;27;0.0004
marcou;9;0.0001
sorti;8;0.0001
eut;69;0.0011
hier;14;0.0002
but;18;0.0003
boat;7;0.0001
brouillards;7;0.0001
couché;11;0.0002
nuée;34;0.0006
job;6;0.0001
or;23;0.0004
clerc;6;0.0001
herbes;8;0.0001
entier;9;0.0001
boue;8;0.0001
ivre;7;0.0001
posa;14;0.0002
avenir;6;0.0001
horrible;15;0.0002
doigt;15;0.0002
étroit;9;0.0001
sinistre;16;0.0003
