mot;occurrence;frequence
ont;109;0.001
quatre;260;0.0024
revenez;10;0.0001
’;8;0.0001
estime;6;0.0001
saurai;8;0.0001
plan;24;0.0002
enlevée;18;0.0002
visites;7;0.0001
homme;602;0.0056
confier;15;0.0001
changement;7;0.0001
épreuve;10;0.0001
préviens;15;0.0001
enfonça;11;0.0001
pape;7;0.0001
espagnol;9;0.0001
agir;6;0.0001
gris;7;0.0001
parfaite;9;0.0001
procureuse;57;0.0005
a;884;0.0083
tournure;6;0.0001
difficile;17;0.0002
alliez;10;0.0001
semblaient;10;0.0001
sortie;17;0.0002
deux;512;0.0048
mot;93;0.0009
avais;122;0.0011
pieds;34;0.0003
fièrement;8;0.0001
éloignait;7;0.0001
fermée;9;0.0001
cousine;12;0.0001
devenus;7;0.0001
allez;108;0.001
voyant;69;0.0006
retournant;15;0.0001
facilement;16;0.0001
perd;6;0.0001
rez-de-chaussée;6;0.0001
prirent;14;0.0001
vieux;20;0.0002
duchesse;25;0.0002
capitaine;61;0.0006
croie;6;0.0001
satisfait;6;0.0001
arrêté;29;0.0003
galant;13;0.0001
profité;6;0.0001
donnés;8;0.0001
instinct;7;0.0001
âme;60;0.0006
nouvelles;30;0.0003
venez;49;0.0005
reconnue;7;0.0001
reconnaissance;20;0.0002
écrivit;10;0.0001
messager;19;0.0002
payer;17;0.0002
main;287;0.0027
folle;11;0.0001
singulière;7;0.0001
repos;11;0.0001
couper;7;0.0001
fête;15;0.0001
parurent;6;0.0001
traître;8;0.0001
masse;9;0.0001
alerte;6;0.0001
retrouve;7;0.0001
disant;19;0.0002
demander;49;0.0005
projet;6;0.0001
laissons;8;0.0001
couchée;8;0.0001
chemin;88;0.0008
relevant;9;0.0001
cruelle;6;0.0001
pont;16;0.0001
pas;1926;0.018
noires;9;0.0001
drapeau;6;0.0001
mouvement;42;0.0004
avez;426;0.004
mérite;15;0.0001
guerres;8;0.0001
éclat;19;0.0002
regardait;35;0.0003
emporté;11;0.0001
vis;11;0.0001
avançait;10;0.0001
athos;964;0.009
irai;12;0.0001
tombant;6;0.0001
passant;19;0.0002
dés;12;0.0001
guère;7;0.0001
lentement;26;0.0002
huit;73;0.0007
rendu;17;0.0002
partout;22;0.0002
déranger;6;0.0001
murs;7;0.0001
qualités;8;0.0001
lecteurs;11;0.0001
cause;43;0.0004
circonstance;19;0.0002
ouverture;7;0.0001
davantage;11;0.0001
regret;8;0.0001
comprend;7;0.0001
comprendre;21;0.0002
distinguer;11;0.0001
voulut;32;0.0003
étrangers;6;0.0001
informer;6;0.0001
impossible;38;0.0004
angoisse;8;0.0001
appuyant;9;0.0001
pur;8;0.0001
jamais;165;0.0015
certainement;22;0.0002
murmure;7;0.0001
perte;8;0.0001
observer;12;0.0001
raconta;30;0.0003
fond;52;0.0005
brillait;10;0.0001
véritablement;15;0.0001
tressaillit;11;0.0001
huile;9;0.0001
pareils;14;0.0001
court;8;0.0001
moustache;15;0.0001
marquée;7;0.0001
déclara;7;0.0001
poème;7;0.0001
avions;8;0.0001
malheurs;9;0.0001
amoureuses;6;0.0001
être;328;0.0031
laisser;38;0.0004
petit;97;0.0009
supérieurs;6;0.0001
sort;12;0.0001
lever;9;0.0001
nouvelle;46;0.0004
bal;13;0.0001
rapidité;15;0.0001
sait;67;0.0006
connaissances;6;0.0001
silencieux;6;0.0001
forces;34;0.0003
idée;68;0.0006
soldat;36;0.0003
cardinal;556;0.0052
attaque;7;0.0001
retourner;10;0.0001
infâme;25;0.0002
servi;14;0.0001
juré;11;0.0001
montre;10;0.0001
pût;19;0.0002
échange;13;0.0001
situé;8;0.0001
séductions;7;0.0001
jaune;10;0.0001
reconnais;15;0.0001
desquels;6;0.0001
seule;89;0.0008
glace;9;0.0001
composaient;6;0.0001
force;66;0.0006
commis;17;0.0002
puisqu’;27;0.0003
écrite;9;0.0001
efforts;6;0.0001
fine;8;0.0001
cœur;145;0.0014
époque;38;0.0004
majesté;153;0.0014
arbre;6;0.0001
étais;67;0.0006
compte;45;0.0004
politesse;12;0.0001
cas;58;0.0005
tellement;10;0.0001
petites;7;0.0001
résolution;15;0.0001
passion;6;0.0001
devint;26;0.0002
chargé;22;0.0002
recherches;6;0.0001
comprenait;12;0.0001
conduisit;9;0.0001
passèrent;7;0.0001
poussière;8;0.0001
aurons;10;0.0001
lu;8;0.0001
gascogne;11;0.0001
était;1574;0.0147
demanda;133;0.0012
vendre;8;0.0001
hôte;118;0.0011
lille;6;0.0001
apparaître;9;0.0001
ambition;7;0.0001
plaira;7;0.0001
donnons;7;0.0001
mortel;8;0.0001
