mot;occurrence;frequence
pauvre;6;0.0078
lélia;34;0.0443
elle;8;0.0104
ciel;9;0.0117
qu’;6;0.0078
toujours;7;0.0091
aimer;11;0.0143
fleur;7;0.0091
est;34;0.0443
dit;23;0.03
cœur;14;0.0183
mal;6;0.0078
as;6;0.0078
voix;7;0.0091
homme;8;0.0104
ainsi;8;0.0104
tu;25;0.0326
avait;14;0.0183
viola;7;0.0091
eh;6;0.0078
sein;9;0.0117
heureux;6;0.0078
morte;9;0.0117
être;6;0.0078
pas;44;0.0574
plus;38;0.0495
tout;12;0.0156
amour;15;0.0196
avez;23;0.03
âme;14;0.0183
encore;13;0.0169
enfant;7;0.0091
fait;6;0.0078
toi;12;0.0156
était;21;0.0274
aime;7;0.0091
mourir;7;0.0091
main;6;0.0078
ai;13;0.0169
ton;11;0.0143
jeune;10;0.013
tes;6;0.0078
a;14;0.0183
bras;6;0.0078
sténio;15;0.0196
dieu;14;0.0183
jusqu’;6;0.0078
pourquoi;8;0.0104
femme;12;0.0156
donc;11;0.0143
voulez;7;0.0091
là;6;0.0078
vie;21;0.0274
ne;71;0.0926
bien;15;0.0196
;13;0.0169
alors;7;0.0091
