mot;occurrence;frequence
oeil;128;0.002
nu;37;0.0006
londre;9;0.0001
divinité;7;0.0001
action;29;0.0005
charmant;8;0.0001
hydre;9;0.0001
baron;99;0.0016
pousser;52;0.0008
honorer;8;0.0001
œuvre;18;0.0003
rir;35;0.0006
responsabilité;9;0.0001
frappement;7;0.0001
obscur;77;0.0012
attache;7;0.0001
petitesse;11;0.0002
bégaiement;7;0.0001
rentrer;32;0.0005
tiède;6;0.0001
ingénieux;6;0.0001
vis-à-vis;18;0.0003
noirceur;8;0.0001
précaution;24;0.0004
monte;6;0.0001
siècle;59;0.0009
pavé;11;0.0002
plan;21;0.0003
figure;39;0.0006
pairie;58;0.0009
tigre;11;0.0002
aise;6;0.0001
épars;8;0.0001
effacer;18;0.0003
catholique;15;0.0002
ébaucher;12;0.0002
famine;7;0.0001
sœur;27;0.0004
accorder;7;0.0001
prononcer;22;0.0004
extrémité;16;0.0003
gai;10;0.0002
homme;614;0.0098
livide;7;0.0001
posture;6;0.0001
hostile;6;0.0001
and;6;0.0001
aspect;20;0.0003
baronnet;7;0.0001
confier;7;0.0001
changement;10;0.0002
foire;26;0.0004
taire;33;0.0005
épreuve;6;0.0001
différence;10;0.0002
langue;32;0.0005
central;6;0.0001
manière;18;0.0003
abonder;6;0.0001
camarade;9;0.0001
espace;19;0.0003
continuer;57;0.0009
incendie;6;0.0001
baraque;26;0.0004
réfléchir;6;0.0001
pape;9;0.0001
poitrine;22;0.0004
fun;7;0.0001
tailler;6;0.0001
assurer;7;0.0001
repartit;6;0.0001
nuire;13;0.0002
rouge;30;0.0005
réchauffer;6;0.0001
statu;9;0.0001
inventer;6;0.0001
envoyer;26;0.0004
paix;9;0.0001
nimbe;6;0.0001
courbé;6;0.0001
légal;11;0.0002
hier;8;0.0001
étonnement;10;0.0002
but;22;0.0004
ramener;10;0.0002
retenir;14;0.0002
nuée;24;0.0004
clerc;52;0.0008
espagnol;27;0.0004
entier;15;0.0002
boue;7;0.0001
farce;6;0.0001
ivre;8;0.0001
posa;13;0.0002
écho;6;0.0001
avenir;16;0.0003
horrible;25;0.0004
doigt;42;0.0007
agir;15;0.0002
résoudre;14;0.0002
sinistre;37;0.0006
parrain;17;0.0003
droite;49;0.0008
étroit;10;0.0002
investiture;6;0.0001
aime;18;0.0003
amer;6;0.0001
gris;9;0.0001
rocher;6;0.0001
sir;6;0.0001
besogne;7;0.0001
saltimbanque;31;0.0005
endormi;9;0.0001
message;10;0.0002
vau;7;0.0001
honneur;43;0.0007
fille;76;0.0012
accès;7;0.0001
large;53;0.0008
extrême;14;0.0002
bagne;7;0.0001
pot;9;0.0001
condamner;15;0.0002
déclaration;12;0.0002
dessiner;10;0.0002
empreindre;8;0.0001
forme;72;0.0012
engloutissement;10;0.0002
manche;12;0.0002
difficile;22;0.0004
parallèle;8;0.0001
éaqu;6;0.0001
voisin;11;0.0002
çà;23;0.0004
tache;7;0.0001
éperdre;11;0.0002
presque;118;0.0019
navire;96;0.0015
imiter;7;0.0001
repentir;6;0.0001
caprice;10;0.0002
vasistas;7;0.0001
tête;210;0.0034
honte;7;0.0001
sortie;18;0.0003
ressembl;10;0.0002
relier;9;0.0001
éteindre;30;0.0005
mot;105;0.0017
pourrir;6;0.0001
ivresse;8;0.0001
pénétrer;19;0.0003
réveiller;26;0.0004
lorsqu’;13;0.0002
ranger;8;0.0001
pouvoir;115;0.0018
hanche;9;0.0001
cent;21;0.0003
surmonter;6;0.0001
raison;57;0.0009
pauvre;78;0.0012
insulte;7;0.0001
commence;6;0.0001
rare;14;0.0002
sommation;8;0.0001
user;11;0.0002
reptile;7;0.0001
multitude;12;0.0002
cimetière;14;0.0002
désir;8;0.0001
bourrasque;12;0.0002
janvier;11;0.0002
aimer;109;0.0017
foule;64;0.001
maîtresse;11;0.0002
mieux;67;0.0011
voile;18;0.0003
amende;7;0.0001
choisir;27;0.0004
craindre;22;0.0004
doute;41;0.0007
boucher;8;0.0001
marteau;8;0.0001
comédie;8;0.0001
voyant;10;0.0002
dépense;6;0.0001
adosser;9;0.0001
art;13;0.0002
respirer;23;0.0004
fantaisie;8;0.0001
veux;6;0.0001
sorcier;6;0.0001
battement;6;0.0001
vieux;121;0.0019
obéi;8;0.0001
duchesse;84;0.0013
capitaine;10;0.0002
maigre;8;0.0001
registre;13;0.0002
réfractaire;7;0.0001
satisfait;10;0.0002
helmsgail;13;0.0002
hautain;12;0.0002
tonneau;7;0.0001
supérieur;14;0.0002
répondre;68;0.0011
éclipse;6;0.0001
considérer;25;0.0004
sourd;18;0.0003
opération;13;0.0002
mois;20;0.0003
idéal;21;0.0003
galant;8;0.0001
maladie;9;0.0001
difficilement;6;0.0001
déclarer;14;0.0002
hous;7;0.0001
esclave;7;0.0001
lanterne;36;0.0006
délicatesse;6;0.0001
fonder;6;0.0001
docteur;119;0.0019
écarlate;6;0.0001
instinct;25;0.0004
inexprimable;10;0.0002
temps;210;0.0034
funèbre;13;0.0002
âme;91;0.0015
couleur;18;0.0003
exprès;7;0.0001
oubli;12;0.0002
bien-aimé;8;0.0001
traiter;7;0.0001
hermine;13;0.0002
égarer;7;0.0001
indique;9;0.0001
admettre;17;0.0003
reconnaissance;8;0.0001
fait;35;0.0006
plaindre;8;0.0001
prolonger;9;0.0001
gras;6;0.0001
colonel;7;0.0001
talent;23;0.0004
compliqu;6;0.0001
quelquefois;41;0.0007
téter;7;0.0001
serrer;19;0.0003
église;21;0.0003
usage;13;0.0002
book;7;0.0001
matelot;27;0.0004
majestueux;7;0.0001
intérêt;11;0.0002
copier;10;0.0002
sembla;12;0.0002
remonter;14;0.0002
fatal;17;0.0003
député;6;0.0001
shelling;8;0.0001
payer;32;0.0005
clarté;35;0.0006
résumer;6;0.0001
rêver;10;0.0002
empoisonnement;6;0.0001
vêtement;21;0.0003
spectre;18;0.0003
atteindre;20;0.0003
main;197;0.0032
bec;12;0.0002
amirauté;17;0.0003
refus;10;0.0002
fauve;8;0.0001
lointain;13;0.0002
héritage;6;0.0001
romain;10;0.0002
repos;7;0.0001
cécité;9;0.0001
couper;39;0.0006
maintenir;12;0.0002
amalgamer;17;0.0003
fête;13;0.0002
fuite;19;0.0003
instant;69;0.0011
bras;87;0.0014
fil;20;0.0003
crépuscule;11;0.0002
justicier;46;0.0007
code;6;0.0001
humiliation;6;0.0001
sensation;12;0.0002
stupeur;7;0.0001
occasion;29;0.0005
soulever;20;0.0003
ange;26;0.0004
écart;9;0.0001
lunette;6;0.0001
idiot;10;0.0002
rester;80;0.0013
masse;15;0.0002
traître;10;0.0002
chat;10;0.0002
naturel;13;0.0002
rapide;11;0.0002
muraill;8;0.0001
muscle;6;0.0001
masquer;9;0.0001
trahison;7;0.0001
jonction;6;0.0001
admiration;8;0.0001
informe;20;0.0003
civil;7;0.0001
écriteau;9;0.0001
normand;10;0.0002
opérer;7;0.0001
malheur;24;0.0004
scélérat;10;0.0002
passager;10;0.0002
demander;37;0.0006
décidément;6;0.0001
tas;12;0.0002
adopter;7;0.0001
seigneurie;48;0.0008
bien;299;0.0048
pays;26;0.0004
guide;7;0.0001
grimace;7;0.0001
lier;14;0.0002
souffler;15;0.0002
capot;7;0.0001
vraisemblablement;7;0.0001
inscription;11;0.0002
passer;182;0.0029
brouillard;16;0.0003
sorte;127;0.002
dossier;12;0.0002
prétendre;7;0.0001
irrémédiable;8;0.0001
printemps;8;0.0001
vaste;38;0.0006
fleur;27;0.0004
livrée;10;0.0002
obéissance;7;0.0001
chemin;23;0.0004
océan;56;0.0009
violemment;6;0.0001
flamboiement;8;0.0001
silencieusement;11;0.0002
