mot;occurrence;frequence
nu;19;0.0005
charmant;53;0.0014
divinité;11;0.0003
action;25;0.0006
pousser;50;0.0013
œuvre;11;0.0003
rir;10;0.0003
ose;16;0.0004
obscur;13;0.0003
souple;8;0.0002
estime;9;0.0002
rentrer;16;0.0004
tiède;11;0.0003
teindre;9;0.0002
précaution;9;0.0002
ordinairement;7;0.0002
pavé;6;0.0002
siècle;20;0.0005
plain;6;0.0002
plan;12;0.0003
éclatant;11;0.0003
figure;62;0.0016
tigre;12;0.0003
véritable;26;0.0007
aise;9;0.0002
effacer;8;0.0002
sœur;21;0.0005
accorder;7;0.0002
prononcer;19;0.0005
homme;291;0.0075
cil;12;0.0003
arche;6;0.0002
aspect;8;0.0002
différence;11;0.0003
flanc;13;0.0003
langue;16;0.0004
manière;100;0.0026
camarade;8;0.0002
dédaigneux;7;0.0002
rossignol;11;0.0003
border;7;0.0002
polir;17;0.0004
continuer;20;0.0005
espace;9;0.0002
réfléchir;10;0.0003
à;7;0.0002
conquête;7;0.0002
poitrine;29;0.0007
tailler;13;0.0003
assurer;14;0.0004
rouge;38;0.001
statu;7;0.0002
envoyer;10;0.0003
inventer;9;0.0002
hier;11;0.0003
but;19;0.0005
retenir;16;0.0004
nuée;8;0.0002
entier;22;0.0006
boue;7;0.0002
ivre;9;0.0002
doigt;46;0.0012
agir;13;0.0003
amer;7;0.0002
horrible;10;0.0003
résoudre;16;0.0004
étroit;6;0.0002
rimer;6;0.0002
droite;12;0.0003
avenir;6;0.0002
aime;22;0.0006
gris;8;0.0002
entièrement;13;0.0003
fille;70;0.0018
honneur;10;0.0003
large;29;0.0007
extrême;14;0.0004
important;11;0.0003
dessiner;15;0.0004
forme;65;0.0017
tournure;8;0.0002
manche;11;0.0003
difficile;42;0.0011
cor;6;0.0002
voisin;7;0.0002
çà;15;0.0004
tache;6;0.0002
dîner;12;0.0003
noire;6;0.0002
provincial;7;0.0002
presque;57;0.0015
caprice;12;0.0003
lorsqu’;17;0.0004
repentir;6;0.0002
tête;159;0.0041
honte;6;0.0002
mot;67;0.0017
éteindre;12;0.0003
délicieux;11;0.0003
discret;8;0.0002
réveiller;10;0.0003
pénétrer;15;0.0004
pouvoir;193;0.005
hanche;12;0.0003
rayonner;9;0.0002
party;7;0.0002
raison;42;0.0011
liqueur;7;0.0002
pauvre;63;0.0016
délier;6;0.0002
rare;13;0.0003
user;13;0.0003
aimer;255;0.0066
désir;59;0.0015
persuader;7;0.0002
foule;14;0.0004
perpétuellemer;6;0.0002
maîtresse;86;0.0022
mieux;125;0.0032
voile;21;0.0005
botte;18;0.0005
choisir;7;0.0002
craindre;19;0.0005
doute;52;0.0013
caresse;19;0.0005
comédie;15;0.0004
poëte;54;0.0014
voyant;10;0.0003
art;11;0.0003
respirer;6;0.0002
fantaisie;15;0.0004
principalement;7;0.0002
ardent;13;0.0003
veux;9;0.0002
vieux;68;0.0017
maigre;10;0.0003
revanche;6;0.0002
saule;6;0.0002
attentivement;6;0.0002
supérieur;13;0.0003
aimable;14;0.0004
répondre;51;0.0013
considérer;8;0.0002
renfermer;6;0.0002
mois;31;0.0008
héros;10;0.0003
galant;25;0.0006
idéal;29;0.0007
facilité;8;0.0002
écarlate;9;0.0002
délicatesse;11;0.0003
instinct;6;0.0002
inexprimable;7;0.0002
temps;136;0.0035
âme;105;0.0027
madeleine;14;0.0004
couleur;72;0.0019
exprès;7;0.0002
soucier;7;0.0002
traiter;11;0.0003
admettre;6;0.0002
reconnaissance;7;0.0002
auteur;18;0.0005
tremper;8;0.0002
fait;24;0.0006
plaindre;15;0.0004
prolonger;9;0.0002
