mot;occurrence;frequence
accord;6;0.0002
action;15;0.0004
pousser;18;0.0005
œuvre;6;0.0002
estime;16;0.0005
rentrer;30;0.0008
vis-à-vis;9;0.0003
siècle;10;0.0003
figure;34;0.001
véritable;21;0.0006
aise;7;0.0002
austère;9;0.0003
effacer;10;0.0003
tribunal;12;0.0003
écurie;8;0.0002
sœur;8;0.0002
accorder;13;0.0004
prononcer;17;0.0005
homme;237;0.0067
aliment;6;0.0002
aspect;10;0.0003
confier;11;0.0003
changement;6;0.0002
taire;21;0.0006
épreuve;13;0.0004
langue;9;0.0003
manière;74;0.0021
pèr;7;0.0002
continuer;18;0.0005
réfléchir;11;0.0003
à;6;0.0002
poitrine;25;0.0007
assurer;31;0.0009
nuire;7;0.0002
rouge;15;0.0004
envoyer;15;0.0004
paix;16;0.0005
frappé;13;0.0004
hier;9;0.0003
ramener;7;0.0002
but;8;0.0002
retenir;23;0.0006
entier;8;0.0002
épouvanter;6;0.0002
doigt;7;0.0002
agir;27;0.0008
horrible;6;0.0002
avenir;9;0.0003
résoudre;22;0.0006
sinistre;7;0.0002
aime;18;0.0005
gris;6;0.0002
entièrement;8;0.0002
fille;62;0.0017
honneur;60;0.0017
mériter;10;0.0003
accès;7;0.0002
large;14;0.0004
extrême;8;0.0002
condamner;14;0.0004
important;13;0.0004
héroïque;6;0.0002
forme;17;0.0005
difficile;9;0.0003
brutal;6;0.0002
voisin;9;0.0003
cor;6;0.0002
dîner;14;0.0004
presque;38;0.0011
imiter;6;0.0002
braver;6;0.0002
caprice;8;0.0002
lorsqu’;35;0.001
repentir;10;0.0003
traitement;8;0.0002
honte;21;0.0006
outrage;9;0.0003
tête;103;0.0029
mot;78;0.0022
interrogatoire;6;0.0002
pénétrer;14;0.0004
réveiller;17;0.0005
pouvoir;156;0.0044
raison;52;0.0015
pauvre;46;0.0013
rare;7;0.0002
religieux;19;0.0005
aimer;155;0.0044
désir;42;0.0012
persuader;7;0.0002
maîtresse;13;0.0004
mieux;50;0.0014
voile;7;0.0002
élancer;21;0.0006
choisir;6;0.0002
châtiment;6;0.0002
craindre;61;0.0017
doute;35;0.001
voyant;23;0.0006
déterminer;7;0.0002
m.hubert;13;0.0004
respirer;7;0.0002
ardent;8;0.0002
persécution;8;0.0002
sorcier;26;0.0007
veux;9;0.0003
vieux;68;0.0019
maigre;7;0.0002
aimez;14;0.0004
supérieur;12;0.0003
répondre;85;0.0024
considérer;7;0.0002
renfermer;6;0.0002
mois;16;0.0005
maladie;21;0.0006
déclarer;22;0.0006
fonder;7;0.0002
délicatesse;9;0.0003
incroyable;6;0.0002
instinct;22;0.0006
temps;148;0.0042
âme;61;0.0017
soucier;6;0.0002
paternel;7;0.0002
traiter;8;0.0002
douer;12;0.0003
égarer;10;0.0003
reconnaissance;9;0.0003
auteur;7;0.0002
fait;37;0.001
plaindre;8;0.0002
notion;7;0.0002
quelquefois;13;0.0004
serrer;28;0.0008
clarté;6;0.0002
fatal;8;0.0002
usage;8;0.0002
intérêt;33;0.0009
résumer;6;0.0002
répondi;54;0.0015
curé;38;0.0011
sembla;16;0.0005
payer;15;0.0004
mentir;6;0.0002
rêver;10;0.0003
spectre;10;0.0003
main;159;0.0045
refus;6;0.0002
héritage;7;0.0002
repos;12;0.0003
instant;92;0.0026
couper;6;0.0002
solliciter;7;0.0002
fortement;7;0.0002
fuite;13;0.0004
bras;72;0.002
soulever;12;0.0003
occasion;24;0.0007
ange;9;0.0003
naturel;26;0.0007
grenier;7;0.0002
révéler;15;0.0004
rester;84;0.0024
principe;21;0.0006
séduction;6;0.0002
rapide;7;0.0002
admiration;11;0.0003
avocat;17;0.0005
malheur;28;0.0008
demander;66;0.0019
adopter;6;0.0002
pays;41;0.0012
bien;364;0.0103
épargner;8;0.0002
lier;6;0.0002
passer;136;0.0038
élément;6;0.0002
projet;9;0.0003
sorte;40;0.0011
prétendre;22;0.0006
fleur;12;0.0003
emparer;25;0.0007
témoignage;10;0.0003
chemin;20;0.0006
aversion;8;0.0002
préoccupation;6;0.0002
renverser;7;0.0002
récompense;6;0.0002
appuyer;12;0.0003
faillir;12;0.0003
gentilhomme;14;0.0004
verre;6;0.0002
spectacle;15;0.0004
trouvai;8;0.0002
oncle;98;0.0028
indifférence;8;0.0002
extraordinaire;9;0.0003
cousin;55;0.0016
fort;81;0.0023
pont;6;0.0002
dresser;6;0.0002
coupe-jarret;11;0.0003
gaieté;9;0.0003
prêt;12;0.0003
passé;14;0.0004
cruel;7;0.0002
gagner;20;0.0006
endroit;12;0.0003
rapidement;6;0.0002
traîner;10;0.0003
mouvement;29;0.0008
mérite;14;0.0004
faculté;15;0.0004
violence;19;0.0005
habituer;15;0.0004
exiger;6;0.0002
justice;38;0.0011
éclat;12;0.0003
vis;10;0.0003
fou;28;0.0008
tombe;9;0.0003
rôle;17;0.0005
effrayer;23;0.0006
prison;11;0.0003
fixement;10;0.0003
entretien;14;0.0004
guère;21;0.0006
sacrifier;8;0.0002
apprendre;41;0.0012
surprise;27;0.0008
baiser;14;0.0004
menace;13;0.0004
relation;8;0.0002
impassible;7;0.0002
peur;37;0.001
partout;11;0.0003
mousse;7;0.0002
corriger;12;0.0003
déranger;7;0.0002
chouette;6;0.0002
mystérieux;14;0.0004
membre;6;0.0002
cause;38;0.0011
circonstance;11;0.0003
service;13;0.0004
davantage;14;0.0004
regret;10;0.0003
généreux;20;0.0006
déjeuner;11;0.0003
comprendre;62;0.0017
fierter;7;0.0002
ordre;35;0.001
avaler;6;0.0002
image;10;0.0003
chasser;13;0.0004
associer;7;0.0002
distinguer;8;0.0002
ensemble;8;0.0002
situation;15;0.0004
tromper;13;0.0004
abri;6;0.0002
avantage;7;0.0002
patience;79;0.0022
informer;11;0.0003
impossible;41;0.0012
angoisse;19;0.0005
considérable;11;0.0003
pur;12;0.0003
jamais;202;0.0057
certainement;25;0.0007
opinion;12;0.0003
placer;14;0.0004
presser;11;0.0003
espèce;18;0.0005
perte;10;0.0003
évanouir;8;0.0002
supporter;7;0.0002
coupable;13;0.0004
émouvoir;7;0.0002
commun;8;0.0002
sensible;8;0.0002
trop;84;0.0024
tragique;7;0.0002
fond;26;0.0007
disai;14;0.0004
conduite;28;0.0008
désespérer;11;0.0003
reculer;10;0.0003
risque;9;0.0003
oublier;24;0.0007
court;13;0.0004
folie;14;0.0004
brigand;16;0.0005
accusation;6;0.0002
commander;10;0.0003
effroi;11;0.0003
admirable;14;0.0004
courir;27;0.0008
être;643;0.0181
flatter;8;0.0002
route;10;0.0003
laisser;84;0.0024
petit;71;0.002
edmée;364;0.0103
journée;13;0.0004
haut;25;0.0007
greffier;10;0.0003
arriver;73;0.0021
blesser;22;0.0006
franchir;9;0.0003
sort;19;0.0005
tranquille;17;0.0005
connaissance;15;0.0004
lever;61;0.0017
succomber;7;0.0002
prochain;6;0.0002
religion;9;0.0003
oreille;21;0.0006
pensée;31;0.0009
