mot;occurrence;frequence
nu;27;0.0004
charmant;26;0.0004
action;8;0.0001
pousser;36;0.0006
œuvre;56;0.0009
rir;9;0.0001
obscur;21;0.0003
portail;49;0.0008
rentrer;30;0.0005
rive;23;0.0004
vis-à-vis;10;0.0002
maçon;9;0.0001
moyen-âge;29;0.0005
airain;7;0.0001
pavé;82;0.0013
siècle;102;0.0017
plan;13;0.0002
figure;78;0.0013
tigre;10;0.0002
procureur;30;0.0005
aise;17;0.0003
véritable;14;0.0002
épars;7;0.0001
pique;8;0.0001
effacer;21;0.0003
clémence;6;0.0001
sœur;37;0.0006
glapir;6;0.0001
colonnette;8;0.0001
prononcer;21;0.0003
extrémité;17;0.0003
homme;333;0.0054
orient;7;0.0001
aspect;18;0.0003
arche;6;0.0001
confier;7;0.0001
taire;23;0.0004
différence;6;0.0001
langue;49;0.0008
central;14;0.0002
manière;29;0.0005
camarade;14;0.0002
border;7;0.0001
espace;12;0.0002
continuer;48;0.0008
réfléchir;9;0.0001
pape;47;0.0008
poitrine;35;0.0006
tailler;9;0.0001
assurer;9;0.0001
fragment;6;0.0001
rouge;61;0.001
gîte;6;0.0001
envoyer;15;0.0002
oriental;6;0.0001
hier;10;0.0002
étonnement;10;0.0002
ricaner;7;0.0001
but;8;0.0001
ramener;14;0.0002
retenir;13;0.0002
nuée;10;0.0002
clerc;19;0.0003
sorcellerie;12;0.0002
entier;39;0.0006
boue;15;0.0002
ivre;13;0.0002
épouvanter;8;0.0001
édific;13;0.0002
avenir;12;0.0002
grelot;6;0.0001
g;6;0.0001
horrible;43;0.0007
bouge;8;0.0001
sinistre;21;0.0003
doigt;39;0.0006
droite;51;0.0008
agir;17;0.0003
étroit;6;0.0001
aime;18;0.0003
amer;14;0.0002
gris;15;0.0002
sir;40;0.0006
besogne;9;0.0001
fille;316;0.0051
honneur;14;0.0002
large;57;0.0009
extrême;7;0.0001
pot;13;0.0002
éminence;16;0.0003
condamner;22;0.0004
parthénon;6;0.0001
dessiner;6;0.0001
forme;99;0.0016
actuel;6;0.0001
important;7;0.0001
cahier;8;0.0001
manche;15;0.0002
phœbu;133;0.0022
difficile;14;0.0002
vibration;9;0.0001
voisin;49;0.0008
çà;50;0.0008
égyptien;31;0.0005
noire;7;0.0001
provincial;6;0.0001
presque;69;0.0011
navire;7;0.0001
pittoresque;6;0.0001
caprice;7;0.0001
lorsqu’;25;0.0004
cent;23;0.0004
tête;334;0.0054
honte;13;0.0002
serein;6;0.0001
ranger;18;0.0003
éteindre;26;0.0004
mot;104;0.0017
pourrir;6;0.0001
interrogatoire;6;0.0001
pénétrer;15;0.0002
mi-parti;6;0.0001
réveiller;27;0.0004
pouvoir;98;0.0016
épaisse;8;0.0001
rayonner;9;0.0001
party;12;0.0002
raison;37;0.0006
pauvre;175;0.0028
enceint;11;0.0002
rare;31;0.0005
religieux;13;0.0002
user;9;0.0001
multitude;11;0.0002
in-8o;18;0.0003
désir;7;0.0001
janvier;23;0.0004
aimer;99;0.0016
période;8;0.0001
foule;114;0.0019
inscrire;6;0.0001
maîtresse;17;0.0003
mieux;72;0.0012
botte;11;0.0002
amende;21;0.0003
élancer;12;0.0002
choisir;10;0.0002
grotesque;8;0.0001
brodequin;7;0.0001
craindre;16;0.0003
doute;64;0.001
poignard;21;0.0003
messir;9;0.0001
dom;8;0.0001
caresse;11;0.0002
boucher;12;0.0002
chantefleurie;8;0.0001
marteau;11;0.0002
comédie;11;0.0002
poëte;55;0.0009
voyant;18;0.0003
adosser;7;0.0001
ordonnance;20;0.0003
déterminer;7;0.0001
art;25;0.0004
respirer;16;0.0003
fantaisie;18;0.0003
ardent;11;0.0002
veux;16;0.0003
sorcier;11;0.0002
sonneur;45;0.0007
ardoise;10;0.0002
vieux;180;0.0029
maigre;12;0.0002
capitaine;140;0.0023
sédition;6;0.0001
revanche;6;0.0001
symbole;22;0.0004
hautain;6;0.0001
couchant;9;0.0001
tonneau;9;0.0001
supérieur;23;0.0004
répondre;118;0.0019
présumer;9;0.0001
considérer;23;0.0004
balbutia;6;0.0001
sourd;71;0.0012
mois;58;0.0009
opération;7;0.0001
galant;9;0.0001
innombrable;13;0.0002
maladie;9;0.0001
écarlate;8;0.0001
morose;6;0.0001
lanterne;16;0.0003
docteur;21;0.0003
instinct;6;0.0001
bronze;7;0.0001
temps;222;0.0036
âme;74;0.0012
couleur;28;0.0005
exprès;7;0.0001
charlesvi;7;0.0001
soucier;14;0.0002
alphabet;7;0.0001
égarer;11;0.0002
holà;6;0.0001
reconnaissance;7;0.0001
auteur;32;0.0005
fait;29;0.0005
plaindre;6;0.0001
prolonger;7;0.0001
quelquefois;36;0.0006
serrer;23;0.0004
clarté;17;0.0003
église;173;0.0028
usage;15;0.0002
intérêt;14;0.0002
méditation;6;0.0001
originalité;6;0.0001
sembla;13;0.0002
fatal;14;0.0002
bourdon;6;0.0001
remonter;17;0.0003
résumer;7;0.0001
renaissance;10;0.0002
payer;28;0.0005
official;12;0.0002
orgue;6;0.0001
pieux;7;0.0001
rêver;12;0.0002
atteindre;13;0.0002
main;295;0.0048
éternellemer;8;0.0001
spectre;14;0.0002
vêtement;12;0.0002
fauve;9;0.0001
corbeau;7;0.0001
romain;17;0.0003
instant;72;0.0012
couper;25;0.0004
fête;31;0.0005
fuite;9;0.0001
monument;49;0.0008
bras;111;0.0018
fil;19;0.0003
fouiller;17;0.0003
stupeur;8;0.0001
occasion;8;0.0001
illuminer;6;0.0001
soulever;18;0.0003
ange;24;0.0004
pagode;6;0.0001
