mot;occurrence;frequence
buzot;9;0.0001
ont;153;0.002
fournaise;7;0.0001
quatre;101;0.0013
tribune;28;0.0004
saint-fargeau;8;0.0001
vis-à-vis;6;0.0001
planches;6;0.0001
plan;36;0.0005
éclatant;6;0.0001
taisait;12;0.0002
tribunal;23;0.0003
choisi;9;0.0001
homme;456;0.0059
différence;9;0.0001
central;6;0.0001
martiale;10;0.0001
principaux;6;0.0001
14;13;0.0002
gris;8;0.0001
déclaration;6;0.0001
tes;13;0.0002
a;919;0.012
morière;11;0.0001
difficile;15;0.0002
voisin;7;0.0001
21;16;0.0002
semblaient;8;0.0001
navire;35;0.0005
sortie;15;0.0002
deux;466;0.0061
éteindre;9;0.0001
mot;78;0.001
avais;18;0.0002
pieds;76;0.001
frères;32;0.0004
fermée;10;0.0001
devenus;8;0.0001
allez;29;0.0004
poignard;7;0.0001
voyant;25;0.0003
rez-de-chaussée;24;0.0003
art;6;0.0001
prirent;6;0.0001
vieux;102;0.0013
capitaine;65;0.0008
satisfait;9;0.0001
publié;13;0.0002
réplique;6;0.0001
arrêté;12;0.0002
détonations;6;0.0001
numéro;7;0.0001
donnés;8;0.0001
instinct;7;0.0001
crieur;20;0.0003
assiégeant;7;0.0001
âme;79;0.001
venez;19;0.0002
appelaient;13;0.0002
écrivit;8;0.0001
épopée;13;0.0002
matelot;25;0.0003
main;130;0.0017
folle;6;0.0001
fauve;7;0.0001
couper;10;0.0001
fête;12;0.0002
lunette;7;0.0001
traître;16;0.0002
masse;15;0.0002
fusiller;21;0.0003
paysage;8;0.0001
retrouve;8;0.0001
disant;8;0.0001
demander;12;0.0002
lames;7;0.0001
ronces;8;0.0001
projet;8;0.0001
indication;7;0.0001
chemin;33;0.0004
feuille;13;0.0002
millions;11;0.0001
vitré;10;0.0001
oncle;10;0.0001
ôta;9;0.0001
étage;53;0.0007
pont;77;0.001
dresser;8;0.0001
pas;1086;0.0141
noires;7;0.0001
dehors;16;0.0002
drapeau;23;0.0003
mouvement;22;0.0003
avez;118;0.0015
république;87;0.0011
guerres;10;0.0001
vol;9;0.0001
regardait;40;0.0005
vis;9;0.0001
tombe;22;0.0003
passant;13;0.0002
pouvoirs;11;0.0001
guère;11;0.0001
lentement;14;0.0002
huit;28;0.0004
finances;6;0.0001
canons;32;0.0004
rendu;7;0.0001
partout;25;0.0003
murs;21;0.0003
cause;40;0.0005
ouverture;12;0.0002
barbier;6;0.0001
comprendre;16;0.0002
portraits;6;0.0001
voulut;7;0.0001
feux;10;0.0001
29;6;0.0001
impossible;38;0.0005
délivrer;6;0.0001
monarchique;8;0.0001
jamais;54;0.0007
murmure;6;0.0001
perte;9;0.0001
fond;62;0.0008
plateau;59;0.0008
meurt;8;0.0001
court;14;0.0002
exécuté;8;0.0001
moustache;6;0.0001
galères;13;0.0002
deuxième;58;0.0008
être;271;0.0035
laboureur;6;0.0001
petit;59;0.0008
laisser;28;0.0004
change;6;0.0001
crie;8;0.0001
sort;23;0.0003
prouve;8;0.0001
lever;14;0.0002
mirabeau;40;0.0005
nouvelle;16;0.0002
plaie;8;0.0001
sait;76;0.001
révolution;180;0.0023
silencieux;7;0.0001
forces;11;0.0001
idée;42;0.0005
signa;6;0.0001
soldat;38;0.0005
attaque;35;0.0005
donjon;15;0.0002
pire;13;0.0002
servi;11;0.0001
montre;29;0.0004
parigné;16;0.0002
confus;8;0.0001
pût;7;0.0001
desquels;6;0.0001
répondait;11;0.0001
seule;21;0.0003
léchelle;16;0.0002
prunelles;6;0.0001
représentait;10;0.0001
force;49;0.0006
puisqu’;8;0.0001
écrite;9;0.0001
cœur;39;0.0005
habituellement;10;0.0001
époque;25;0.0003
coquereau;20;0.0003
arbre;20;0.0003
étais;27;0.0004
compte;11;0.0001
dialogue;17;0.0002
cas;21;0.0003
grand-francœur;11;0.0001
tellement;6;0.0001
petites;15;0.0002
imprimé;6;0.0001
spirale;11;0.0001
devint;14;0.0002
fabre;6;0.0001
décembre;18;0.0002
chargé;12;0.0002
9;19;0.0002
comprenait;7;0.0001
lente;6;0.0001
poussière;16;0.0002
carnet;11;0.0001
lu;18;0.0002
progrès;16;0.0002
bonnet;29;0.0004
était;1556;0.0202
nœud;19;0.0002
élisabeth;7;0.0001
demanda;18;0.0002
mars;27;0.0004
hôte;13;0.0002
pleines;6;0.0001
donnons;6;0.0001
entré;11;0.0001
levant;8;0.0001
battue;6;0.0001
petits;73;0.0009
commune;31;0.0004
reçu;12;0.0002
chiffres;6;0.0001
sauter;6;0.0001
gauvain;395;0.0051
autrefois;11;0.0001
dénouement;7;0.0001
abord;66;0.0009
précepteur;7;0.0001
tenez;10;0.0001
voilà;82;0.0011
soyez;6;0.0001
semblent;7;0.0001
tendre;8;0.0001
rang;7;0.0001
ajouta;44;0.0006
gavard;10;0.0001
charles;9;0.0001
venu;28;0.0004
retirade;24;0.0003
inutile;17;0.0002
marque;7;0.0001
battait;9;0.0001
sujet;6;0.0001
rayon;8;0.0001
édition;18;0.0002
vide;10;0.0001
bruyères;10;0.0001
furieuse;6;0.0001
regardaient;12;0.0002
riait;7;0.0001
préface;9;0.0001
chemins;11;0.0001
pensif;25;0.0003
bataille;41;0.0005
planche;6;0.0001
azur;9;0.0001
puits;6;0.0001
poings;17;0.0002
xviiie;6;0.0001
liste;11;0.0001
onze;10;0.0001
ferait;10;0.0001
passa;28;0.0004
si;14;0.0002
telle;20;0.0003
plutôt;28;0.0004
arrêter;10;0.0001
envoyé;14;0.0002
genou;9;0.0001
rebelle;10;0.0001
terre;124;0.0016
défense;13;0.0002
nécessité;8;0.0001
intention;6;0.0001
toujours;90;0.0012
aube;6;0.0001
trois;261;0.0034
avant-garde;6;0.0001
guinoiseau;7;0.0001
ressemble;10;0.0001
suivait;16;0.0002
fenêtre;27;0.0004
as;34;0.0004
précipice;7;0.0001
trêve;8;0.0001
horizon;51;0.0007
fragments;13;0.0002
iii;22;0.0003
avait;1179;0.0153
vieuville;45;0.0006
comment;65;0.0008
placé;9;0.0001
porte;139;0.0018
vaincu;11;0.0001
servir;10;0.0001
meurtrières;8;0.0001
brûler;15;0.0002
cité;7;0.0001
soi;12;0.0002
catastrophe;10;0.0001
avoir;155;0.002
tallien;9;0.0001
avant;17;0.0002
cocher;6;0.0001
création;12;0.0002
prenez;12;0.0002
campagne;16;0.0002
cru;6;0.0001
hache;15;0.0002
firent;12;0.0002
poing;24;0.0003
réel;9;0.0001
bon;81;0.0011
reine;26;0.0003
monter;17;0.0002
mille;97;0.0013
bretonnes;7;0.0001
ferme;27;0.0004
tombaient;12;0.0002
écharpe;6;0.0001
avranches;9;0.0001
moins;77;0.001
ponts;8;0.0001
savez;18;0.0002
gloire;12;0.0002
ajouté;15;0.0002
voix;142;0.0018
postes;6;0.0001
crier;10;0.0001
tu;180;0.0023
gilet;6;0.0001
sol;11;0.0001
passe;41;0.0005
plein;45;0.0006
rayons;9;0.0001
attend;6;0.0001
appellent;9;0.0001
ah;68;0.0009
questions;6;0.0001
jambe;35;0.0005
suffisait;10;0.0001
paris;119;0.0015
signet;10;0.0001
oubliette;8;0.0001
jacques;12;0.0002
salle;123;0.0016
attention;17;0.0002
vêtu;6;0.0001
demain;29;0.0004
besoin;28;0.0004
tocsin;19;0.0002
partir;15;0.0002
céleste;7;0.0001
lui;9;0.0001
confiance;15;0.0002
empêcher;13;0.0002
vote;12;0.0002
fallait;51;0.0007
monté;6;0.0001
thouars;6;0.0001
loin;58;0.0008
bête;36;0.0005
colère;21;0.0003
volonté;19;0.0002
représentant;17;0.0002
vicaire;6;0.0001
touchaient;7;0.0001
affiches;6;0.0001
cuir;9;0.0001
école;11;0.0001
longtemps;21;0.0003
ronde;11;0.0001
libre;25;0.0003
suivit;10;0.0001
unité;11;0.0001
quatrième;12;0.0002
robuste;6;0.0001
hôtel;9;0.0001
plaisir;11;0.0001
aller;48;0.0006
échelle;67;0.0009
bouche;31;0.0004
chabot;24;0.0003
pourquoi;81;0.0011
jugement;8;0.0001
michel;18;0.0002
commandant;79;0.001
étranges;6;0.0001
vertu;15;0.0002
rochejaquelein;15;0.0002
juillet;18;0.0002
querelle;10;0.0001
fin;43;0.0006
tendit;11;0.0001
arrivée;19;0.0002
sentit;9;0.0001
déroute;14;0.0002
put;12;0.0002
creux;10;0.0001
grand-oncle;7;0.0001
connu;6;0.0001
goût;9;0.0001
marché;15;0.0002
nourrice;6;0.0001
coude;10;0.0001
longues;14;0.0002
donné;45;0.0006
suis;154;0.002
écria;43;0.0006
chair;8;0.0001
carabines;6;0.0001
répliqua;12;0.0002
seigneurs;8;0.0001
passants;12;0.0002
lettre;25;0.0003
allumée;6;0.0001
prend;24;0.0003
appeler;13;0.0002
anges;6;0.0001
agit;14;0.0002
espagne;12;0.0002
embuscade;7;0.0001
thermidor;10;0.0001
sources;6;0.0001
sociale;14;0.0002
chansons;6;0.0001
description;8;0.0001
voulez;23;0.0003
chiffre;7;0.0001
charrette;29;0.0004
échappe;7;0.0001
années;17;0.0002
stofflet;10;0.0001
savait;34;0.0004
sauver;38;0.0005
vent;62;0.0008
ensuite;24;0.0003
figures;13;0.0002
misérables;12;0.0002
rois;24;0.0003
siscoignard;6;0.0001
sanglant;8;0.0001
frère;44;0.0006
affaire;27;0.0004
fixe;12;0.0002
fanatisme;6;0.0001
eussent;8;0.0001
serai;8;0.0001
donnée;6;0.0001
air;70;0.0009
10;26;0.0003
journaux;8;0.0001
merci;9;0.0001
tambour;9;0.0001
sévère;19;0.0002
auquel;14;0.0002
madame;42;0.0005
vieille;30;0.0004
aurez;23;0.0003
essaya;6;0.0001
enfer;11;0.0001
note;100;0.0013
lèvres;15;0.0002
disait;84;0.0011
dépassait;8;0.0001
condition;12;0.0002
silhouette;7;0.0001
chef;98;0.0013
danger;25;0.0003
affiche;31;0.0004
rit;14;0.0002
ami;20;0.0003
douceur;6;0.0001
gironde;8;0.0001
entrer;25;0.0003
bruits;6;0.0001
verser;9;0.0001
champs;13;0.0002
atteint;7;0.0001
quart;17;0.0002
poudre;17;0.0002
recevoir;7;0.0001
indiquée;6;0.0001
mercier;10;0.0001
obscurité;28;0.0004
parent;6;0.0001
produit;9;0.0001
asseoir;7;0.0001
pêle-mêle;7;0.0001
foudre;14;0.0002
brûlé;8;0.0001
terribles;10;0.0001
↑;75;0.001
ans;79;0.001
affreux;12;0.0002
défendu;8;0.0001
conscience;40;0.0005
tombeau;8;0.0001
certes;18;0.0002
plus;704;0.0092
clergé;8;0.0001
flots;8;0.0001
appelé;18;0.0002
joie;17;0.0002
autant;24;0.0003
mauvais;17;0.0002
inférieur;6;0.0001
patient;7;0.0001
vainqueur;8;0.0001
esprits;16;0.0002
santerre;7;0.0001
aurait;28;0.0004
iras;14;0.0002
bonheur;11;0.0001
actions;8;0.0001
comte;58;0.0008
balles;16;0.0002
charpente;7;0.0001
intérieur;19;0.0002
existe;16;0.0002
invention;6;0.0001
