mot;occurrence;frequence
nu;11;0.0007
action;28;0.0018
pousser;12;0.0008
œuvre;8;0.0005
obscur;9;0.0006
rentrer;7;0.0004
siècle;7;0.0004
figure;15;0.001
véritable;6;0.0004
homme;176;0.0113
taire;17;0.0011
langue;6;0.0004
manière;26;0.0017
camarade;17;0.0011
continuer;20;0.0013
canne;18;0.0012
réfléchir;7;0.0004
poitrine;25;0.0016
assurer;8;0.0005
baïonnette;8;0.0005
rouge;36;0.0023
envoyer;15;0.001
paix;14;0.0009
pierrette;38;0.0024
entier;15;0.001
boue;6;0.0004
doigt;12;0.0008
agir;6;0.0004
avenir;11;0.0007
résoudre;6;0.0004
droite;18;0.0012
gris;10;0.0006
fille;19;0.0012
honneur;42;0.0027
large;11;0.0007
dessiner;6;0.0004
forme;18;0.0012
actuel;7;0.0004
voisin;6;0.0004
bataillon;10;0.0006
tache;6;0.0004
presque;24;0.0015
navire;8;0.0005
lorsqu’;15;0.001
cent;9;0.0006
tête;82;0.0053
mot;36;0.0023
pouvoir;78;0.005
raison;6;0.0004
pauvre;73;0.0047
abnégation;10;0.0006
poudrière;8;0.0005
aimer;55;0.0035
infanterie;8;0.0005
désir;11;0.0007
foule;6;0.0004
mieux;37;0.0024
voile;9;0.0006
botte;8;0.0005
craindre;15;0.001
doute;11;0.0007
voyant;6;0.0004
respirer;7;0.0004
vieux;67;0.0043
capitaine;61;0.0039
attentivement;6;0.0004
supérieur;6;0.0004
répondre;23;0.0015
considérer;17;0.0011
mois;10;0.0006
esclave;8;0.0005
parade;6;0.0004
temps;112;0.0072
âme;19;0.0012
couleur;12;0.0008
traiter;8;0.0005
plaindre;8;0.0005
colonel;10;0.0006
quelquefois;18;0.0012
serrer;24;0.0015
usage;7;0.0004
curé;13;0.0008
payer;8;0.0005
rêver;6;0.0004
main;113;0.0072
repos;6;0.0004
instant;11;0.0007
couper;7;0.0004
fête;6;0.0004
bras;48;0.0031
soulever;8;0.0005
occasion;12;0.0008
naturel;11;0.0007
rester;34;0.0022
principe;8;0.0005
fusiller;7;0.0004
admiration;9;0.0006
malheur;7;0.0004
demander;31;0.002
pays;14;0.0009
bien;218;0.014
passer;59;0.0038
sorte;29;0.0019
obéissance;14;0.0009
chemin;14;0.0009
océan;9;0.0006
violemment;6;0.0004
chaîne;7;0.0004
appuyer;20;0.0013
verre;14;0.0009
spectacle;11;0.0007
trouvai;6;0.0004
fort;62;0.004
pont;14;0.0009
prêt;11;0.0007
gagner;11;0.0007
mouvement;18;0.0012
mérite;8;0.0005
éclat;11;0.0007
fou;15;0.001
rôle;6;0.0004
poule;6;0.0004
prison;8;0.0005
reposer;9;0.0006
apprendre;20;0.0013
lentement;17;0.0011
baiser;7;0.0004
peur;18;0.0012
partout;19;0.0012
cause;14;0.0009
circonstance;7;0.0004
service;15;0.001
regret;9;0.0006
louisxiv;6;0.0004
comprendre;15;0.001
ordre;35;0.0022
anglais;18;0.0012
impossible;8;0.0005
pur;11;0.0007
jamais;68;0.0044
certainement;7;0.0004
placer;21;0.0013
évanouir;6;0.0004
commun;7;0.0004
trop;61;0.0039
fond;14;0.0009
écuyer;6;0.0004
oublier;16;0.001
flot;7;0.0004
court;6;0.0004
commander;9;0.0006
moustache;9;0.0006
courir;24;0.0015
être;228;0.0146
route;19;0.0012
colonne;12;0.0008
laisser;34;0.0022
petit;173;0.0111
directeur;11;0.0007
journée;10;0.0006
haut;27;0.0017
arriver;42;0.0027
sort;6;0.0004
connaissance;7;0.0004
lever;29;0.0019
religion;7;0.0004
oreille;11;0.0007
pensée;10;0.0006
cou;9;0.0006
exemple;18;0.0012
front;35;0.0022
nuit;39;0.0025
frais;11;0.0007
silencieux;7;0.0004
apercevoir;12;0.0008
idée;41;0.0026
soldat;74;0.0047
vue;24;0.0015
peine;22;0.0014
mourir;21;0.0013
demeurer;12;0.0008
retourner;11;0.0007
mémoire;15;0.001
poudrer;6;0.0004
argent;10;0.0006
embrasser;9;0.0006
égal;13;0.0008
lit;15;0.001
général;32;0.002
jaune;13;0.0008
expliquer;6;0.0004
royal;9;0.0006
drôle;6;0.0004
fils;16;0.001
canon;25;0.0016
soir;24;0.0015
force;20;0.0013
lendemain;10;0.0006
an;43;0.0028
rencontre;6;0.0004
cœur;29;0.0019
doux;16;0.001
époque;11;0.0007
remplir;9;0.0006
auprès;8;0.0005
arbre;14;0.0009
compte;7;0.0004
singulier;8;0.0005
éloigner;7;0.0004
marbre;6;0.0004
frégate;7;0.0004
blessure;13;0.0008
politesse;7;0.0004
liberté;12;0.0008
épaule;20;0.0013
rouler;14;0.0009
sacrifice;7;0.0004
pourtant;8;0.0005
nécessaire;7;0.0004
raconter;14;0.0009
passion;13;0.0008
affliger;6;0.0004
goutte;8;0.0005
combat;14;0.0009
gronder;6;0.0004
lutte;6;0.0004
orgueil;8;0.0005
arrière;8;0.0005
enfoncer;7;0.0004
lueur;6;0.0004
meilleur;13;0.0008
loi;16;0.001
soin;11;0.0007
espérer;12;0.0008
ambition;14;0.0009
former;10;0.0006
adjudant;16;0.001
remettre;12;0.0008
trouver;72;0.0046
mépris;10;0.0006
là;17;0.0011
di;16;0.001
rappeler;10;0.0006
calme;7;0.0004
oh;6;0.0004
tirer;28;0.0018
sauter;7;0.0004
gauche;16;0.001
major;6;0.0004
pipe;7;0.0004
soleil;13;0.0008
tendre;14;0.0009
approcher;16;0.001
rang;17;0.0011
ajouta;9;0.0006
seigneur;8;0.0005
gros;18;0.0012
rue;6;0.0004
inutile;8;0.0005
produire;6;0.0004
silence;23;0.0015
attacher;9;0.0006
maison;20;0.0013
falloir;49;0.0031
vêtir;8;0.0005
sang;25;0.0016
ancien;16;0.001
amour;19;0.0012
léger;6;0.0004
chapeau;8;0.0005
charger;13;0.0008
bataille;18;0.0012
dormir;13;0.0008
casser;6;0.0004
ailleurs;12;0.0008
curer;6;0.0004
bâtiment;15;0.001
baisser;12;0.0008
finir;14;0.0009
commandement;7;0.0004
prendre;130;0.0083
arrêter;35;0.0022
crainte;6;0.0004
jeter;46;0.0029
paraître;41;0.0026
offrir;7;0.0004
genou;20;0.0013
mouchoir;6;0.0004
fatigue;10;0.0006
terre;41;0.0026
essuyer;6;0.0004
défendre;10;0.0006
défense;6;0.0004
tandis;14;0.0009
jouer;21;0.0013
canot;8;0.0005
devoir;55;0.0035
marche;15;0.001
aujourd’hui;10;0.0006
douloureux;6;0.0004
appartement;6;0.0004
fenêtre;17;0.0011
manteau;8;0.0005
noble;6;0.0004
chapitrer;27;0.0017
tort;8;0.0005
horizon;6;0.0004
découvrir;7;0.0004
cheval;33;0.0021
brave;27;0.0017
vivement;10;0.0006
enseigner;6;0.0004
porte;35;0.0022
servir;20;0.0013
brûler;9;0.0006
interrompre;14;0.0009
boire;8;0.0005
événement;8;0.0005
avoir;142;0.0091
sabot;6;0.0004
campagne;13;0.0008
régner;9;0.0006
armée;61;0.0039
durer;8;0.0005
songer;10;0.0006
chagrin;6;0.0004
poindre;20;0.0013
cacher;18;0.0012
haine;6;0.0004
attitude;10;0.0006
bon;96;0.0061
reine;35;0.0022
livre;22;0.0014
vérité;16;0.001
monter;20;0.0013
position;15;0.001
toucher;10;0.0006
larme;16;0.001
russe;10;0.0006
objet;6;0.0004
conserver;12;0.0008
tourmenter;7;0.0004
ferme;7;0.0004
couler;6;0.0004
homm;8;0.0005
rose;19;0.0012
jeunesse;6;0.0004
public;10;0.0006
beauté;10;0.0006
droit;13;0.0008
sortir;28;0.0018
étendre;8;0.0005
peuple;7;0.0004
minute;6;0.0004
peut-être;25;0.0016
dos;12;0.0008
gloire;15;0.001
daigner;8;0.0005
modeste;10;0.0006
cri;15;0.001
pièce;10;0.0006
voix;52;0.0033
ville;15;0.001
ajouter;13;0.0008
signe;15;0.001
hasard;9;0.0006
crier;9;0.0006
grâce;11;0.0007
sembler;23;0.0015
plein;9;0.0006
aveugle;7;0.0004
traverser;6;0.0004
couronne;7;0.0004
garçon;17;0.0011
sabre;9;0.0006
lieue;6;0.0004
violent;6;0.0004
fumer;9;0.0006
nouveau;13;0.0008
travailler;11;0.0007
chanter;15;0.001
table;13;0.0008
moment;50;0.0032
dire;65;0.0042
jambe;15;0.001
contraire;10;0.0006
saluer;11;0.0007
mulet;12;0.0008
reconnaître;15;0.001
attention;6;0.0004
salle;7;0.0004
demain;6;0.0004
boulet;7;0.0004
besoin;21;0.0013
équipage;6;0.0004
partir;16;0.001
aider;7;0.0004
café;6;0.0004
lieutenant;13;0.0008
éclairer;9;0.0006
état;20;0.0013
froid;11;0.0007
ciel;19;0.0012
célèbre;6;0.0004
empêcher;21;0.0013
noir;32;0.002
papier;6;0.0004
mesurer;6;0.0004
régiment;13;0.0008
beaucoup;33;0.0021
pareil;11;0.0007
loin;20;0.0013
sage;6;0.0004
douleur;10;0.0006
beal;6;0.0004
trembler;11;0.0007
mettre;78;0.005
ombre;7;0.0004
manœuvre;6;0.0004
partie;8;0.0005
volonté;8;0.0005
doucement;6;0.0004
entrevoir;8;0.0005
amiral;9;0.0006
milieu;16;0.001
rompre;6;0.0004
arranger;7;0.0004
tentation;6;0.0004
musique;15;0.001
école;9;0.0006
blond;7;0.0004
sourire;20;0.0013
coutume;12;0.0008
valoir;11;0.0007
militaire;26;0.0017
libre;10;0.0006
éprouver;8;0.0005
uniforme;17;0.0011
humain;8;0.0005
parfaitement;10;0.0006
fût;8;0.0005
faire;239;0.0153
travers;13;0.0008
mère;25;0.0016
amitié;6;0.0004
permettre;8;0.0005
plaisir;19;0.0012
manquer;17;0.0011
aller;75;0.0048
bouche;13;0.0008
vaisseau;16;0.001
ressembler;12;0.0008
acteur;7;0.0004
croix;7;0.0004
garde;25;0.0016
sombre;16;0.001
préparer;6;0.0004
dédaigner;6;0.0004
sac;8;0.0005
armer;7;0.0004
commandant;8;0.0005
prisonnier;19;0.0012
intelligence;7;0.0004
manger;11;0.0007
deviner;10;0.0006
langage;9;0.0006
épée;13;0.0008
vertu;9;0.0006
taille;12;0.0008
remarquer;13;0.0008
geste;7;0.0004
jonc;8;0.0005
fin;16;0.001
chose;90;0.0058
secret;9;0.0006
émotion;12;0.0008
âm;8;0.0005
venir;98;0.0063
ennemi;13;0.0008
jurer;6;0.0004
ennuyer;6;0.0004
inconnu;10;0.0006
jolie;8;0.0005
providence;6;0.0004
champ;9;0.0006
pied;52;0.0033
pleine;10;0.0006
pencher;10;0.0006
non;29;0.0019
terreur;6;0.0004
rire;17;0.0011
caserne;8;0.0005
perdre;24;0.0015
marcher;24;0.0015
conseil;8;0.0005
bout;23;0.0015
habitant;6;0.0004
obu;6;0.0004
étonner;12;0.0008
vraiment;9;0.0006
écraser;10;0.0006
lettre;34;0.0022
appeler;18;0.0012
officier;58;0.0037
paisible;7;0.0004
étranger;9;0.0006
épouser;7;0.0004
pleurer;14;0.0009
chambre;30;0.0019
bonté;10;0.0006
retirer;17;0.0011
remuer;8;0.0005
dieu;9;0.0006
grandeur;21;0.0013
charrette;11;0.0007
battre;6;0.0004
rendre;8;0.0005
sauver;10;0.0006
maître;21;0.0013
reprendre;31;0.002
vent;10;0.0006
ensuite;19;0.0012
fortune;6;0.0004
courage;8;0.0005
roue;6;0.0004
beau;31;0.002
frère;7;0.0004
cour;15;0.001
affaire;18;0.0012
annoncer;7;0.0004
souffrir;17;0.0011
air;57;0.0036
enfermer;8;0.0005
face;15;0.001
tambour;9;0.0006
sévère;9;0.0006
étoile;9;0.0006
conversation;9;0.0006
perpétuel;7;0.0004
exercer;6;0.0004
gouvernement;6;0.0004
heureux;19;0.0012
soutenir;9;0.0006
enfer;7;0.0004
mauver;6;0.0004
condition;6;0.0004
chef;16;0.001
rêve;6;0.0004
danger;13;0.0008
surprendre;8;0.0005
ami;35;0.0022
tuer;23;0.0015
mélancolique;11;0.0007
muet;7;0.0004
eau;26;0.0017
voir;190;0.0122
entrer;26;0.0017
frapper;18;0.0012
revenir;32;0.002
fu;8;0.0005
sentiment;31;0.002
applaudir;6;0.0004
mouiller;7;0.0004
source;8;0.0005
forcer;9;0.0006
marchand;7;0.0004
grand;175;0.0112
trait;17;0.0011
sourcil;10;0.0006
examiner;7;0.0004
