mot;occurrence;frequence
ont;76;0.0033
action;10;0.0004
enfin;17;0.0007
quatre;17;0.0007
œuvre;15;0.0007
chatterton;26;0.0011
pavé;6;0.0003
siècle;10;0.0004
étions;8;0.0003
figure;25;0.0011
aise;11;0.0005
tribunal;7;0.0003
tira;9;0.0004
te;10;0.0004
prisonniers;14;0.0006
homme;135;0.0059
pris;35;0.0015
aspect;6;0.0003
né;13;0.0006
gens;28;0.0012
langue;12;0.0005
manière;19;0.0008
canne;8;0.0003
publique;6;0.0003
possible;9;0.0004
poitrine;16;0.0007
rouge;22;0.001
intérieurement;7;0.0003
frappé;6;0.0003
eut;12;0.0005
hier;6;0.0003
étonnement;8;0.0003
trouvera;7;0.0003
or;14;0.0006
chariots;7;0.0003
puisse;12;0.0005
stello;90;0.0039
doigt;7;0.0003
avenir;8;0.0003
tut;8;0.0003
sinistre;8;0.0003
droite;14;0.0006
aime;14;0.0006
gris;7;0.0003
pleurs;6;0.0003
entièrement;8;0.0003
debout;23;0.001
parfaite;7;0.0003
fille;14;0.0006
honneur;10;0.0004
large;18;0.0008
forme;15;0.0007
riant;8;0.0003
tes;14;0.0006
a;276;0.0121
manche;7;0.0003
noire;13;0.0006
france;12;0.0005
peuvent;10;0.0004
dû;6;0.0003
presque;17;0.0007
sentais;7;0.0003
lorsqu’;25;0.0011
cent;6;0.0003
tête;113;0.0049
honte;6;0.0003
deux;126;0.0055
mot;28;0.0012
avais;64;0.0028
pouvoir;36;0.0016
raison;26;0.0011
heures;28;0.0012
pieds;41;0.0018
pauvre;48;0.0021
réfectoire;6;0.0003
rare;11;0.0005
voulait;19;0.0008
frappe;6;0.0003
multitude;11;0.0005
femmes;28;0.0012
désir;9;0.0004
citoyens;8;0.0003
foule;19;0.0008
montrait;7;0.0003
mieux;35;0.0015
louis;10;0.0004
allez;16;0.0007
personnes;7;0.0003
doute;8;0.0003
marteau;7;0.0003
voyant;11;0.0005
ordonnance;6;0.0003
art;7;0.0003
veux;29;0.0013
vieux;26;0.0011
duchesse;9;0.0004
baissés;6;0.0003
furent;8;0.0003
font;26;0.0011
répondre;6;0.0003
mois;13;0.0006
arrêté;7;0.0003
maladie;11;0.0005
docteur;111;0.0049
instinct;6;0.0003
première;22;0.001
temps;77;0.0034
âme;39;0.0017
couleur;7;0.0003
groupes;7;0.0003
venez;10;0.0004
auteur;6;0.0003
fait;127;0.0056
dignes;7;0.0003
quelquefois;25;0.0011
espère;8;0.0003
usage;9;0.0004
mauvaise;9;0.0004
dites;13;0.0006
mit;24;0.001
rougit;6;0.0003
main;83;0.0036
instant;14;0.0006
donnait;12;0.0005
bras;84;0.0037
grands;33;0.0014
occasion;7;0.0003
monseigneur;9;0.0004
chat;6;0.0003
secoua;6;0.0003
longue;24;0.001
malheur;8;0.0003
disant;11;0.0005
demander;14;0.0006
bien;223;0.0097
épaules;18;0.0008
prenant;12;0.0005
connaissez;8;0.0003
tuileries;9;0.0004
passer;24;0.001
sorte;23;0.001
paille;6;0.0003
joues;13;0.0006
piques;6;0.0003
dit;315;0.0138
chemin;9;0.0004
violemment;7;0.0003
pièces;7;0.0003
regarda;16;0.0007
rues;10;0.0004
spectacle;7;0.0003
trouvai;11;0.0005
ainsi;51;0.0022
indifférence;6;0.0003
levai;11;0.0005
fort;40;0.0017
seront;9;0.0004
seconde;7;0.0003
poète;45;0.002
pas;471;0.0206
reconnus;9;0.0004
passé;9;0.0004
dehors;7;0.0003
poursuivit;17;0.0007
mouvement;16;0.0007
avez;45;0.002
république;14;0.0006
dormait;7;0.0003
regards;11;0.0005
éclat;6;0.0003
six;8;0.0003
regardait;14;0.0006
vis;32;0.0014
fou;8;0.0003
tombe;6;0.0003
ait;9;0.0004
tant;36;0.0016
tous;145;0.0063
entrant;6;0.0003
prison;14;0.0006
fixement;6;0.0003
bah;9;0.0004
passant;9;0.0004
suit;8;0.0003
guère;10;0.0004
lentement;12;0.0005
surprise;9;0.0004
huit;13;0.0006
peur;17;0.0007
partout;25;0.0011
portes;10;0.0004
vint;20;0.0009
cause;16;0.0007
service;8;0.0003
etc;8;0.0003
ordre;17;0.0007
anglais;19;0.0008
fantômes;6;0.0003
ensemble;7;0.0003
pourra;6;0.0003
situation;10;0.0004
satisfaction;8;0.0003
paupières;8;0.0003
appuyant;6;0.0003
pur;7;0.0003
jamais;83;0.0036
saint-just;42;0.0018
certainement;9;0.0004
opinion;6;0.0003
premiers;8;0.0003
arrivé;12;0.0005
trop;46;0.002
souriant;8;0.0003
fond;21;0.0009
jacobins;8;0.0003
humaine;8;0.0003
court;7;0.0003
canonniers;9;0.0004
façon;10;0.0004
effroi;6;0.0003
être;68;0.003
route;7;0.0003
affaires;10;0.0004
laisser;25;0.0011
petit;52;0.0023
haut;34;0.0015
journée;8;0.0003
sortis;8;0.0003
arriver;10;0.0004
sort;8;0.0003
vert;8;0.0003
connaissance;8;0.0003
vive;7;0.0003
oreille;10;0.0004
allons;16;0.0007
pensée;24;0.001
cou;10;0.0004
bell;26;0.0011
front;22;0.001
nuit;21;0.0009
crois;27;0.0012
prenait;7;0.0003
mission;8;0.0003
sait;25;0.0011
révolution;13;0.0006
forces;6;0.0003
degrés;6;0.0003
idée;35;0.0015
vue;27;0.0012
peine;24;0.001
mourir;16;0.0007
continua;25;0.0011
mémoire;6;0.0003
race;8;0.0003
présence;12;0.0005
montre;7;0.0003
soupir;6;0.0003
prise;6;0.0003
faisant;10;0.0004
politiques;7;0.0003
las;6;0.0003
lit;18;0.0008
général;10;0.0004
jaune;8;0.0003
beaux;19;0.0008
effet;20;0.0009
viennent;8;0.0003
avis;7;0.0003
revint;8;0.0003
dernière;13;0.0006
seule;13;0.0006
fils;27;0.0012
mis;17;0.0007
alors;35;0.0015
appelle;9;0.0004
canon;6;0.0003
archevêque;9;0.0004
écriture;6;0.0003
soir;14;0.0006
aurais;14;0.0006
force;18;0.0008
sofa;6;0.0003
puisqu’;9;0.0004
an;12;0.0005
cœur;51;0.0022
doux;7;0.0003
œuvres;8;0.0003
têtes;17;0.0007
fallu;7;0.0003
étais;38;0.0017
marbre;10;0.0004
surtout;14;0.0006
politesse;6;0.0003
cas;6;0.0003
liberté;12;0.0005
agissait;6;0.0003
épaule;13;0.0006
rouler;7;0.0003
vous;20;0.0009
chénier;52;0.0023
plafond;8;0.0003
médecin;9;0.0004
tellement;8;0.0003
impitoyable;6;0.0003
petites;21;0.0009
résolution;6;0.0003
pourtant;11;0.0005
aie;6;0.0003
basse;6;0.0003
laisse;10;0.0004
goutte;6;0.0003
…;49;0.0021
combat;9;0.0004
mourant;7;0.0003
eussiez;8;0.0003
veut;22;0.001
dix-huit;8;0.0003
orgueil;8;0.0003
personne;27;0.0012
arrière;9;0.0004
poussière;11;0.0005
beaumont;7;0.0003
aura;8;0.0003
lu;9;0.0004
minutes;9;0.0004
amie;6;0.0003
bonnet;6;0.0003
était;317;0.0139
venait;11;0.0005
influence;6;0.0003
lueur;6;0.0003
meilleur;6;0.0003
croit;10;0.0004
marches;6;0.0003
loi;6;0.0003
nus;6;0.0003
passaient;7;0.0003
hommes;86;0.0038
bas;33;0.0014
vont;6;0.0003
trouvé;10;0.0004
parut;7;0.0003
larmes;18;0.0008
avons;12;0.0005
levant;8;0.0003
canonnier;17;0.0007
genoux;12;0.0005
trouver;11;0.0005
lois;7;0.0003
voici;22;0.001
petits;21;0.0009
là;100;0.0044
mépris;14;0.0006
voyait;11;0.0005
imagination;14;0.0006
ennemis;7;0.0003
commune;9;0.0004
sommes;16;0.0007
profonde;6;0.0003
calme;14;0.0006
oh;23;0.001
tirer;7;0.0003
gauche;14;0.0006
suivi;6;0.0003
cercle;9;0.0004
abord;12;0.0005
est;570;0.0249
épais;6;0.0003
passai;6;0.0003
avance;9;0.0004
voilà;42;0.0018
soleil;19;0.0008
soyez;13;0.0006
tendre;6;0.0003
déjà;12;0.0005
ajouta;15;0.0007
autres;38;0.0017
venu;10;0.0004
seigneur;8;0.0003
gros;29;0.0013
rue;21;0.0009
inutile;7;0.0003
silence;24;0.001
maison;24;0.001
moments;7;0.0003
mains;56;0.0024
voyez;23;0.001
fut;63;0.0028
sang;53;0.0023
mademoiselle;33;0.0014
voyons;11;0.0005
amour;20;0.0009
vide;8;0.0003
léger;6;0.0003
chapeau;16;0.0007
ouvrit;15;0.0007
parlement;6;0.0003
arrive;9;0.0004
attendait;6;0.0003
sont;102;0.0045
grande;45;0.002
amis;21;0.0009
surpris;6;0.0003
ailleurs;13;0.0006
liste;12;0.0005
coin;6;0.0003
salua;6;0.0003
êtes;35;0.0015
ferait;6;0.0003
prendre;20;0.0009
très;58;0.0025
si;16;0.0007
telle;8;0.0003
plutôt;7;0.0003
lecture;7;0.0003
arrêter;8;0.0003
cris;16;0.0007
faite;6;0.0003
crainte;13;0.0006
jeter;10;0.0004
bleus;7;0.0003
faibles;8;0.0003
donc;74;0.0032
terre;35;0.0015
derniers;9;0.0004
nations;6;0.0003
tandis;16;0.0007
passait;6;0.0003
semblable;7;0.0003
pensez;7;0.0003
intérêts;7;0.0003
remarquai;10;0.0004
marche;6;0.0003
juge;6;0.0003
elle;21;0.0009
docteurs;6;0.0003
toujours;115;0.005
tenait;8;0.0003
aujourd’hui;19;0.0008
trois;50;0.0022
»;20;0.0009
faisaient;9;0.0004
appartement;7;0.0003
soupira;7;0.0003
règne;7;0.0003
fenêtre;15;0.0007
as;9;0.0004
noble;7;0.0003
cheval;12;0.0005
sortit;7;0.0003
vivement;9;0.0004
avait;185;0.0081
été;54;0.0024
monarchie;6;0.0003
tiens;6;0.0003
éternelle;8;0.0003
comment;27;0.0012
connais;8;0.0003
placé;6;0.0003
porte;61;0.0027
servir;7;0.0003
réussir;8;0.0003
même;112;0.0049
escalier;17;0.0007
kitty;46;0.002
écriai;8;0.0003
choses;24;0.001
avoir;42;0.0018
avant;11;0.0005
prenez;6;0.0003
toi;23;0.001
cru;7;0.0003
publiques;9;0.0004
pensées;7;0.0003
coups;9;0.0004
armée;7;0.0003
moindre;13;0.0006
dents;9;0.0004
écrit;13;0.0006
chagrin;6;0.0003
grandes;7;0.0003
vu;39;0.0017
tourna;8;0.0003
cacher;8;0.0003
haine;7;0.0003
laissez;7;0.0003
attitude;8;0.0003
bon;63;0.0028
reine;6;0.0003
livre;13;0.0006
charge;7;0.0003
vérité;22;0.001
pauvres;10;0.0004
monter;14;0.0006
minuit;6;0.0003
mille;20;0.0009
position;7;0.0003
toucher;7;0.0003
conserver;6;0.0003
phrases;7;0.0003
souffle;11;0.0005
rose;19;0.0008
morts;8;0.0003
fus;9;0.0004
public;7;0.0003
duc;8;0.0003
moins;53;0.0023
moyen;9;0.0004
droit;20;0.0009
sortir;20;0.0009
leva;27;0.0012
peuple;43;0.0019
peut-être;24;0.001
dos;17;0.0007
savez;32;0.0014
gloire;10;0.0004
nulle;10;0.0004
pièce;15;0.0007
cri;13;0.0006
voix;60;0.0026
ville;16;0.0007
meurtre;7;0.0003
veines;6;0.0003
signe;10;0.0004
