mot;occurrence;frequence
détour;11;0.0001
bénédiction;11;0.0001
charmant;34;0.0004
action;26;0.0003
baron;28;0.0003
pousser;114;0.0013
œuvre;26;0.0003
rir;6;0.0001
flamaren;22;0.0002
ose;6;0.0001
tribune;12;0.0001
obscur;9;0.0001
estime;10;0.0001
rentrer;86;0.0009
transporter;9;0.0001
opposition;7;0.0001
rive;6;0.0001
vis-à-vis;6;0.0001
courrier;7;0.0001
précaution;41;0.0005
disparut;6;0.0001
plain;6;0.0001
plan;18;0.0002
figure;51;0.0006
effaré;7;0.0001
véritable;37;0.0004
aise;16;0.0002
effacer;12;0.0001
retentirent;7;0.0001
écurie;27;0.0003
sœur;21;0.0002
accorder;23;0.0003
prononcer;44;0.0005
charlesier;6;0.0001
mantelet;8;0.0001
homme;975;0.0107
extrémité;26;0.0003
pris;6;0.0001
livide;10;0.0001
mordiou;10;0.0001
aspect;16;0.0002
confier;17;0.0002
changement;18;0.0002
taire;28;0.0003
rattraper;8;0.0001
confesser;10;0.0001
langue;31;0.0003
revêtir;9;0.0001
manière;49;0.0005
camarade;10;0.0001
polir;6;0.0001
espace;13;0.0001
continuer;146;0.0016
resserrer;6;0.0001
comprit;10;0.0001
canne;11;0.0001
réfléchir;37;0.0004
poitrine;37;0.0004
absolution;12;0.0001
tailler;6;0.0001
ider;6;0.0001
assurer;41;0.0005
hallebarde;8;0.0001
nuire;7;0.0001
rouge;26;0.0003
descendirent;7;0.0001
envoyer;105;0.0012
bastion;6;0.0001
émeute;21;0.0002
paix;15;0.0002
frappé;10;0.0001
supplie;8;0.0001
hier;45;0.0005
étonnement;35;0.0004
ramener;31;0.0003
but;25;0.0003
retenir;22;0.0002
couché;6;0.0001
espagnol;45;0.0005
entier;32;0.0004
épouvanter;9;0.0001
écho;8;0.0001
doigt;51;0.0006
agir;71;0.0008
horrible;9;0.0001
avenir;22;0.0002
résoudre;25;0.0003
droite;47;0.0005
sir;64;0.0007
aime;8;0.0001
gris;22;0.0002
entièrement;25;0.0003
besogne;11;0.0001
impatient;6;0.0001
fille;63;0.0007
honneur;153;0.0017
mériter;7;0.0001
m.mordaunt;18;0.0002
repasser;7;0.0001
large;46;0.0005
extrême;7;0.0001
pot;11;0.0001
condamner;20;0.0002
important;26;0.0003
éminence;6;0.0001
dessiner;8;0.0001
forme;15;0.0002
répond;28;0.0003
tournure;7;0.0001
manche;12;0.0001
regagner;7;0.0001
difficile;29;0.0003
semblant;6;0.0001
voisin;24;0.0003
çà;25;0.0003
entamer;8;0.0001
dîner;38;0.0004
armé;9;0.0001
presque;93;0.001
caprice;10;0.0001
lorsqu’;121;0.0013
repentir;10;0.0001
cent;53;0.0006
honte;13;0.0001
sortie;16;0.0002
ranger;18;0.0002
jardinier;9;0.0001
mot;168;0.0018
interrogatoire;7;0.0001
éteindre;25;0.0003
tête;340;0.0037
discret;6;0.0001
pénétrer;22;0.0002
réveiller;34;0.0004
pouvoir;268;0.003
raison;101;0.0011
liqueur;6;0.0001
pauvre;122;0.0013
insulte;7;0.0001
rare;10;0.0001
user;7;0.0001
frappe;10;0.0001
multitude;15;0.0002
stupéfaction;9;0.0001
aimer;111;0.0012
désir;52;0.0006
foule;62;0.0007
maîtresse;14;0.0002
mieux;164;0.0018
gardé;7;0.0001
botte;24;0.0003
voile;6;0.0001
élancer;53;0.0006
allez;14;0.0002
louis;9;0.0001
choisir;18;0.0002
boucher;12;0.0001
poignard;40;0.0004
craindre;63;0.0007
doute;148;0.0016
suivirent;8;0.0001
meilleraie;14;0.0002
voyant;53;0.0006
dépense;6;0.0001
griller;7;0.0001
facilement;13;0.0001
rez-de-chaussée;6;0.0001
respirer;18;0.0002
ardent;9;0.0001
persécution;6;0.0001
pension;11;0.0001
veux;10;0.0001
pria;6;0.0001
barrière;18;0.0002
vieux;66;0.0007
duchesse;54;0.0006
capitaine;59;0.0006
maigre;8;0.0001
rafraîchir;6;0.0001
satisfait;10;0.0001
revanche;9;0.0001
tonneau;17;0.0002
supérieur;21;0.0002
répondre;288;0.0032
présumer;11;0.0001
balbutia;6;0.0001
sourd;13;0.0001
renfermer;9;0.0001
mois;28;0.0003
héros;6;0.0001
facilité;7;0.0001
déclarer;25;0.0003
lanterne;21;0.0002
parade;7;0.0001
trot;12;0.0001
incroyable;6;0.0001
instinct;8;0.0001
temps;334;0.0037
âme;42;0.0005
madeleine;19;0.0002
couleur;23;0.0003
exprès;6;0.0001
paternel;6;0.0001
traiter;25;0.0003
parton;14;0.0002
égarer;6;0.0001
billot;8;0.0001
holà;21;0.0002
reconnaissance;32;0.0004
tremper;6;0.0001
fait;117;0.0013
tiquetonn;14;0.0002
plaindre;15;0.0002
colonel;39;0.0004
talent;6;0.0001
quelquefois;25;0.0003
écrivit;6;0.0001
serrer;44;0.0005
église;47;0.0005
usage;11;0.0001
intérêt;26;0.0003
matelot;10;0.0001
curé;39;0.0004
espère;28;0.0003
reconnaissant;7;0.0001
sembla;16;0.0002
messager;18;0.0002
remonter;30;0.0003
député;10;0.0001
payer;46;0.0005
mentir;6;0.0001
rêver;10;0.0001
atteindre;19;0.0002
main;483;0.0053
écrevisse;7;0.0001
m.groslow;11;0.0001
refus;8;0.0001
singulière;6;0.0001
repos;15;0.0002
instant;215;0.0024
couper;29;0.0003
maintenir;9;0.0001
fête;14;0.0002
approcha;13;0.0001
fuite;28;0.0003
bras;149;0.0016
fil;17;0.0002
promptement;8;0.0001
