mot;occurrence;frequence
oeil;149;0.0038
nu;13;0.0003
accord;7;0.0002
charmant;12;0.0003
action;22;0.0006
embaumer;7;0.0002
pousser;26;0.0007
œuvre;15;0.0004
ose;6;0.0002
obscur;31;0.0008
questionner;6;0.0002
attache;10;0.0003
rentrer;44;0.0011
tiède;9;0.0002
ingénieux;8;0.0002
rive;7;0.0002
vis-à-vis;6;0.0002
siècle;13;0.0003
foyer;8;0.0002
plan;7;0.0002
figure;17;0.0004
projeter;6;0.0002
luire;9;0.0002
véritable;9;0.0002
épars;7;0.0002
austère;9;0.0002
effacer;7;0.0002
sœur;26;0.0007
accorder;11;0.0003
prononcer;15;0.0004
extrémité;6;0.0002
homme;193;0.005
méprendre;6;0.0002
sobre;7;0.0002
aspect;14;0.0004
sensibilité;14;0.0004
confier;9;0.0002
canal;9;0.0002
changement;8;0.0002
taire;15;0.0004
épreuve;10;0.0003
confesser;10;0.0003
langue;11;0.0003
revêtir;9;0.0002
manière;35;0.0009
abonder;6;0.0002
polir;7;0.0002
irritation;7;0.0002
continuer;38;0.001
espace;8;0.0002
resserrer;12;0.0003
réfléchir;17;0.0004
justifier;9;0.0002
poitrine;15;0.0004
assurer;9;0.0002
envoyer;18;0.0005
paix;13;0.0003
précis;6;0.0002
hier;14;0.0004
ramener;17;0.0004
but;32;0.0008
retenir;19;0.0005
nuée;8;0.0002
improviste;7;0.0002
futur;7;0.0002
entier;42;0.0011
écho;11;0.0003
doigt;16;0.0004
agir;28;0.0007
amer;13;0.0003
avenir;21;0.0005
résoudre;15;0.0004
étroit;9;0.0002
rabattre;6;0.0002
droite;15;0.0004
aime;6;0.0002
entièrement;8;0.0002
longuement;7;0.0002
fille;54;0.0014
honneur;15;0.0004
mériter;7;0.0002
repasser;11;0.0003
accès;15;0.0004
large;10;0.0003
extrême;19;0.0005
dessiner;7;0.0002
riant;12;0.0003
forme;53;0.0014
orageux;7;0.0002
difficile;14;0.0004
voisin;21;0.0005
çà;11;0.0003
entamer;11;0.0003
dîner;23;0.0006
christianisme;9;0.0002
presque;88;0.0023
caprice;9;0.0002
repentir;19;0.0005
tête;70;0.0018
serein;10;0.0003
sortie;8;0.0002
honte;20;0.0005
ranger;6;0.0002
mot;105;0.0027
éteindre;8;0.0002
délicieux;8;0.0002
ivresse;17;0.0004
discret;9;0.0002
pénétrer;24;0.0006
réveiller;9;0.0002
pouvoir;105;0.0027
raison;19;0.0005
pauvre;30;0.0008
rare;23;0.0006
religieux;15;0.0004
user;11;0.0003
aimer;135;0.0035
désir;75;0.0019
foule;17;0.0004
mieux;71;0.0018
voile;10;0.0003
élancer;9;0.0002
choisir;13;0.0003
châtiment;6;0.0002
craindre;33;0.0009
doute;46;0.0012
voyant;15;0.0004
ordonnance;6;0.0002
respirer;12;0.0003
fantaisie;8;0.0002
principalement;7;0.0002
ardent;15;0.0004
barrière;13;0.0003
vieux;25;0.0006
capitaine;12;0.0003
enivrer;6;0.0002
orgueilleux;6;0.0002
supérieur;21;0.0005
essentiel;9;0.0002
aimable;27;0.0007
répondre;43;0.0011
sourd;10;0.0003
mois;23;0.0006
héros;10;0.0003
idéal;14;0.0004
maladie;6;0.0002
facilité;11;0.0003
déclarer;8;0.0002
délicatesse;8;0.0002
instinct;9;0.0002
inexprimable;9;0.0002
temps;149;0.0038
âme;164;0.0042
madeleine;10;0.0003
couleur;11;0.0003
exprès;7;0.0002
funèbre;7;0.0002
oubli;27;0.0007
douer;7;0.0002
égarer;10;0.0003
admettre;8;0.0002
auteur;8;0.0002
fait;24;0.0006
plaindre;14;0.0004
prolonger;21;0.0005
talent;9;0.0002
quelquefois;31;0.0008
serrer;16;0.0004
clarté;6;0.0002
fatal;8;0.0002
méditation;7;0.0002
usage;16;0.0004
intérêt;20;0.0005
église;14;0.0004
sembla;11;0.0003
remonter;13;0.0003
rêver;13;0.0003
pieux;10;0.0003
vêtement;7;0.0002
virginal;7;0.0002
main;103;0.0027
atteindre;22;0.0006
boulevard;6;0.0002
lointain;16;0.0004
repos;7;0.0002
instant;80;0.0021
solliciter;6;0.0002
