mot;occurrence;frequence
bienfaiser;7;0.0
ferret;47;0.0
fournaise;11;0.0
boutonnière;9;0.0
derohan;124;0.0001
académicien;6;0.0
revenez;6;0.0
vigilance;8;0.0
chausser;7;0.0
carême;9;0.0
tribune;96;0.0001
citadelle;14;0.0
attache;31;0.0
petitesse;19;0.0
pamphlet;29;0.0
estime;162;0.0001
voûter;7;0.0
portail;49;0.0
prostitution;6;0.0
transporter;164;0.0001
prédicateur;16;0.0
vis-à-vis;148;0.0001
sabrer;6;0.0
foyer;86;0.0001
éclatant;38;0.0
plan;395;0.0002
effaré;45;0.0
verger;14;0.0
effacer;272;0.0002
tribunal;143;0.0001
feuilleter;16;0.0
mantelet;26;0.0
homme;14018;0.0084
aliment;19;0.0
méprendre;39;0.0
destination;9;0.0
orient;21;0.0
sobre;24;0.0
mordiou;58;0.0
arche;33;0.0
coursier;8;0.0
changement;165;0.0001
confier;288;0.0002
canal;59;0.0
épreuve;176;0.0001
différence;108;0.0001
romance;15;0.0
confesser;91;0.0001
minutieux;6;0.0
revêtir;107;0.0001
m.fouquet;170;0.0001
lancier;24;0.0
central;33;0.0
dédaigneux;65;0.0
formule;30;0.0
rossignol;11;0.0
baraque;46;0.0
pape;139;0.0001
décréter;9;0.0
absolution;20;0.0
fun;7;0.0
génovéfain;24;0.0
ider;24;0.0
nuire;125;0.0001
gîte;32;0.0
réchauffer;32;0.0
statu;30;0.0
émeute;125;0.0001
broyer;23;0.0
nimbe;6;0.0
auteuil;14;0.0
xiii;6;0.0
hutte;13;0.0
montr;7;0.0
ramener;381;0.0002
espagnol;356;0.0002
badine;7;0.0
farce;25;0.0
agir;1045;0.0006
grelot;22;0.0
musical;47;0.0
résoudre;384;0.0002
parrain;17;0.0
rabattre;13;0.0
cul-de-sac;18;0.0
gris;239;0.0001
prélart;14;0.0
grand-chancelier;41;0.0
saltimbanque;31;0.0
procureuse;36;0.0
vau;7;0.0
mériter;150;0.0001
m.mordaunt;18;0.0
ile;8;0.0
parthénon;6;0.0
pot;76;0.0
condamner;387;0.0002
déclaration;69;0.0
héroïque;58;0.0
bagne;115;0.0001
éperdument;8;0.0
engloutissement;10;0.0
occasionner;7;0.0
guéménée;10;0.0
exhorter;6;0.0
mortellemer;16;0.0
crampon;6;0.0
froisser;66;0.0
tournure;78;0.0
morière;10;0.0
difficile;530;0.0003
vibration;9;0.0
voisin;596;0.0004
éaqu;6;0.0
rebbia;6;0.0
provincial;26;0.0
chapelet;12;0.0
incrédulité;7;0.0
savane;10;0.0
joug;24;0.0
navire;403;0.0002
caprice;229;0.0001
embarquement;9;0.0
vasistas;7;0.0
sortie;219;0.0001
consister;23;0.0
mot;3537;0.0021
éteindre;424;0.0003
interrogatoire;83;0.0
rubis;15;0.0
abdication;9;0.0
parfumeur;23;0.0
spada;16;0.0
fièrement;18;0.0
délier;6;0.0
cachemire;8;0.0
sommation;8;0.0
multitude;67;0.0
abasourdi;6;0.0
civilisé;6;0.0
allez;77;0.0
poignard;246;0.0001
dom;8;0.0
islandais;11;0.0
meilleraie;14;0.0
voyant;759;0.0005
poëte;273;0.0002
adosser;135;0.0001
griller;31;0.0
facilement;118;0.0001
joncière;15;0.0
rez-de-chaussée;64;0.0
art;147;0.0001
persécution;30;0.0
vieux;2916;0.0018
pilule;6;0.0
duchesse;457;0.0003
capitaine;1223;0.0007
encourir;8;0.0
solidité;7;0.0
satisfait;158;0.0001
hautain;67;0.0
garanti;7;0.0
saule;6;0.0
réplique;27;0.0
mouchard;23;0.0
considérer;325;0.0002
énergiquemer;9;0.0
abdiquer;6;0.0
galant;208;0.0001
innombrable;19;0.0
morose;6;0.0
dissoudre;6;0.0
jumeau;10;0.0
fonder;56;0.0
pont-levis;23;0.0
dague;31;0.0
trot;63;0.0
numéro;127;0.0001
gazetier;39;0.0
