mot;occurrence;frequence
invités;10;0.0
couvents;8;0.0
délibération;11;0.0
regagne;3;0.0
injustement;16;0.0
chicanes;3;0.0
estime;365;0.0003
décédés;1;0.0
louerions;1;0.0
planches;19;0.0
signai;4;0.0
détesterais;1;0.0
dessaisira;1;0.0
effacer;57;0.0
pourvoyait;2;0.0
arrosés;1;0.0
annonçai;3;0.0
sobre;17;0.0
regarderont;1;0.0
changement;141;0.0001
trahirait;2;0.0
revêtir;13;0.0
methods;9;0.0
désirera;2;0.0
comparaître;1;0.0
mousseux;2;0.0
extasiez;2;0.0
brutalité;35;0.0
fuyants;1;0.0
perdirent;5;0.0
pointilleries;1;0.0
remontera;2;0.0
interrogeât;2;0.0
langes;1;0.0
dénombrement;8;0.0
ajoutai;61;0.0
pélagiennes;1;0.0
pélerinage;2;0.0
entrevoyois;1;0.0
aduste;1;0.0
difficile;325;0.0002
domiciliée;1;0.0
oraisons;3;0.0
caveaux;1;0.0
accusons;5;0.0
chapelet;5;0.0
sonnant;1;0.0
bouclier*;1;0.0
sortie;98;0.0001
éteindre;83;0.0001
déshonores;1;0.0
découvrirent;4;0.0
imposantes;6;0.0
allassiez;4;0.0
apollon;3;0.0
environna;2;0.0
velan;1;0.0
élégies;2;0.0
calmant;4;0.0
plia;4;0.0
canards;1;0.0
remettoient;1;0.0
solidité;11;0.0
robes;26;0.0
saule;6;0.0
réplique;17;0.0
ajournée;1;0.0
monarchiques;5;0.0
dissoudre;7;0.0
abreuver;6;0.0
vilains;9;0.0
chicaneur;2;0.0
lassez;4;0.0
chronique;6;0.0
plaisants;12;0.0
pressant;61;0.0
attendîmes;1;0.0
official;28;0.0
expliquera;5;0.0
capitole;12;0.0
mettoit;18;0.0
traversoient;1;0.0
solliciter;21;0.0
recherchaient;2;0.0
delphine;120;0.0001
gouvernaient;6;0.0
octaves.—enfin;1;0.0
abattoit;1;0.0
régime;29;0.0
chimiste;10;0.0
résolurent;7;0.0
team;2;0.0
