mouvement;rang;mot;score
lumieres;1;libidineux;4.4848
lumieres;2;serois;4.4848
lumieres;3;enculer;4.4848
lumieres;4;avoi;4.4848
lumieres;5;paroît;4.4848
lumieres;6;étoier;4.4848
lumieres;7;gamahucher;4.4848
lumieres;8;bandole;4.4848
lumieres;9;delmonse;4.4848
lumieres;10;damage;4.4848
lumieres;11;voyois;4.4848
lumieres;12;étoi;4.4848
lumieres;13;foiblesse;4.4848
lumieres;14;foible;4.4848
lumieres;15;savois;4.4848
lumieres;16;aimoit;4.4848
lumieres;17;encule;4.4848
lumieres;18;edgermond;4.4848
lumieres;19;volange;4.4848
lumieres;20;donnoit;4.4848
naturalisme;1;silvine;3.009
naturalisme;2;hugon;3.009
naturalisme;3;déballage;3.009
naturalisme;4;zoer;3.009
naturalisme;5;désableau;3.009
naturalisme;6;batignolle;3.009
naturalisme;7;vandame;3.009
naturalisme;8;pot-au-feu;3.009
naturalisme;9;blaguer;3.009
naturalisme;10;porte-monnaie;3.009
naturalisme;11;gontran;3.009
naturalisme;12;tapa;3.009
naturalisme;13;madamehédouin;3.009
naturalisme;14;lavage;3.009
naturalisme;15;pecqueu;3.009
naturalisme;16;106;3.009
naturalisme;17;borderie;3.009
naturalisme;18;gilquin;3.009
naturalisme;19;hortense;3.009
naturalisme;20;annette;3.009
romantisme;1;mont-saint-jean;2.2488
romantisme;2;clancharli;2.2488
romantisme;3;marat;2.2488
romantisme;4;milady;2.2488
romantisme;5;portho;2.2488
romantisme;6;oudarde;2.2488
romantisme;7;sterling;2.2488
romantisme;8;saint-luc;2.2488
romantisme;9;prunell;2.2488
romantisme;10;diaman;2.2488
romantisme;11;faucon;2.2488
romantisme;12;tourgue;2.2488
romantisme;13;dantè;2.2488
romantisme;14;lavallière;2.2488
romantisme;15;priche;2.2488
romantisme;16;andrer;2.2488
romantisme;17;m.fouquet;2.2488
romantisme;18;amalgamer;2.2488
romantisme;19;morcerf;2.2488
romantisme;20;inn;2.2488
