mot;occurrence;frequence
lapinière;1;0.0
invités;22;0.0
cachetés;4;0.0
croulassent;1;0.0
couvents;25;0.0
délibération;17;0.0
inattentive;4;0.0
siques[5;1;0.0
regagne;5;0.0
injustement;18;0.0
chicanes;5;0.0
estime;215;0.0001
henry;1;0.0
décédés;1;0.0
scierait;1;0.0
planches;153;0.0001
détesterais;1;0.0
dessaisira;1;0.0
effacer;56;0.0
convergeaient;5;0.0
pourvoyait;2;0.0
asturiens;3;0.0
arrosés;2;0.0
parmentière;1;0.0
annonçai;2;0.0
croûton;2;0.0
doucereuse;4;0.0
sobre;46;0.0
soixante-six;4;0.0
regarderont;3;0.0
changement;175;0.0001
trahirait;4;0.0
punissable;1;0.0
endormeurs;1;0.0
enjuponné;1;0.0
revêtir;21;0.0
oudewater;1;0.0
marmanteau;1;0.0
comparaître;7;0.0
vanterne;1;0.0
topsent;1;0.0
mentirez;2;0.0
égout;19;0.0
mousseux;2;0.0
brutalité;31;0.0
fuyants;2;0.0
rebattre;2;0.0
perdirent;22;0.0
déconcertèrent;1;0.0
remontera;1;0.0
interrogeât;9;0.0
madelonnettes;2;0.0
dilataient;2;0.0
jambages;6;0.0
langes;4;0.0
facent;1;0.0
morfillé;2;0.0
dénombrement;6;0.0
ajoutai;12;0.0
électoral;2;0.0
cabaretiers;3;0.0
jeûné;2;0.0
montreuil;1;0.0
coupai;1;0.0
livrets;1;0.0
difficile;489;0.0002
oraisons;12;0.0
grinçants;1;0.0
caveaux;8;0.0
accusons;1;0.0
chapelet;36;0.0
sonnant;43;0.0
mangeât;4;0.0
sortie;320;0.0001
éteindre;131;0.0
subissons;4;0.0
mâchonnement;1;0.0
promulgués;1;0.0
baisemeaux;45;0.0
demi-habillée;1;0.0
découvrirent;4;0.0
imposantes;4;0.0
embrouillons;1;0.0
concevriez;1;0.0
apollon;1;0.0
tachetés;1;0.0
environna;2;0.0
abjurais;1;0.0
isidis;1;0.0
repentirait;2;0.0
élégies;5;0.0
forées;1;0.0
m.concino;1;0.0
calmant;17;0.0
plia;44;0.0
cargues;2;0.0
canards;10;0.0
nonne;3;0.0
solidité;36;0.0
robes;101;0.0
saule;10;0.0
réplique;63;0.0
monarchiques;8;0.0
recommencions;2;0.0
blasphématoires;1;0.0
trios;2;0.0
dissoudre;13;0.0
abreuver;3;0.0
vilains;20;0.0
lassez;1;0.0
chronique;24;0.0
raccroc;4;0.0
fungus;1;0.0
plaisants;4;0.0
pressant;82;0.0
bouclés;11;0.0
décollant;1;0.0
germait;1;0.0
attendîmes;5;0.0
official;13;0.0
expliquera;16;0.0
capitole;6;0.0
étoupés;1;0.0
e3.-f3;1;0.0
fac-similé;8;0.0
rodomontades;2;0.0
solliciter;23;0.0
baisemains;2;0.0
coffrage;1;0.0
gouvernaient;7;0.0
sçeu;1;0.0
jayon;1;0.0
régime;42;0.0
chimiste;20;0.0
résolurent;5;0.0
raysd;1;0.0
osa;47;0.0
prépariez;1;0.0
gardées;13;0.0
rebutant;2;0.0
condottieri;2;0.0
rapporterait;2;0.0
normandie;49;0.0
détournez;11;0.0
traversait;104;0.0
charpenterie;8;0.0
remontait;53;0.0
buvions;3;0.0
méticuleux;4;0.0
corporelles;3;0.0
apprenti;10;0.0
chinoise;4;0.0
virginitas;1;0.0
contracter;8;0.0
remplacent;8;0.0
indifférence;166;0.0001
guérirait;10;0.0
pécher;4;0.0
évanouissement;57;0.0
signatum;1;0.0
moiteur;7;0.0
arriveront;12;0.0
engraisserai;1;0.0
masquerons;1;0.0
découvrit;53;0.0
mllepaulet;15;0.0
dumont;1;0.0
désertons;1;0.0
érotiques;1;0.0
dormait;240;0.0001
hermines;1;0.0
punaises;3;0.0
effets;112;0.0
dessèchent;2;0.0
emportiez;1;0.0
prosternerait;1;0.0
vis;411;0.0002
proximité;12;0.0
guettant;16;0.0
piédouches;1;0.0
passant;531;0.0002
navrant;3;0.0
guère;485;0.0002
mélopée;3;0.0
vires;1;0.0
maléfice;6;0.0
désillusions;2;0.0
rajeunissait;2;0.0
envoleront;1;0.0
romaïques;1;0.0
ordinatione;1;0.0
flagellations;1;0.0
précipitait;20;0.0
généreux;235;0.0001
adonner;6;0.0
barbier;42;0.0
missourien;1;0.0
marseille;11;0.0
renouvellerait;1;0.0
élde;1;0.0
doublage;3;0.0
gourville;6;0.0
tempe;18;0.0
résolvez;2;0.0
rebroussant;3;0.0
monarchique;22;0.0
devisant;11;0.0
certainement;493;0.0002
fabuleuse;6;0.0
vograat;8;0.0
conspirerait;1;0.0
paimbœuf;4;0.0
no16;1;0.0
