mot;occurrence;frequence
lapinière;1;0.0
croulassent;1;0.0
délibération;25;0.0
siques[5;1;0.0
injustement;18;0.0
justess;1;0.0
estime;209;0.0001
henry;53;0.0
ubayette;1;0.0
1880;4;0.0
combatton;3;0.0
effacer;313;0.0001
annonçai;1;0.0
croûton;2;0.0
sobre;55;0.0
soixante-six;12;0.0
emprisonn;2;0.0
changement;204;0.0001
trahirait;1;0.0
punissable;2;0.0
enjuponné;1;0.0
revêtir;146;0.0001
112;1;0.0
oudewater;1;0.0
vaill;8;0.0
marmanteau;1;0.0
comparaître;18;0.0
topsent;1;0.0
333;1;0.0
fatiguion;1;0.0
égout;29;0.0
mousseux;5;0.0
brutalité;39;0.0
rebattre;11;0.0
perdirent;3;0.0
remontera;1;0.0
interrogeât;9;0.0
dilataient;1;0.0
désespérémer;9;0.0
morfillé;2;0.0
dénombrement;3;0.0
ajoutai;4;0.0
gay;2;0.0
électoral;8;0.0
torte;1;0.0
aspiron;1;0.0
jeûné;1;0.0
montreuil;23;0.0
prométher;3;0.0
difficile;555;0.0003
analytiquemer;1;0.0
chapelet;42;0.0
soldée;1;0.0
sonnant;29;0.0
buccin;2;0.0
mangeât;1;0.0
sortie;240;0.0001
éteindre;441;0.0002
mâchonnement;1;0.0
jean-beausir;1;0.0
vargoulême;1;0.0
baisemeaux;2;0.0
demi-habillée;1;0.0
changemer;2;0.0
apollon;42;0.0
environna;2;0.0
laudamu;1;0.0
isidis;1;0.0
scyller;2;0.0
m.concino;1;0.0
calmant;12;0.0
plia;17;0.0
solennellemer;20;0.0
nonne;9;0.0
jean-françois;4;0.0
solidité;37;0.0
saule;29;0.0
1675;1;0.0
réplique;57;0.0
tombeal;5;0.0
dissoudre;30;0.0
abreuver;15;0.0
renseign;1;0.0
alexi;3;0.0
foisonn;1;0.0
chronique;32;0.0
raccroc;4;0.0
pressant;16;0.0
official;13;0.0
capitole;11;0.0
quincampoi;1;0.0
e3.-f3;1;0.0
fac-similé;9;0.0
solliciter;99;0.0
sçer;1;0.0
carambol;1;0.0
delphine;1;0.0
enqui;1;0.0
gouvernaient;1;0.0
éplucheur;1;0.0
sçeu;1;0.0
bary;1;0.0
jayon;1;0.0
régime;44;0.0
chimiste;16;0.0
raysd;1;0.0
rapprochon;1;0.0
disgracieu;3;0.0
condottieri;2;0.0
normandie;52;0.0
traversait;4;0.0
charpenterie;8;0.0
remontait;1;0.0
algernon;1;0.0
méticuleux;5;0.0
apprenti;18;0.0
contracter;71;0.0
remplacent;5;0.0
débouquer;1;0.0
indifférence;163;0.0001
pécher;21;0.0
évanouissement;69;0.0
signatum;1;0.0
moiteur;8;0.0
découvrit;47;0.0
mllepaulet;15;0.0
dumont;4;0.0
dormait;3;0.0
dessèchent;1;0.0
vis;96;0.0
proximité;12;0.0
passant;220;0.0001
navrant;6;0.0
guère;436;0.0002
mélopée;2;0.0
houm;1;0.0
maléfice;13;0.0
éprouv;9;0.0
louangeuser;1;0.0
ordinatione;1;0.0
généreux;375;0.0002
adonner;14;0.0
barbier;48;0.0
saint-françoi;1;0.0
missourien;1;0.0
marseille;108;0.0
élde;1;0.0
doublage;3;0.0
gourville;37;0.0
vmauvai;1;0.0
tempe;97;0.0
monarchique;31;0.0
devisant;1;0.0
certainement;489;0.0002
fabuleuse;3;0.0
vograat;10;0.0
paimbœuf;9;0.0
no16;1;0.0
mécontentement;61;0.0
saragosse;1;0.0
ridé;2;0.0
basse-cour;11;0.0
pressait;5;0.0
wichnou;1;0.0
instruisit;1;0.0
liv;3;0.0
cantatrice;51;0.0
épirote;1;0.0
scarlatti;3;0.0
énée;1;0.0
laboureur;72;0.0
petit;6381;0.0029
malo;4;0.0
reinard;1;0.0
chirurgical;4;0.0
atterrir;2;0.0
gesticuler;18;0.0
causette;1;0.0
mortier;10;0.0
péroraison;11;0.0
faisandé;1;0.0
smarra;1;0.0
castillan;19;0.0
secourra;1;0.0
incompatibilité;2;0.0
savonner;3;0.0
chesapeaker;1;0.0
rural;2;0.0
étalon;4;0.0
jacobisme;1;0.0
cardinal;2353;0.0011
tarquin;1;0.0
amice;2;0.0
hatton;3;0.0
1686;1;0.0
corporation;6;0.0
quélaine;1;0.0
bélus;7;0.0
alinéer;1;0.0
accroche;6;0.0
confortable;15;0.0
tabouler;2;0.0
parigné;12;0.0
échange;135;0.0001
postscriptum;3;0.0
affut;2;0.0
lv.comment;1;0.0
reluit;1;0.0
nachrichter;1;0.0
démeublé;1;0.0
tabourins;1;0.0
podagre;5;0.0
ferricrepiditæ;1;0.0
630;1;0.0
force;2116;0.001
jouvenceau;1;0.0
vopiscu;1;0.0
tercier;1;0.0
désertion;5;0.0
banqueroute;27;0.0
entrain;13;0.0
contention;4;0.0
encontre;12;0.0
étisie;1;0.0
allâte;1;0.0
déchaînement;9;0.0
