theme,mouvement,count
science_progres,lumieres,862
morale_vertu,lumieres,2964
melancolie_spleen,romantisme,1772
reve_spiritualite,romantisme,1075
violence_sociale,naturalisme,1558
corps_physiologie,naturalisme,2734
societe_politique,lumieres,1738
nature_paysage,romantisme,896
raison_philosophie,lumieres,1447
quotidien_objets,naturalisme,1377
amour_sentiments,romantisme,3592
travail_misere,naturalisme,1422
TOTAL_romantisme,romantisme,7335
TOTAL_naturalisme,naturalisme,7091
TOTAL_lumieres,lumieres,7011
