theme,mouvement,count
science_progres,lumieres,495
morale_vertu,lumieres,1623
melancolie_spleen,romantisme,1777
reve_spiritualite,romantisme,1639
violence_sociale,naturalisme,469
corps_physiologie,naturalisme,1272
societe_politique,lumieres,1289
nature_paysage,romantisme,1270
raison_philosophie,lumieres,1353
quotidien_objets,naturalisme,686
amour_sentiments,romantisme,3651
travail_misere,naturalisme,670
TOTAL_romantisme,romantisme,8337
TOTAL_naturalisme,naturalisme,3097
TOTAL_lumieres,lumieres,4760
