theme,mouvement,count
science_progres,lumieres,598
morale_vertu,lumieres,3126
melancolie_spleen,romantisme,2888
reve_spiritualite,romantisme,2009
violence_sociale,naturalisme,797
corps_physiologie,naturalisme,1500
societe_politique,lumieres,1962
nature_paysage,romantisme,1054
raison_philosophie,lumieres,2208
quotidien_objets,naturalisme,916
amour_sentiments,romantisme,5046
travail_misere,naturalisme,969
TOTAL_romantisme,romantisme,10997
TOTAL_naturalisme,naturalisme,4182
TOTAL_lumieres,lumieres,7894
