theme,mouvement,count
science_progres,lumieres,415
morale_vertu,lumieres,1960
melancolie_spleen,romantisme,1254
reve_spiritualite,romantisme,684
violence_sociale,naturalisme,558
corps_physiologie,naturalisme,1395
societe_politique,lumieres,1612
nature_paysage,romantisme,1633
raison_philosophie,lumieres,524
quotidien_objets,naturalisme,506
amour_sentiments,romantisme,2232
travail_misere,naturalisme,838
TOTAL_romantisme,romantisme,5803
TOTAL_naturalisme,naturalisme,3297
TOTAL_lumieres,lumieres,4511
