theme,mouvement,count
science_progres,lumieres,550
morale_vertu,lumieres,1377
melancolie_spleen,romantisme,1308
reve_spiritualite,romantisme,882
violence_sociale,naturalisme,226
corps_physiologie,naturalisme,650
societe_politique,lumieres,1143
nature_paysage,romantisme,1436
raison_philosophie,lumieres,958
quotidien_objets,naturalisme,600
amour_sentiments,romantisme,2092
travail_misere,naturalisme,567
TOTAL_romantisme,romantisme,5718
TOTAL_naturalisme,naturalisme,2043
TOTAL_lumieres,lumieres,4028
