livre                                      ,courant_detecte
"Candide,_ou_l’Optimisme_Beuchot_1829.txt" ,naturalisme
Jacques_le_Fataliste_et_son_maître.txt     ,naturalisme
Julie_ou_la_Nouvelle_Héloïse.txt           ,romantisme
La_Princesse_de_Babylone.txt               ,romantisme
La_Vie_de_Marianne_(éd._Duviquet).txt      ,lumieres
Le_Paysan_parvenu.txt                      ,lumieres
Les_Bijoux_indiscrets.txt                  ,lumieres
Les_Égarements_du_cœur_et_de_l'esprit.txt  ,romantisme
Lettres_persanes.txt                       ,lumieres
L’Ingénu.txt                               ,romantisme
Micromégas.txt                             ,lumieres
Paul_et_Virginie.txt                       ,romantisme
Sade Nouvelle Justine.txt                  ,romantisme
adolphe.txt                                ,romantisme
atala.txt                                  ,romantisme
corinne_ou_l'italie.txt                    ,romantisme
delphine.txt                               ,romantisme
la_nouvelle_justine.txt                    ,romantisme
le_diable_amoureux.txt                     ,romantisme
le_diable_boiteux_tome_1.txt               ,romantisme
le_sopha.txt                               ,romantisme
les_aventures_de_télémaque.txt             ,romantisme
les_liaisons_dangereuses.txt               ,romantisme
oberman.txt                                ,romantisme
rené_chateaubriand.txt                     ,romantisme
voyage_autour_de_ma_chambre.txt            ,romantisme
TOTAL_romantisme                           ,19
TOTAL_naturalisme                          ,2
TOTAL_lumieres                             ,5
