theme,mouvement,count
science_progres,lumieres,378
morale_vertu,lumieres,916
melancolie_spleen,romantisme,1270
reve_spiritualite,romantisme,418
violence_sociale,naturalisme,703
corps_physiologie,naturalisme,1659
societe_politique,lumieres,428
nature_paysage,romantisme,900
raison_philosophie,lumieres,548
quotidien_objets,naturalisme,2184
amour_sentiments,romantisme,1718
travail_misere,naturalisme,1135
TOTAL_romantisme,romantisme,4306
TOTAL_naturalisme,naturalisme,5681
TOTAL_lumieres,lumieres,2270
