theme,mouvement,count
science_progres,lumieres,318
morale_vertu,lumieres,891
melancolie_spleen,romantisme,1419
reve_spiritualite,romantisme,498
violence_sociale,naturalisme,1065
corps_physiologie,naturalisme,2433
societe_politique,lumieres,998
nature_paysage,romantisme,1557
raison_philosophie,lumieres,582
quotidien_objets,naturalisme,2218
amour_sentiments,romantisme,1323
travail_misere,naturalisme,2043
TOTAL_romantisme,romantisme,4797
TOTAL_naturalisme,naturalisme,7759
TOTAL_lumieres,lumieres,2789
