theme,mouvement,count
science_progres,lumieres,408
morale_vertu,lumieres,791
melancolie_spleen,romantisme,1188
reve_spiritualite,romantisme,422
violence_sociale,naturalisme,713
corps_physiologie,naturalisme,1779
societe_politique,lumieres,463
nature_paysage,romantisme,991
raison_philosophie,lumieres,566
quotidien_objets,naturalisme,1680
amour_sentiments,romantisme,1459
travail_misere,naturalisme,1101
TOTAL_romantisme,romantisme,4060
TOTAL_naturalisme,naturalisme,5273
TOTAL_lumieres,lumieres,2228
