theme,mouvement,count
science_progres,lumieres,132
morale_vertu,lumieres,561
melancolie_spleen,romantisme,783
reve_spiritualite,romantisme,456
violence_sociale,naturalisme,319
corps_physiologie,naturalisme,1377
societe_politique,lumieres,439
nature_paysage,romantisme,1070
raison_philosophie,lumieres,312
quotidien_objets,naturalisme,1492
amour_sentiments,romantisme,1204
travail_misere,naturalisme,634
TOTAL_romantisme,romantisme,3513
TOTAL_naturalisme,naturalisme,3822
TOTAL_lumieres,lumieres,1444
