theme,mouvement,count
science_progres,lumieres,152
morale_vertu,lumieres,697
melancolie_spleen,romantisme,884
reve_spiritualite,romantisme,590
violence_sociale,naturalisme,395
corps_physiologie,naturalisme,2245
societe_politique,lumieres,162
nature_paysage,romantisme,2159
raison_philosophie,lumieres,218
quotidien_objets,naturalisme,1361
amour_sentiments,romantisme,1569
travail_misere,naturalisme,597
TOTAL_romantisme,romantisme,5202
TOTAL_naturalisme,naturalisme,4598
TOTAL_lumieres,lumieres,1229
