theme,mouvement,count
science_progres,lumieres,228
morale_vertu,lumieres,770
melancolie_spleen,romantisme,990
reve_spiritualite,romantisme,542
violence_sociale,naturalisme,726
corps_physiologie,naturalisme,1324
societe_politique,lumieres,1168
nature_paysage,romantisme,1007
raison_philosophie,lumieres,493
quotidien_objets,naturalisme,1354
amour_sentiments,romantisme,1547
travail_misere,naturalisme,859
TOTAL_romantisme,romantisme,4086
TOTAL_naturalisme,naturalisme,4263
TOTAL_lumieres,lumieres,2659
