theme,mouvement,count
science_progres,lumieres,255
morale_vertu,lumieres,916
melancolie_spleen,romantisme,1328
reve_spiritualite,romantisme,357
violence_sociale,naturalisme,574
corps_physiologie,naturalisme,2029
societe_politique,lumieres,248
nature_paysage,romantisme,933
raison_philosophie,lumieres,537
quotidien_objets,naturalisme,1825
amour_sentiments,romantisme,1464
travail_misere,naturalisme,941
TOTAL_romantisme,romantisme,4082
TOTAL_naturalisme,naturalisme,5369
TOTAL_lumieres,lumieres,1956
