theme,mouvement,count
science_progres,lumieres,194
morale_vertu,lumieres,1269
melancolie_spleen,romantisme,961
reve_spiritualite,romantisme,356
violence_sociale,naturalisme,597
corps_physiologie,naturalisme,2547
societe_politique,lumieres,510
nature_paysage,romantisme,1184
raison_philosophie,lumieres,391
quotidien_objets,naturalisme,3275
amour_sentiments,romantisme,1280
travail_misere,naturalisme,1488
TOTAL_romantisme,romantisme,3781
TOTAL_naturalisme,naturalisme,7907
TOTAL_lumieres,lumieres,2364
