theme,mouvement,count
science_progres,lumieres,284
morale_vertu,lumieres,1201
melancolie_spleen,romantisme,1177
reve_spiritualite,romantisme,361
violence_sociale,naturalisme,972
corps_physiologie,naturalisme,2263
societe_politique,lumieres,625
nature_paysage,romantisme,1426
raison_philosophie,lumieres,591
quotidien_objets,naturalisme,2233
amour_sentiments,romantisme,1180
travail_misere,naturalisme,1323
TOTAL_romantisme,romantisme,4144
TOTAL_naturalisme,naturalisme,6791
TOTAL_lumieres,lumieres,2701
