theme,mouvement,count
science_progres,lumieres,261
morale_vertu,lumieres,1003
melancolie_spleen,romantisme,1859
reve_spiritualite,romantisme,535
violence_sociale,naturalisme,1291
corps_physiologie,naturalisme,2698
societe_politique,lumieres,1132
nature_paysage,romantisme,2068
raison_philosophie,lumieres,567
quotidien_objets,naturalisme,2121
amour_sentiments,romantisme,1541
travail_misere,naturalisme,1529
TOTAL_romantisme,romantisme,6003
TOTAL_naturalisme,naturalisme,7639
TOTAL_lumieres,lumieres,2963
