theme,mouvement,count
science_progres,lumieres,397
morale_vertu,lumieres,891
melancolie_spleen,romantisme,1230
reve_spiritualite,romantisme,557
violence_sociale,naturalisme,480
corps_physiologie,naturalisme,1584
societe_politique,lumieres,399
nature_paysage,romantisme,981
raison_philosophie,lumieres,678
quotidien_objets,naturalisme,1378
amour_sentiments,romantisme,1885
travail_misere,naturalisme,910
TOTAL_romantisme,romantisme,4653
TOTAL_naturalisme,naturalisme,4352
TOTAL_lumieres,lumieres,2365
