theme,mouvement,count
science_progres,lumieres,339
morale_vertu,lumieres,727
melancolie_spleen,romantisme,1250
reve_spiritualite,romantisme,491
violence_sociale,naturalisme,632
corps_physiologie,naturalisme,1880
societe_politique,lumieres,485
nature_paysage,romantisme,1127
raison_philosophie,lumieres,509
quotidien_objets,naturalisme,1953
amour_sentiments,romantisme,1395
travail_misere,naturalisme,1055
TOTAL_romantisme,romantisme,4263
TOTAL_naturalisme,naturalisme,5520
TOTAL_lumieres,lumieres,2060
