theme,mouvement,count
science_progres,lumieres,132
morale_vertu,lumieres,935
melancolie_spleen,romantisme,1039
reve_spiritualite,romantisme,402
violence_sociale,naturalisme,710
corps_physiologie,naturalisme,1890
societe_politique,lumieres,423
nature_paysage,romantisme,1193
raison_philosophie,lumieres,469
quotidien_objets,naturalisme,2291
amour_sentiments,romantisme,1382
travail_misere,naturalisme,835
TOTAL_romantisme,romantisme,4016
TOTAL_naturalisme,naturalisme,5726
TOTAL_lumieres,lumieres,1959
