theme,mouvement,count
science_progres,lumieres,158
morale_vertu,lumieres,1105
melancolie_spleen,romantisme,1128
reve_spiritualite,romantisme,359
violence_sociale,naturalisme,552
corps_physiologie,naturalisme,1690
societe_politique,lumieres,413
nature_paysage,romantisme,733
raison_philosophie,lumieres,477
quotidien_objets,naturalisme,2512
amour_sentiments,romantisme,1517
travail_misere,naturalisme,985
TOTAL_romantisme,romantisme,3737
TOTAL_naturalisme,naturalisme,5739
TOTAL_lumieres,lumieres,2153
