livre                                ,courant_detecte
arebours_huysmans.txt                ,romantisme
aubonheurdesdames_zola.txt           ,naturalisme
avauleau_huysmans.txt                ,naturalisme
belami_maupassant.txt                ,naturalisme
enmenage_huysmans.txt                ,naturalisme
fortcommelamort_maupassant.txt       ,romantisme
germinal_zola.txt                    ,naturalisme
germinielacerteux_goncourt.txt       ,naturalisme
labas_huysmans.txt                   ,romantisme
labetehumaine_zola.txt               ,naturalisme
lacuree_zola.txt                     ,naturalisme
lafautedelabbemouret_zola.txt        ,romantisme
lafilleelisa_goncourt.txt            ,naturalisme
lafortunedesrougon_zola.txt          ,naturalisme
lajoiedevivre_zola.txt               ,naturalisme
largent_zola.txt                     ,naturalisme
lassommoir_zola.txt                  ,naturalisme
laterre_zola.txt                     ,naturalisme
lecalvaire_mirbeau.txt               ,romantisme
ledebacle_zola.txt                   ,naturalisme
ledocteurpascal_zola.txt             ,romantisme
lenfant_valles.txt                   ,naturalisme
lereve_zola.txt                      ,romantisme
lessoeursvatard_huysmans.txt         ,naturalisme
leventredeparis_zola.txt             ,naturalisme
loeuvre_zola.txt                     ,naturalisme
madamegervaisais_goncourt.txt        ,romantisme
marthehistoiredunefille_huysmans.txt ,naturalisme
montoriol_maupassant.txt             ,romantisme
nana_zola.txt                        ,naturalisme
notrecoeur_maupassant.txt            ,romantisme
pierreetjean_maupassant.txt          ,romantisme
potbouille_zola.txt                  ,naturalisme
sonexcellenceeugenerougon_zola.txt   ,naturalisme
thereseraquin_zola.txt               ,naturalisme
unevie_maupassant.txt                ,romantisme
TOTAL_romantisme                     ,12
TOTAL_naturalisme                    ,24
TOTAL_lumieres                       ,0
