theme,mouvement,count
science_progres,lumieres,233
morale_vertu,lumieres,1274
melancolie_spleen,romantisme,1074
reve_spiritualite,romantisme,809
violence_sociale,naturalisme,695
corps_physiologie,naturalisme,1621
societe_politique,lumieres,1211
nature_paysage,romantisme,999
raison_philosophie,lumieres,721
quotidien_objets,naturalisme,1059
amour_sentiments,romantisme,1476
travail_misere,naturalisme,671
TOTAL_romantisme,romantisme,4358
TOTAL_naturalisme,naturalisme,4046
TOTAL_lumieres,lumieres,3439
