theme,mouvement,count
science_progres,lumieres,766
morale_vertu,lumieres,3823
melancolie_spleen,romantisme,2966
reve_spiritualite,romantisme,2298
violence_sociale,naturalisme,1051
corps_physiologie,naturalisme,3123
societe_politique,lumieres,1379
nature_paysage,romantisme,2417
raison_philosophie,lumieres,1956
quotidien_objets,naturalisme,2477
amour_sentiments,romantisme,4747
travail_misere,naturalisme,1953
TOTAL_romantisme,romantisme,12428
TOTAL_naturalisme,naturalisme,8604
TOTAL_lumieres,lumieres,7924
