theme,mouvement,count
science_progres,lumieres,173
morale_vertu,lumieres,1042
melancolie_spleen,romantisme,1241
reve_spiritualite,romantisme,794
violence_sociale,naturalisme,802
corps_physiologie,naturalisme,1408
societe_politique,lumieres,625
nature_paysage,romantisme,1265
raison_philosophie,lumieres,619
quotidien_objets,naturalisme,985
amour_sentiments,romantisme,1274
travail_misere,naturalisme,923
TOTAL_romantisme,romantisme,4574
TOTAL_naturalisme,naturalisme,4118
TOTAL_lumieres,lumieres,2459
