theme,mouvement,count
science_progres,lumieres,251
morale_vertu,lumieres,1086
melancolie_spleen,romantisme,1105
reve_spiritualite,romantisme,688
violence_sociale,naturalisme,363
corps_physiologie,naturalisme,1186
societe_politique,lumieres,565
nature_paysage,romantisme,833
raison_philosophie,lumieres,722
quotidien_objets,naturalisme,699
amour_sentiments,romantisme,1969
travail_misere,naturalisme,610
TOTAL_romantisme,romantisme,4595
TOTAL_naturalisme,naturalisme,2858
TOTAL_lumieres,lumieres,2624
