theme,mouvement,count
science_progres,lumieres,441
morale_vertu,lumieres,2569
melancolie_spleen,romantisme,1618
reve_spiritualite,romantisme,1089
violence_sociale,naturalisme,957
corps_physiologie,naturalisme,2416
societe_politique,lumieres,1017
nature_paysage,romantisme,1242
raison_philosophie,lumieres,1298
quotidien_objets,naturalisme,2230
amour_sentiments,romantisme,2486
travail_misere,naturalisme,1189
TOTAL_romantisme,romantisme,6435
TOTAL_naturalisme,naturalisme,6792
TOTAL_lumieres,lumieres,5325
