theme,mouvement,count
science_progres,lumieres,497
morale_vertu,lumieres,638
melancolie_spleen,romantisme,1033
reve_spiritualite,romantisme,917
violence_sociale,naturalisme,554
corps_physiologie,naturalisme,1163
societe_politique,lumieres,518
nature_paysage,romantisme,2740
raison_philosophie,lumieres,536
quotidien_objets,naturalisme,1211
amour_sentiments,romantisme,924
travail_misere,naturalisme,1098
TOTAL_romantisme,romantisme,5614
TOTAL_naturalisme,naturalisme,4026
TOTAL_lumieres,lumieres,2189
