theme,mouvement,count
science_progres,lumieres,405
morale_vertu,lumieres,1166
melancolie_spleen,romantisme,1499
reve_spiritualite,romantisme,1399
violence_sociale,naturalisme,850
corps_physiologie,naturalisme,1809
societe_politique,lumieres,1399
nature_paysage,romantisme,2374
raison_philosophie,lumieres,873
quotidien_objets,naturalisme,1915
amour_sentiments,romantisme,1539
travail_misere,naturalisme,1216
TOTAL_romantisme,romantisme,6811
TOTAL_naturalisme,naturalisme,5790
TOTAL_lumieres,lumieres,3843
