theme,mouvement,count
science_progres,lumieres,254
morale_vertu,lumieres,1122
melancolie_spleen,romantisme,869
reve_spiritualite,romantisme,843
violence_sociale,naturalisme,319
corps_physiologie,naturalisme,1763
societe_politique,lumieres,349
nature_paysage,romantisme,1247
raison_philosophie,lumieres,863
quotidien_objets,naturalisme,1133
amour_sentiments,romantisme,2316
travail_misere,naturalisme,588
TOTAL_romantisme,romantisme,5275
TOTAL_naturalisme,naturalisme,3803
TOTAL_lumieres,lumieres,2588
