theme,mouvement,count
science_progres,lumieres,468
morale_vertu,lumieres,988
melancolie_spleen,romantisme,1338
reve_spiritualite,romantisme,952
violence_sociale,naturalisme,859
corps_physiologie,naturalisme,2279
societe_politique,lumieres,977
nature_paysage,romantisme,1494
raison_philosophie,lumieres,948
quotidien_objets,naturalisme,1941
amour_sentiments,romantisme,1469
travail_misere,naturalisme,1232
TOTAL_romantisme,romantisme,5253
TOTAL_naturalisme,naturalisme,6311
TOTAL_lumieres,lumieres,3381
