theme,mouvement,count
science_progres,lumieres,354
morale_vertu,lumieres,2385
melancolie_spleen,romantisme,1507
reve_spiritualite,romantisme,749
violence_sociale,naturalisme,1424
corps_physiologie,naturalisme,2363
societe_politique,lumieres,1278
nature_paysage,romantisme,1357
raison_philosophie,lumieres,989
quotidien_objets,naturalisme,2494
amour_sentiments,romantisme,1999
travail_misere,naturalisme,1353
TOTAL_romantisme,romantisme,5612
TOTAL_naturalisme,naturalisme,7634
TOTAL_lumieres,lumieres,5006
